date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2000-06-16,6.08,-4632.0,,,,,,,,0.24,,,,,,,,,,,0.0,,,,,,,,,,,,115800.0,,,,,,,,,,,,,,,,,,,
2000-06-19,6.0,-307432.0,,,,,,,,-0.48,,,,,,,,,,,0.0,,,,,,,,,,,,-187000.0,,,,,,,9.25,,,,,,,0.25,,,,,
2000-06-20,6.2533,-162399.8756,,,,,,,,0.1813,,,,,,,,,,,0.0,,,,,,,,,,,,74600.0,,,,,,,7.88,,,,,,,1.93,,,,,
2000-06-21,7.3333,274736.1244,,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,595000.0,,,,,,,7.88,,,,,,,1.74,,,,,
2000-06-22,6.5867,168048.074,,,,,,,,-0.7421,,,,,,,,,,,0.0,,,,,,,,,,,,404400.0,,,,,,,7.88,,,,,,,1.59,,,,,
2000-06-23,6.92,198893.2353,,,,,,,,0.3065,,,,,,,,,,,0.0,,,,,,,,,,,,541000.0,,,,,,,7.9448,,,,,,,0.74,,,,,
2000-06-26,6.6667,155598.9825,,,,,,,,-0.5747,,,,,,,,,,,0.0,,,,,,,,,,,,439200.0,,,,,,,8.0083,,,68.107,,,,0.87,,,,,
2000-06-27,6.3333,113798.9825,,,,,,,,-0.3472,,,,,,,,,,,0.0,,,,,,,,,,,,302400.0,,,,,,,8.0705,,,55.3925,,,,1.44,,,,,
2000-06-28,6.4133,171904.2456,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,486400.0,,,,,,,8.1315,,54.3068,39.4208,,,,0.76,,,,,
2000-06-29,6.0,-13495.7544,-5702.4872,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,301000.0,,,,,,,8.1913,,37.4744,17.6101,,,,0.88,,,,,
2000-06-30,6.2933,39984.2456,-14191.2122,,,,,,,0.26,,,,,,,,,,,0.0,,,,,,,,,,,,492000.0,,,,,,,8.2499,,25.2776,18.8019,,,,0.62,,,,,
2000-07-03,6.4133,38704.2456,-16781.0349,,,,,,,-0.52,,,,,,,,,,,0.0,,,,,,,,,,,,524000.0,,,,,,,8.3073,,19.9391,23.4053,,,,0.31,,,,,
2000-07-05,6.6667,176904.2456,27657.767999999996,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,662200.0,,,,,,,8.3635,,32.982,56.7387,,,,0.5,,,,,
2000-07-06,6.5,176904.2456,43322.9358,,,,,,,-0.4032,,,,,,,,,,,0.0,,,,,,,,,,,,532400.0,,,,,,,8.4187,,50.4714,71.2701,,,,0.62,,,,,
2000-07-07,6.8333,-85060.8029,-37559.5507,,,,,,,0.1068,,,,,,,,,,,0.0,,,,,,,,,,,,1326000.0,,,,,,,8.4727,,66.6646,71.9849,,,,2.06,,,,,
2000-07-10,8.3733,235035.2825,34615.4185,,,,,,,0.5338,,,,,,,,,,,0.0,,,,,,,,,,,,1955000.0,,,,,,,8.5671,,69.7344,65.9482,,,,3.0,,,,,
2000-07-11,8.5,-120369.7808,-52088.7432,,,,,,,-0.3418,,,,,,,,,,,0.0,,,,,,,,,,,,3292000.0,,,,,,,8.7544,,67.7449,65.3016,,,,2.37,,,,,
2000-07-12,10.0,623958.2192,154008.3491,,,,,,,0.3745,,,,,,,,,,,0.0,,,,,,,,,,,,4386600.0,,,,,,,9.0292,,70.7912,81.1238,,,,2.75,,,,,
2000-07-13,11.1667,172484.2192,80669.2188,,,,,,,-0.625,,,,,,,,,,,0.0,,,,,,,,,,,,5606800.0,,,,,,,9.4138,,76.0837,81.8257,,,,3.12,,,,,
