date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,3.8459,-15468.75,,,,,,,,-0.375,,,,,,,,,,,0.0,,,,,,,,,,,,27500.0,,,,,,,,,,,,,,,,,,,
1998-01-05,3.8583,-15468.75,,,,,,,,-0.1579,,,,,,,,,,,0.0,,,,,,,,,,,,108600.0,,,,,,,18.5,,,,,,,0.38,,,,,
1998-01-06,3.8707,83531.25,,,,,,,,0.1622,,,,,,,,,,,0.0,,,,,,,,,,,,207600.0,,,,,,,18.88,,,,,,,0.37,,,,,
1998-01-07,3.7798,13155.25,,,,,,,,-0.88,,,,,,,,,,,0.0,,,,,,,,,,,,115000.0,,,,,,,18.88,,,,,,,0.5,,,,,
1998-01-08,3.7943,103855.25,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,205700.0,,,,,,,18.8674,,,,,,,0.13,,,,,
1998-01-09,3.6126,-116144.75,,,,,,,,-0.7778,,,,,,,,,,,0.0,,,,,,,,,,,,-14300.0,,,,,,,18.8551,,,,,,,0.88,,,,,
1998-01-12,3.6126,-129777.1824,,,,,,,,-0.6757,,,,,,,,,,,0.0,,,,,,,,,,,,-14300.0,,,,,,,18.8144,,,9.798,,,,0.37,,,,,
1998-01-13,3.6642,-129777.1824,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,66500.0,,,,,,,18.757,,,11.9221,,,,0.5,,,,,
1998-01-14,3.6642,-185923.1284,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,66500.0,,,,,,,18.7019,,15.3252,24.2555,,,,0.37,,,,,
1998-01-15,3.6518,-213693.3986,-82867.2591,,,,,,,-0.8378,,,,,,,,,,,0.0,,,,,,,,,,,,25400.0,,,,,,,18.6491,,22.8748,32.4469,,,,0.37,,,,,
