date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD,MACDEXT,MACD_Signal,MACD,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,40.6537,-24987.8049,,,,,,,,,,,0.2317,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,341500,,,,,,,,,,,,,,,,,,,,,,
05/01/1998,40.3174,-1005568.697,,,,,,,,,,,-0.3185,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-833700,,,,,,,61.38,,,,,,,,,,1.57,,,,,
06/01/1998,39.9407,-1220754.204,,,,,,,,,,,-0.1739,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1707100,,,,,,,61.38,,,,,,,,,,0.82,,,,,
07/01/1998,40.721,-507754.2038,,,,,,,,,,,0.9434,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-994100,,,,,,,61.38,,,,,,,,,,1.06,,,,,
08/01/1998,40.5106,-660283.9336,,,,,,,,,,,-0.4189,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1934700,,,,,,,61.3068,,,,,,,,,,0.74,,,,,
09/01/1998,39.6215,-935899.9336,,,,,,,,,,,-0.7829,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-2421900,,,,,,,61.2358,,,,,,,,,,1.75,,,,,
12/01/1998,40.0423,-470011.9336,,,,,,,,,,,0.96,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1915500,,,,,,,61.1064,,,,56.25,32.7434,,,,,1.5,,,,,
13/01/1998,40.3002,-534386.9336,,,,,,,,,,,0.2639,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1400500,,,,,,,60.929,,,,69.2015,45.5647,,,,,1.44,,,,,
14/01/1998,40.212,-419611.3238,,,,,,,,,,,-0.2317,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1614400,,,,,,,60.7606,,63.2367,47.1816,64.2586,63.2367,,,,,0.82,,,,,
15/01/1998,39.9608,-769231.9587,-78612.2461,,,,,,,,,,-0.7937,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-2209700,,,,,,,60.6006,,61.2167,56.6727,50.1901,61.2167,,,,,0.63,,,,,
16/01/1998,40.1712,-324597.505,34765.073,,,,,,,,,,0.2101,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1715200,,,,,,,60.4485,,58.8086,61.0873,61.9772,58.8086,,,,,1.19,,,,,
20/01/1998,41.9087,284802.495,271886.2424,,,,,,,,,,0.9747,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-1105800,,,,,,,57.56,,70.7224,63.5826,100,70.7224,,,,,2.56,,,,,
