date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2014-05-22 00:00:00,20.9,-40905323.4375,,,,,,,,-0.332,,,,,,,,,,,0.0,,,,,,,,,,,,84449700.0,,,,,,,,,,,,,,,,,,,
2014-05-23 00:00:00,20.1,-56692649.3917,,,,,,,,-0.8779,,,,,,,,,,,0.0,,,,,,,,,,,,63559400.0,,,,,,,22.8,,,,,,,1.31,,,,,
2014-05-27 00:00:00,22.97,-41466916.4247,,,,,,,,0.9853,,,,,,,,,,,0.0,,,,,,,,,,,,78897500.0,,,,,,,19.94,,,,,,,2.88,,,,,
2014-05-28 00:00:00,24.78,-31665644.4247,,,,,,,,0.72,,,,,,,,,,,0.0,,,,,,,,,,,,95680500.0,,,,,,,19.94,,,,,,,2.5,,,,,
2014-05-29 00:00:00,25.4,-26550104.4247,,,,,,,,0.2483,,,,,,,,,,,0.0,,,,,,,,,,,,104206400.0,,,,,,,20.0472,,,,,,,1.45,,,,,
2014-05-30 00:00:00,25.0,-24235516.854000002,,,,,,,,-0.1525,,,,,,,,,,,0.0,,,,,,,,,,,,97903600.0,,,,,,,20.2165,,,,,,,1.77,,,,,
2014-06-02 00:00:00,24.6,-25097362.1095,,,,,,,,-0.5839,,,,,,,,,,,0.0,,,,,,,,,,,,94094800.0,,,,,,,20.3807,,,79.9632,,,,1.37,,,,,
2014-06-03 00:00:00,25.1,-22542099.8144,,,,,,,,0.7623,,,,,,,,,,,0.0,,,,,,,,,,,,97483300.0,,,,,,,20.54,,,79.5848,,,,1.22,,,,,
2014-06-04 00:00:00,24.54,-24820804.5763,,,,,,,,-0.5357,,,,,,,,,,,0.0,,,,,,,,,,,,94492500.0,,,,,,,20.6945,,78.8322,39.4737,,,,0.84,,,,,
2014-06-05 00:00:00,25.78,-24045904.5763,5033643.8778,,,,,,,0.4558,,,,,,,,,,,0.0,,,,,,,,,,,,102426000.0,,,,,,,20.8443,,70.3175,67.2297,,,,2.21,,,,,
2014-06-06 00:00:00,26.58,-25169637.4531,3869317.9595,,,,,,,0.1096,,,,,,,,,,,0.0,,,,,,,,,,,,106743500.0,,,,,,,21.0806,,64.0812,84.7176,,,,1.26,,,,,
2014-06-09 00:00:00,28.43,-20125839.0467,4646091.5805,,,,,,,0.5697,,,,,,,,,,,0.0,,,,,,,,,,,,117382100.0,,,,,,,21.3785,,68.5126,86.9565,,,,2.51,,,,,
