date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2015-07-06,64.5827,729519.5106,,,,,,,,,,,0.5957,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3809713.0,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,66.061,5994519.2192,,,,,,,,,,,0.5143,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9604524.0,,,,,,,71.0,,,,,,,,,,1.75,,,,,
2015-07-08,66.7426,9686026.6576,,,,,,,,,,,0.7534,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13881985.0,,,,,,,71.0371,,,,,,,,,,1.46,,,,,
2015-07-09,66.2115,6416722.6583,,,,,,,,,,,-0.6508,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9614928.0,,,,,,,71.1264,,,,,,,,,,2.566,,,,,
2015-07-10,68.4333,9655659.0083,,,,,,,,,,,0.8071,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,14597907.0,,,,,,,71.3045,,,,,,,,,,3.0,,,,,
2015-07-13,69.7788,9909259.5949,,,,,,,,,,,-0.3743,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23676808.0,,,,,,,71.5644,,,,,,,,,,2.39,,,,,
2015-07-14,69.0441,-1743733.297,,,,,,,,,,,-0.7838,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4930689.0,,,,,,,71.9711,,,,83.2836,69.9647,,,,,1.85,,,,,
2015-07-15,67.9022,-5856767.4212,,,,,,,,,,,-0.5311,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1399807.0,,,,,,,72.3576,,,,66.5189,42.5,,,,,1.77,,,,,
2015-07-16,69.7079,-759322.0035,,,,,,,,,,,0.9418,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4234243.0,,,,,,,72.7247,,71.2955,64.084,64.084,79.7872,,,,,2.13,,,,,
2015-07-17,70.4869,5040276.1693,-438127.499,,,,,,,,,,0.0823,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10335119.0,,,,,,,73.0735,,67.9972,73.3887,73.3887,97.8788,,,,,2.43,,,,,
