date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,11.6443,1283900.0,,,,,,,,0.7634,,,,,,,,,,,0.0,,,,,,,,,,,,1283900.0,,,,,,,,,,,,,,,,,,,
1998-01-05,12.2912,2997189.3204,,,,,,,,0.4539,,,,,,,,,,,0.0,,,,,,,,,,,,4613500.0,,,,,,,37.88,,,,,,,4.12,,,,,
1998-01-06,11.2303,702748.7490000001,,,,,,,,-0.8057,,,,,,,,,,,0.0,,,,,,,,,,,,2237600.0,,,,,,,37.9387,,,,,,,3.75,,,,,
1998-01-07,10.638,-1211091.3354,,,,,,,,-0.4219,,,,,,,,,,,0.0,,,,,,,,,,,,-545100.0,,,,,,,43.75,,,,,,,2.43,,,,,
1998-01-08,10.5115,-3018218.0021,,,,,,,,0.1378,,,,,,,,,,,0.0,,,,,,,,,,,,-3039600.0,,,,,,,43.6788,,,,,,,2.25,,,,,
1998-01-09,9.9911,-4539196.5903,,,,,,,,-0.6471,,,,,,,,,,,0.0,,,,,,,,,,,,-7320500.0,,,,,,,43.5302,,,,,,,4.25,,,,,
1998-01-12,9.8474,-5092060.7413,,,,,,,,0.2358,,,,,,,,,,,0.0,,,,,,,,,,,,-10404900.0,,,,,,,43.2257,,,9.5395,,,,2.12,,,,,
1998-01-13,11.0147,-1891447.3046,,,,,,,,0.7261,,,,,,,,,,,0.0,,,,,,,,,,,,-6262300.0,,,,,,,42.9303,,,87.7224,,,,4.5,,,,,
1998-01-14,10.4943,-3049587.7626,,,,,,,,-0.6679,,,,,,,,,,,0.0,,,,,,,,,,,,-9710400.0,,,,,,,42.6438,,51.7875,58.1006,,,,2.68,,,,,
1998-01-15,11.0521,-935317.6946,-325733.8123,,,,,,,0.8299,,,,,,,,,,,0.0,,,,,,,,,,,,-6506300.0,,,,,,,42.3659,,78.9434,91.0072,,,,2.94,,,,,
1998-01-16,10.6208,-3197678.8057,-656464.7581,,,,,,,-0.7153,,,,,,,,,,,0.0,,,,,,,,,,,,-9764100.0,,,,,,,42.0963,,69.4804,59.3333,,,,2.88,,,,,
1998-01-20,11.6271,184177.50199999998,343960.0218,,,,,,,0.8646,,,,,,,,,,,0.0,,,,,,,,,,,,-5585000.0,,,,,,,41.8349,,81.6865,94.7189,,,,3.81,,,,,
1998-01-21,10.8364,-4655795.5018,-818035.7987,,,,,,,-0.6426,,,,,,,,,,,0.0,,,,,,,,,,,,-10697100.0,,,,,,,41.5812,,64.7622,40.2344,,,,2.82,,,,,
1998-01-22,10.3879,-9151595.5018,-2649512.6527,,,,,,,-0.4726,,,,,,,,,,,0.0,,,,,,,,,,,,-15192900.0,,,,,,,41.3352,,45.8967,2.7368,,,,2.37,,,,,
1998-01-23,10.8192,-7324557.4066,-2576558.0942,,,,,,,0.5238,,,,,,,,,,,0.0,,,,,,,,,,,,-11449700.0,,,,,,,41.0965,,25.1462,32.4675,,,,1.93,,,,,
1998-01-26,10.3505,-8669646.2954,-2740463.3218,,,,,,,-0.8356,,,,,,,,,,,0.0,,,,,,,,,,,,-13179100.0,,,,,,,40.865,,13.4015,5.0,,,,2.25,,,,,
1998-01-27,10.5317,-8112369.5097,-2381067.0902,,,,,,,0.3393,,,,,,,,,,,0.0,,,,,,,,,,,,-11536600.0,,,,,,,40.6405,,19.0077,19.5556,,,,1.12,,,,,
1998-01-28,10.890999999999998,-7788455.2239999985,-1914517.0782,,,,,,,0.4286,,,,,,,,,,,0.0,,,,,,,,,,,,-9269200.0,,,,,,,40.4227,,32.838,73.9583,,,,2.0,,,,,
1998-01-29,10.4598,-9743555.224,-2171685.9752,,,,,,,-0.6684,,,,,,,,,,,0.0,,,,,,,,,,,,-11224300.0,,,,,,,40.2114,,38.463,21.875,,,,1.87,,,,,
1998-01-30,10.7818,-9612059.5718,-2037625.9097,,,,,,41.4657,0.2681,-11.6558,,,,37.567,,,,,,0.0,,,,,,38.5,38.565,,8.87,,,-9712100.0,,10.63,,,,,40.0064,37.567,52.1991,60.7639,,,,1.75,37.3236,,,-60.27,37.2154
1998-02-02,11.4833,-7390828.5216,-1090789.1024,,,,5.0,-25.0,41.3603,0.6575,98.1423,-1.476,,18.1297,37.793,,,,,,0.0,37.5131,,,,41.8419,38.5,38.565,16.2242,8.4265,-0.56,6.8265,-6833700.0,23.4096,12.1585,,-1.3827,0.9862,49.262,33.38,37.539,58.9461,94.1995,,,,2.69,37.3064,,,-36.7406,37.4414
1998-02-03,11.5178,-9977868.5216,-1427433.2173,,,,0.0,-25.0,40.6247,0.04,178.7593,-1.1393,,22.8259,38.0089,,,,,,0.0,37.5438,,,,41.7838,37.345,37.94,15.7455,8.0052,-2.69,6.653,-3429700.0,25.0596,12.7406,,-6.2924,0.9371,49.4304,33.4481,37.4045,76.1878,73.6,,,,1.5,37.31800000000001,,,-26.7544,37.6815
1998-02-04,12.3804,-5835036.537000001,-117210.795,,,,100.0,80.0,41.6118,0.6744,240.8626,6.9833,,31.6979,38.49,,,,,,0.0,37.6415,,,,49.5021,38.655,38.66,14.2177,7.6049,4.0,6.4826,2838900.0,27.4141,14.6635,,10.2407,1.1024,53.4916,33.6067,37.6045,85.3864,88.3598,,,,5.19,37.3995,,,-8.3333,38.2201
1998-02-05,11.7536,-11508850.0963,-1375859.5006,,,,100.0,85.0,42.0389,-0.7869,194.8969,0.7916,,34.6037,38.7176,,,,,,0.0,37.696999999999996,,,,56.3203,38.655,39.13,13.149000000000001,7.2247,3.88,6.992000000000001,-3216100.0,27.0643,14.8704,,10.4865,1.1049,50.3958,33.9167,37.7985,70.9198,50.7995,,,,4.13,37.5365,,,-34.7826,38.5321
1998-02-06,12.020999999999999,-9676559.6021,-1182681.5865,,,,95.0,85.0,42.6016,0.4981,134.5798,3.3047,,29.9601,39.0121,,,,,,0.0,37.7932,,,,54.088,38.655,39.13,13.8862,7.6134,5.25,6.8092,1651500.0,25.7661,14.1269,,14.36,1.1436,51.6523,34.3553,38.061,64.8457,55.3779,,,,2.63,37.7195,,,-26.6957,38.9141
1998-02-09,11.6443,-11650959.6021,-1624355.9319999998,,,0.6537,90.0,85.0,42.7398,-0.9454,110.0076,-0.435,,30.7978,39.1538,,,,,,0.0,37.865,,,,55.4834,38.655,39.13,13.2794,7.2328,5.75,6.9718,-322900.0,25.0992,13.6705,1.7036,16.5468,1.1655,49.7825,34.7763,38.3485,44.9085,28.5481,,,,2.38,37.9337,,,-38.086999999999996,39.1464
1998-02-10,11.8772,-11664832.5948,-1661786.3044,,,0.9292,85.0,85.0,42.8463,0.4964,97.4194,1.8769,,30.7978,39.3592,,,,,,0.0,37.9818,,,,59.0063,39.53,39.88,12.9053,6.8711,7.06,6.6749,1577700.0,24.392,12.987,2.4197,20.6131,1.2061,50.9385,35.1804,38.7015,41.896,41.7618,32.1166,,,1.5,38.1791,,,-35.7,39.4285
1998-02-11,12.5788,-9361448.1685,-793132.2026,,,1.5365,80.0,80.0,43.6586,0.8197,138.3608,8.5517,,37.0691,39.7773,,,,,,0.0,38.1315,,,,58.3228,39.875,40.255,12.2813,6.5276,5.44,6.2812,4155800.0,26.7497,14.2176,3.9974,14.1999,1.1420000000000001,54.2759,35.5684,38.9735,49.0514,76.8443,46.6121,,,2.57,38.4562,,,-12.2162,39.9093
1998-02-12,12.9036,-7033117.3668,375161.7489,,,2.0002,100.0,100.0,44.5888,0.3713,159.0708,11.487,,41.3264,40.2633,,,,,,0.0,38.4473,,,,63.658,40.44,40.53,11.7307,6.2012,8.38,6.081,7810200.0,28.2556,14.9368,5.1735,22.9589,1.2296,55.7435,35.9409,39.3925,70.1694,91.9021,77.055,,,2.37,38.8145,,52.9153,-4.4979,40.4718
