date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD,MACDEXT,MACD_Hist,MACD,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,0.5152,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,0.5152,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,5.0,,,,,,,,,,0.0,,,,,
1998-01-06,0.5152,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,5.0,,,,,,,,,,0.0,,,,,
1998-01-07,0.5152,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,5.0,,,,,,,,,,0.0,,,,,
1998-01-08,0.5152,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,5.0,,,,,,,,,,0.0,,,,,
1998-01-09,0.5152,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,5.0,,,,,,,,,,0.0,,,,,
1998-01-12,0.6182,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1100.0,,,,,,,5.0,,,,33.3333,100.0,,,,,1.0,,,,,
1998-01-13,0.5088,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1100.0,,,,,,,6.0,,,,33.3333,0.0,,,,,1.062,,,,,
1998-01-14,0.509,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1100.0,,,,,,,6.0,,33.3961,33.3543,33.3961,0.1883,,,,,0.002,,,,,
1998-01-15,0.509,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1100.0,,,,,,,5.9894,,0.1255,22.285,0.1255,0.1883,,,,,0.0,,,,,
1998-01-16,0.6053,6000.0,1909.0909,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4900.0,,,,,,,5.9789,,29.5355,21.019,29.5355,88.2298,,,,,0.935,,,,,
1998-01-20,0.5152,2600.0,1434.7107,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1500.0,,,,,,,5.9685,,31.6783,20.4464,31.6783,6.6169,,,,,0.875,,,,,
1998-01-21,0.5232,2600.0,1110.2179,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9200.0,,,,,,,5.9582,,36.5353,32.583,36.5353,14.7594,,,,,0.078,,,,,
1998-01-22,0.5023,2600.0,876.5419,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8700.0,,,,,,,5.948,,7.1254,25.113,7.1254,0.0,,,,,0.203,,,,,
1998-01-23,0.5028,2600.0,701.2616,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8700.0,,,,,,,5.9265,,5.0865,16.2491,5.0865,0.5,,,,,0.005,,,,,
1998-01-26,0.5028,2600.0,565.8049,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8700.0,,,,,,,5.9055,,0.4805,4.2308,0.4805,0.9416,,,,,0.0,,,,,
1998-01-27,0.5152,2600.0,458.954,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9800.0,,,,,,,5.8849,,21.006,8.8577,21.006,61.5764,,,,,0.12,,,,,
1998-01-28,0.5152,2600.0,373.5192,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9800.0,,,,,,,5.8647,,54.1727,25.2197,54.1727,100.0,,,,,0.0,,,,,
1998-01-29,0.5152,2600.0,304.6123,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9800.0,,,,,,,5.8449,,87.1921,54.1236,87.1921,100.0,,,,,0.0,,,,,
1998-01-30,0.5312,2600.0,248.7311,,,,,,,4.49,5.6662,5.0781,0.0,35.6874,,,,5.0781,,,,,,,,0.0,,,,,,,,,,,5.4375,5.4375,,1.265,,,10300.0,,2.218,,,,,5.8255,5.0781,100.0,80.4549,100.0,100.0,,,,,0.156,5.1154,,,-75.0222,5.065
1998-02-02,0.5023,2400.0,139.6223,,,,100.0,100.0,0.0,4.4779,5.6658,5.0718,-1.0,65.1631,-2.65,,42.1241,5.0588,,,,,,,,0.0,5.1542,,,,,,,,,41.3369,5.4375,5.4375,22.5081,1.2018,-0.125,5.7036,10100.0,55.2723,2.9511,,-2.5,0.975,48.675,4.875,5.0718,66.6667,84.6196,66.6667,0.0,,,,,1.125,5.1057,,,-100.0,5.0457
1998-02-03,0.5409,2400.0,82.294,,,,95.0,95.0,0.0,4.4865,5.6822,5.0843,0.0,57.2082,5.2768,,42.1241,5.077,,,,,,,,0.0,5.155,,,,,,,,,41.3369,5.4375,5.4375,20.9585,1.1417,0.25,5.3885,10200.0,51.4673,2.8035,,5.0,1.05,52.6384,4.875,5.0843,44.4444,70.3704,44.4444,33.3333,,,,,0.375,5.0902,,,-66.6667,5.0626
1998-02-04,0.5409,2400.0,51.3602,,,,90.0,90.0,0.0,4.4961,5.6976,5.0968,0.0,50.6962,5.2768,,42.1241,5.0934,,,,,,,,0.0,5.1559,,,,,,,,,41.3369,5.4375,5.4375,20.9585,1.0846,0.25,5.1191,10200.0,51.4673,2.6634,,5.0,1.05,52.6384,4.875,5.0968,22.2222,44.4444,22.2222,33.3333,,,,,0.0,5.0764,,,-66.6667,5.0784
1998-02-05,0.5409,2400.0,34.0364,,,,85.0,85.0,0.0,4.5068,5.7119,5.1094,0.0,45.2195,5.2768,,42.1241,5.1084,,,,,,,,0.0,5.1567,,,,,,,,,41.3369,5.4375,5.4375,20.9585,1.0304,0.25,4.8631,10200.0,51.4673,2.5302,,5.0,1.05,52.6384,4.8863,5.1094,33.3333,33.3333,33.3333,33.3333,,,,,0.0,5.0652,,,-66.6667,5.093
1998-02-06,0.5924,2400.0,23.8551,,,,80.0,80.0,0.0,4.4857,5.808,5.1468,0.0,177.1367,15.4325,,49.5775,5.1695,,,,,,,,0.0,5.1692,,,,,,,,,44.2954,5.4375,5.4375,18.9317,0.9788,0.75,4.653,11300.0,56.1606,2.9037,,15.0,1.15,57.7163,4.8974,5.1468,48.1481,34.5679,48.1481,77.7778,,,,,0.5,5.063,,,-22.2222,5.154
1998-02-09,0.5924,2400.0,17.5214,,,0.0283,75.0,75.0,0.0,4.4773,5.8914,5.1844,0.0,146.6884,15.4325,,49.5775,5.2248,,,,,,,,0.0,5.1815,,,,,,,,,44.2954,5.4375,5.4375,18.9317,0.9299,0.75,4.4204,11300.0,56.1606,2.7585,0.5499,15.0,1.15,57.7163,4.9084,5.1844,70.3704,50.6173,70.3704,100.0,,,,,0.0,5.0699,,,-22.2222,5.2115
1998-02-10,0.5152,2400.0,13.3375,,,0.0383,70.0,70.0,0.0,4.5313,5.7374,5.1343,0.0,-46.6309,-2.026,,23.2061,5.2034,,,,,,,,0.0,5.1758,,,,,,,,,30.0667,5.375,5.4375,30.1575,1.6334,-1.0,5.5793,2500.0,48.3839,2.6206,0.7444,-16.6667,0.8333,48.987,4.9193,5.1343,59.2593,59.2593,59.2593,0.0,66.6667,0.0,,,0.75,5.0779,,,-88.8889,5.1939
1998-02-11,0.5152,2400.0,10.4134,,,0.0483,65.0,65.0,0.0,4.5378,5.7371,5.1374,0.0,-48.2014,-2.026,,23.2061,5.184,,,,,,,,0.0,5.1748,,,,,,,,,32.2163,5.375,5.4375,30.1575,1.5517,0.062,5.3003,2500.0,48.3839,2.4896,0.9389,1.2556,1.0126,48.987,4.9301,5.1374,33.3333,54.321,33.3333,0.0,33.3333,0.0,,,0.0,5.0949,,,-88.8889,5.1811
1998-02-12,0.5152,2400.0,8.2705,,,0.0483,60.0,60.0,0.0,4.5442,5.7367,5.1404,0.0,-49.7579,-2.026,,23.2061,5.1665,,,,,,,,0.0,5.1739,,,,,,,,,32.2163,5.375,5.4375,30.1575,1.4741,0.06,5.0353,2500.0,48.3839,2.3651,0.9389,1.2146,1.0121,48.987,4.9408,5.1404,-0.0,30.8642,-0.0,0.0,0.0,0.0,,,0.0,5.1114,,40.0288,-88.8889,5.168
