date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2004-06-03,9.4516,2457900.0,,,,,,,,0.7222,,,,,,,,,,,0.0,,,,,,,,,,,,2457900.0,,,,,,,,,,,,,,,,,,,
2004-06-04,9.2947,2457900.0,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,786900.0,,,,,,,39.15,,,,,,,1.15,,,,,
2004-06-07,9.2947,3921833.3333,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,786900.0,,,,,,,39.1385,,,,,,,0.3,,,,,
2004-06-08,8.947000000000003,4698476.2602,,,,,,,,-0.4585,,,,,,,,,,,0.0,,,,,,,,,,,,-8578500.0,,,,,,,39.1271,,,,,,,2.55,,,,,
2004-06-09,8.6791,-3832590.4065,,,,,,,,-0.8537,,,,,,,,,,,0.0,,,,,,,,,,,,-18205300.0,,,,,,,39.0636,,,,,,,1.23,,,,,
2004-06-10,8.9181,799842.3369,,,,,,,,0.9204,,,,,,,,,,,0.0,,,,,,,,,,,,-13489400.0,,,,,,,38.9681,,,,,,,1.13,,,,,
2004-06-14,8.935,3248872.7716,,,,,,,,0.7826,,,,,,,,,,,0.0,,,,,,,,,,,,-9156500.0,,,,,,,38.8421,,,43.5897,,,,0.46,,,,,
2004-06-15,8.7346,-1443512.134,,,,,,,,-0.5472,,,,,,,,,,,0.0,,,,,,,,,,,,-16471100.0,,,,,,,38.7213,,,16.5138,,,,1.06,,,,,
2004-06-16,8.708,-1609281.0995,,,,,,,,0.1724,,,,,,,,,,,0.0,,,,,,,,,,,,-21278400.0,,,,,,,38.6052,,28.4175,19.3798,,,,0.29,,,,,
2004-06-17,8.7032,-4040881.0995,-2281687.7975,,,,,,,-0.4667,,,,,,,,,,,0.0,,,,,,,,,,,,-24925800.0,,,,,,,38.4938,,25.3922,17.8295,,,,0.3,,,,,
2004-06-18,8.7467,-590581.0995,-1299572.7585,,,,,,,0.1304,,,,,,,,,,,0.0,,,,,,,,,,,,-21475500.0,,,,,,,38.3868,,21.7599,25.4237,,,,0.23,,,,,
2004-06-21,8.7153,-1184053.5133,-968487.5781,,,,,,,0.1379,,,,,,,,,,,0.0,,,,,,,,,,,,-23387800.0,,,,,,,38.2842,,19.4209,15.1786,,,,0.29,,,,,
2004-06-22,8.5825,-2405037.7239,-1133494.2914,,,,,,,-0.7763,,,,,,,,,,,0.0,,,,,,,,,,,,-25597200.0,,,,,,,38.1856,,20.0161,18.4783,,,,0.76,,,,,
2004-06-23,8.5704,-3148390.1048,-1334473.3143,,,,,,,0.1667,,,,,,,,,,,0.0,,,,,,,,,,,,-27548500.0,,,,,,,38.0453,,18.3497,13.9785,,,,0.42,,,,,
2004-06-24,8.3628,-4135447.0745,-1609439.8309,,,,,,,-0.6424,,,,,,,,,,,0.0,,,,,,,,,,,,-31013700.0,,,,,,,37.8848,,18.3902,26.3393,,,,1.65,,,,,
2004-06-25,8.5704,-2134431.5189,-938926.6536,,,,,,,0.5778,,,,,,,,,,,0.0,,,,,,,,,,,,-28109000.0,,,,,,,37.6164,,23.6167,65.8009,,,,1.8,,,,,
2004-06-28,8.3869,-3067281.9951,-876084.9004,,,,,,,-0.2476,,,,,,,,,,,0.0,,,,,,,,,,,,-29957100.0,,,,,,,37.3255,,32.4711,35.1852,,,,1.05,,,,,
2004-06-29,8.6187,-1994954.4722,-429537.7077,,,,,,,0.8716,,,,,,,,,,,0.0,,,,,,,,,,,,-28643800.0,,,,,,,37.0578,,47.6595,94.5055,,,,1.09,,,,,
2004-06-30,8.9567,3870345.5278,1658421.39,,,,,,,0.8438,,,,,,,,,,,0.0,,,,,,,,,,,,-22778500.0,,,,,,,33.98,,61.3897,100.0,,,,1.6,,,,,
2004-07-01,8.7201,2481601.4911,1919947.792,,,,,,34.092,-0.6606,-3.9539,,,,36.4295,,,,,,0.0,,,,,,36.895,36.565,,5.35,,,-25037800.0,,1.95,,,,,34.0112,36.4295,76.4753,68.5897,,,,1.19,36.1522,,,-58.6074,35.9709
2004-07-02,8.6163,1138701.4911,1425108.7935,,,,75.0,-75.0,34.2632,-0.8333,-36.706,-27.9483,,48.5059,36.3591,,,,,,0.0,36.0967,,,,34.2808,36.57,36.49,29.3182,5.3425,-3.46,2.6828,-26587300.0,10.166,1.8525,,-8.8378,0.9116,36.0258,34.0421,36.2565,78.6177,46.1832,,,,0.6,36.0179,,,-65.9363,35.9004
2004-07-06,8.4304,-330071.6432,625782.4065,,,,70.0,-70.0,34.2898,-0.7313,-93.15,-32.3757,,54.7314,36.222,,,,,,0.0,36.0306,,,,34.1452,36.57,36.265,32.2516,6.0154,-3.58,2.7967,-28726600.0,9.4356,1.7599,,-9.2987,0.907,33.8121,34.0727,36.0775,66.8253,8.7866,,,,1.34,35.8995,,,-79.4311,35.7731
2004-07-07,8.3894,84510.7097,373808.5054,,,,65.0,-65.0,34.3954,-0.1961,-138.1955,-33.3278,,57.9215,36.0818,,,,,,0.0,35.9552,,,,34.1808,35.87,35.99,33.4846,6.2746,-3.75,2.8167,-31075900.0,8.922,1.6719,,-9.7403,0.9026,33.3361,34.1029,35.89,45.9601,20.339,,,,1.02,35.7955,,,-80.8458,35.6467
2004-07-08,8.3676,418007.8112,342858.3958,,,,60.0,-60.0,34.285,0.087,-129.0587,-33.8469,,57.9215,35.9464,,,,,,0.0,35.9073,,,,38.0822,35.87,35.545,32.2351,5.9609,-2.4,2.7823,-32846000.0,8.5891,1.5883,,-6.476,0.9352,33.0766,34.1329,35.77,27.321,17.8947,,,,0.69,35.7108,,,-78.2748,35.5296
2004-07-09,8.3797,-340203.0799,57779.1223,,,,55.0,-45.0,34.1562,0.2079,-95.3769,-33.2403,,48.9885,35.8287,,,,,,0.0,35.8848,,,,46.4184,35.87,35.545,30.4826,5.6628,-1.24,2.7849,-30375700.0,10.4368,1.9389,,-3.4492,0.9655,33.3799,34.15,35.708,20.8033,26.6667,,,,1.01,35.6409,,,-76.6773,35.4286
