date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2005-09-08,11.1558,-8704000.0,,,,,,,,-0.8,,,,,,,,,,,0.0,,,,,,,,,,,,8704000.0,,,,,,,,,,,,,,,,,,,
2005-09-09,11.2024,-5960208.2192,,,,,,,,0.0685,,,,,,,,,,,0.0,,,,,,,,,,,,14773600.0,,,,,,,24.9,,,,,,,0.73,,,,,
2005-09-12,11.9477,-2556240.6516,,,,,,,,0.9135,,,,,,,,,,,0.0,,,,,,,,,,,,18836400.0,,,,,,,23.52,,,,,,,1.85,,,,,
2005-09-13,12.1014,-752135.3885,,,,,,,,0.7105,,,,,,,,,,,0.0,,,,,,,,,,,,21121600.0,,,,,,,23.52,,,,,,,0.76,,,,,
2005-09-14,12.1293,1807758.6286,,,,,,,,0.6838,,,,,,,,,,,0.0,,,,,,,,,,,,27234000.0,,,,,,,23.5708,,,,,,,1.17,,,,,
2005-09-15,12.0268,1394611.2602,,,,,,,,-0.3158,,,,,,,,,,,0.0,,,,,,,,,,,,26112600.0,,,,,,,23.6551,,,,,,,0.38,,,,,
2005-09-16,12.0175,1366168.6373,,,,,,,,0.4754,,,,,,,,,,,0.0,,,,,,,,,,,,24377600.0,,,,,,,23.7368,,,76.1317,,,,0.61,,,,,
2005-09-19,11.6589,-1118107.7264,,,,,,,,-0.5545,,,,,,,,,,,0.0,,,,,,,,,,,,21750000.0,,,,,,,23.8161,,,2.1739,,,,1.1,,,,,
2005-09-20,11.8778,-1196564.8692,,,,,,,,-0.5286,,,,,,,,,,,0.0,,,,,,,,,,,,23123000.0,,,,,,,23.893,,38.1792,36.2319,,,,0.84,,,,,
2005-09-21,11.765999999999998,-3262612.4883,382424.0355,,,,,,,-0.6825,,,,,,,,,,,0.0,,,,,,,,,,,,20096000.0,,,,,,,23.9676,,20.6097,23.4234,,,,0.63,,,,,
2005-09-22,11.6356,-5245945.8216,-733431.2901,,,,,,,-0.6389,,,,,,,,,,,0.0,,,,,,,,,,,,17996000.0,,,,,,,24.04,,20.1775,0.8772,,,,0.36,,,,,
2005-09-23,11.8685,-4844245.8216,-995428.3515,,,,,,,0.4886,,,,,,,,,,,0.0,,,,,,,,,,,,19355600.0,,,,,,,24.1102,,24.0666,47.8992,,,,0.88,,,,,
2005-09-26,11.6263,-5857245.8216,-1334433.6628,,,,,,,-0.6753,,,,,,,,,,,0.0,,,,,,,,,,,,18342600.0,,,,,,,24.1783,,17.9949,5.2083,,,,0.77,,,,,
