date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,9.4716,411444.0476,,,,,,,,0.5952,,,,,,,,,,,0.0,,,,,,,,,,,,652100.0,,,,,,,,,,,,,,,,,,,
1998-01-05,9.2791,-1017903.6086,,,,,,,,-0.293,,,,,,,,,,,0.0,,,,,,,,,,,,-1026400.0,,,,,,,29.13,,,,,,,2.56,,,,,
1998-01-06,8.0742,-4080703.6086,,,,,,,,-0.9099,,,,,,,,,,,0.0,,,,,,,,,,,,-4089200.0,,,,,,,32.25,,,,,,,3.88,,,,,
1998-01-07,7.9003,-5188466.7039,,,,,,,,-0.4107,,,,,,,,,,,0.0,,,,,,,,,,,,-5844900.0,,,,,,,32.25,,,,,,,1.68,,,,,
1998-01-08,7.627000000000002,-6775199.0459,,,,,,,,-0.2565,,,,,,,,,,,0.0,,,,,,,,,,,,-7793900.0,,,,,,,32.1076,,,,,,,2.69,,,,,
1998-01-09,7.0649,-8032462.0293,,,,,,,,-0.5884,,,,,,,,,,,0.0,,,,,,,,,,,,-10214800.0,,,,,,,31.8737,,,,,,,3.62,,,,,
1998-01-12,7.2202,-8669422.0293,,,,,,,,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,-8622400.0,,,,,,,31.4739,,,9.8866,,,,2.5,,,,,
1998-01-13,7.8226,-7366095.0331,,,,,,,,0.308,,,,,,,,,,,0.0,,,,,,,,,,,,-5880200.0,,,,,,,31.0902,,,30.3866,,,,2.63,,,,,
1998-01-14,7.7264,-6280916.3664,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-8022000.0,,,,,,,30.7218,,47.1213,47.1213,,,,1.5,,,,,
1998-01-15,7.4158,-6961742.7734,-1427454.2632,,,,,,,-0.4848,,,,,,,,,,,0.0,,,,,,,,,,,,-8890900.0,,,,,,,30.3681,,57.5011,57.5011,,,,2.31,,,,,
1998-01-16,7.3755,-8178342.7734,-1565677.7998,,,,,,,-0.4,,,,,,,,,,,0.0,,,,,,,,,,,,-10107500.0,,,,,,,30.0286,,48.06399999999999,48.06399999999999,,,,1.25,,,,,
1998-01-20,7.8226,-7951965.9618,-1407860.4611,,,,,,,0.6812,,,,,,,,,,,0.0,,,,,,,,,,,,-9482700.0,,,,,,,29.7026,,52.5724,52.5724,,,,1.88,,,,,
