date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2007-07-27,14.0,9594699.1828,,,,,,,,0.8065,,,,,,,,,,,0.0,,,,,,,,,,,,14627984.0,,,,,,,,,,,,,,,,,,,
2007-07-30,14.99,9388144.6699,,,,,,,,0.3209,,,,,,,,,,,0.0,,,,,,,,,,,,17511485.0,,,,,,,24.92,,,,,,,3.85,,,,,
2007-07-31,16.07,9332065.175,,,,,,,,0.0354,,,,,,,,,,,0.0,,,,,,,,,,,,19732233.0,,,,,,,24.9893,,,,,,,4.19,,,,,
2007-08-01,15.54,8531870.8697,,,,,,,,-0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,18201660.0,,,,,,,25.1729,,,,,,,2.85,,,,,
2007-08-02,16.525,8686224.7021,,,,,,,,0.5676,,,,,,,,,,,0.0,,,,,,,,,,,,19186331.0,,,,,,,25.3529,,,,,,,2.75,,,,,
2007-08-03,15.5,8034090.8926,,,,,,,,-0.7823,,,,,,,,,,,0.0,,,,,,,,,,,,18075941.0,,,,,,,25.5292,,,,,,,4.41,,,,,
2007-08-06,16.375,9424670.8346,,,,,,,,0.2717,,,,,,,,,,,0.0,,,,,,,,,,,,19575160.0,,,,,,,25.7983,,,60.3175,,,,2.76,,,,,
2007-08-07,18.12,10773222.3122,,,,,,,,0.6612,,,,,,,,,,,0.0,,,,,,,,,,,,21565492.0,,,,,,,26.0594,,,88.6167,,,,4.9,,,,,
2007-08-08,18.875,10980671.2918,,,,,,,,0.3061,,,,,,,,,,,0.0,,,,,,,,,,,,23598492.0,,,,,,,26.4982,,78.7924,87.4429,,,,2.61,,,,,
2007-08-09,17.675,10544796.5072,645048.9246,,,,,,,-0.4,,,,,,,,,,,0.0,,,,,,,,,,,,22684561.0,,,,,,,27.1158,,78.7018,60.0457,,,,3.25,,,,,
2007-08-10,18.075,11632506.7204,894399.8869,,,,,,,0.5457,,,,,,,,,,,0.0,,,,,,,,,,,,23800597.0,,,,,,,27.7025,,72.2222,69.1781,,,,3.94,,,,,
2007-08-13,18.44,11390449.5056,838079.8135,,,,,,,-0.7517,,,,,,,,,,,0.0,,,,,,,,,,,,24281484.0,,,,,,,28.2599,,66.6361,70.6845,,,,1.85,,,,,
2007-08-14,16.75,10319659.0191,398144.6456,,,,,,,-0.9459,,,,,,,,,,,0.0,,,,,,,,,,,,23204874.0,,,,,,,28.7894,,52.893,18.8164,,,,3.7,,,,,
2007-08-15,16.725,10206812.4734,146070.4809,,,,,,,-0.5738,,,,,,,,,,,0.0,,,,,,,,,,,,22440296.0,,,,,,,29.2924,,37.404,22.7111,,,,3.137,,,,,
2007-08-16,16.015,10780617.6077,212244.4581,,,,,,,0.0171,,,,,,,,,,,0.0,,,,,,,,,,,,21074232.0,,,,,,,38.85,,25.778000000000002,35.8065,,,,4.75,,,,,
2007-08-17,16.47,10643403.1998,176361.55,,,,,,,-0.6193,,,,,,,,,,,0.0,,,,,,,,,,,,21649143.0,,,,,,,38.7485,,34.703,45.5914,,,,3.31,,,,,
2007-08-20,16.5,10620599.6975,138393.6505,,,,,,,-0.4608,,,,,,,,,,,0.0,,,,,,,,,,,,21940223.0,,,,,,,38.648,,44.0152,50.6478,,,,2.17,,,,,
2007-08-21,17.01,10891638.4309,196519.68399999998,,,,,,,0.1083,,,,,,,,,,,0.0,,,,,,,,,,,,22565697.0,,,,,,,38.5485,,59.1535,81.2214,,,,2.4,,,,,
2007-08-22,17.145,10564655.4845,98393.0617,,,,,,,-0.2681,,,,,,,,,,,0.0,,,,,,,,,,,,22975395.0,,,,,,,38.45,,69.4815,76.5753,,,,1.98,,,,,
2007-08-23,16.895,10320113.8549,-28503.1716,,,,,,28.7184,-0.8951,31.7454,,,,33.3695,,,,,,0.0,,,,,,32.875,31.885,,14.318,,,22665897.0,,17.34,,,,,38.3525,33.3695,68.8798,48.8426,,,,1.62,34.1932,,,-36.3245,33.9264
