date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,9.9945,-179201.0,,,,,,,,-0.9231,,,,,,,,,,,0.0,,,,,,,,,,,,211783.0,,,,,,,,,,,,,,,,,,,
1998-01-05,10.0656,39655.0,,,,,,,,0.4583,,,,,,,,,,,0.0,,,,,,,,,,,,503591.0,,,,,,,31.27,,,,,,,0.48,,,,,
1998-01-06,9.9298,-84773.6,,,,,,,,-0.5167,,,,,,,,,,,0.0,,,,,,,,,,,,296210.0,,,,,,,31.2644,,,,,,,0.6,,,,,
1998-01-07,9.9751,24324.2824,,,,,,,,0.2059,,,,,,,,,,,0.0,,,,,,,,,,,,561162.0,,,,,,,31.2509,,,,,,,0.68,,,,,
1998-01-08,9.8749,40491.8379,,,,,,,,-0.463,,,,,,,,,,,0.0,,,,,,,,,,,,342900.0,,,,,,,31.2245,,,,,,,0.6,,,,,
1998-01-09,9.3058,-631293.3014,,,,,,,,-0.8159,,,,,,,,,,,0.0,,,,,,,,,,,,-720319.0,,,,,,,31.1855,,,,,,,2.13,,,,,
1998-01-12,9.0859,-740088.4975,,,,,,,,0.2157,,,,,,,,,,,0.0,,,,,,,,,,,,-1830030.0,,,,,,,31.0467,,,6.9277,,,,0.91,,,,,
1998-01-13,9.3607,302786.1644,,,,,,,,0.5899,,,,,,,,,,,0.0,,,,,,,,,,,,-688616.0,,,,,,,30.8561,,,38.7755,,,,1.39,,,,,
1998-01-14,9.5612,610915.1644,,,,,,,,0.7089,,,,,,,,,,,0.0,,,,,,,,,,,,-380487.0,,,,,,,30.6296,,23.8776,61.5142,,,,0.79,,,,,
1998-01-15,9.5548,621685.2678,347777.8409,,,,,,,-0.4828,,,,,,,,,,,0.0,,,,,,,,,,,,-692820.0,,,,,,,30.4189,,37.272,68.9286,,,,0.29,,,,,
1998-01-16,9.7455,869227.4107,422500.2784,,,,,,,0.4921,,,,,,,,,,,0.0,,,,,,,,,,,,-346261.0,,,,,,,27.62,,55.9367,96.5517,,,,0.68,,,,,
1998-01-20,10.1206,1814685.4107,715486.9775,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,599197.0,,,,,,,27.6461,,73.5215,100.0,,,,1.16,,,,,
