date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,5.4916,-21410.146,,,,,,,,-0.0949,,,,,,,,,,,0.0,,,,,,,,,,,,225630.0,,,,,,,,,,,,,,,,,,,
1998-01-05,5.8357,469230.6124,,,,,,,,0.6506,,,,,,,,,,,0.0,,,,,,,,,,,,1066282.0,,,,,,,29.38,,,,,,,2.69,,,,,
1998-01-06,5.5483,-165159.1654,,,,,,,,-0.5802,,,,,,,,,,,0.0,,,,,,,,,,,,250638.0,,,,,,,29.4106,,,,,,,1.75,,,,,
1998-01-07,5.0687,-984275.6454,,,,,,,,-0.6759999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,-1577747.0,,,,,,,32.44,,,,,,,3.31,,,,,
1998-01-08,4.8967,-1405262.2374,,,,,,,,-0.504,,,,,,,,,,,0.0,,,,,,,,,,,,-2999999.0,,,,,,,32.3856,,,,,,,1.38,,,,,
1998-01-09,4.7941,-1798681.0374,,,,,,,,-0.3943,,,,,,,,,,,0.0,,,,,,,,,,,,-4092829.0,,,,,,,32.2641,,,,,,,1.75,,,,,
1998-01-12,4.6678,-1678356.2374,,,,,,,,0.1667,,,,,,,,,,,0.0,,,,,,,,,,,,-4844859.0,,,,,,,32.0651,,,12.2191,,,,1.56,,,,,
1998-01-13,4.6221,-1690244.9618,,,,,,,,-0.3911,,,,,,,,,,,0.0,,,,,,,,,,,,-7519822.0,,,,,,,31.7677,,,20.8566,,,,2.25,,,,,
1998-01-14,5.0577,-1128494.7311,,,,,,,,0.5224,,,,,,,,,,,0.0,,,,,,,,,,,,-6249778.0,,,,,,,31.3858,,37.7224,80.0915,,,,3.25,,,,,
1998-01-15,5.0797,-752974.1395,-95102.4382,,,,,,,-0.2347,,,,,,,,,,,0.0,,,,,,,,,,,,-5330400.0,,,,,,,31.023000000000003,,61.2619,82.8375,,,,2.13,,,,,
1998-01-16,4.0052,3479246.4738,1366626.5921,,,,,,,0.2533,,,,,,,,,,,0.0,,,,,,,,,,,,-13683467.0,,,,,,,30.6783,,59.1699,14.5806,,,,7.0,,,,,
1998-01-20,4.245,4266922.1984,2090991.9631,,,,,,,0.3188,,,,,,,,,,,0.0,,,,,,,,,,,,-11509482.0,,,,,,,30.0826,,42.9673,31.4839,,,,1.75,,,,,
1998-01-21,4.1882,3843867.9584,2062624.9055,,,,,,,-0.24,,,,,,,,,,,0.0,,,,,,,,,,,,-12390845.0,,,,,,,29.5227,,24.5161,27.4839,,,,0.5,,,,,
1998-01-22,4.2212,4478742.2918,2065514.3147,,,,,,,0.2857,,,,,,,,,,,0.0,,,,,,,,,,,,-11574578.0,,,,,,,28.9963,,29.7477,30.2752,,,,0.63,,,,,
1998-01-23,4.2102,3988637.9047,1722980.0122,,,,,,,-0.0968,,,,,,,,,,,0.0,,,,,,,,,,,,-12374222.0,,,,,,,28.5015,,45.2947,78.125,,,,0.62,,,,,
1998-01-26,4.1937,2676902.1011,1008847.3135,,,,,,,-0.1964,,,,,,,,,,,0.0,,,,,,,,,,,,-13760207.0,,,,,,,28.0364,,48.7048,37.7143,,,,1.12,,,,,
1998-01-27,4.1754,2132254.4821,451691.7567,,,,,,,-0.1111,,,,,,,,,,,0.0,,,,,,,,,,,,-14433007.0,,,,,,,27.5993,,45.501999999999995,20.6667,,,,0.63,,,,,
1998-01-28,4.1882,2277145.2598,228803.2076,,,,,,,-0.1905,,,,,,,,,,,0.0,,,,,,,,,,,,-13730844.0,,,,,,,27.1883,,27.9048,25.3333,,,,0.63,,,,,
1998-01-29,4.256,2652834.7541,236358.8032,,,,,,,0.7126,,,,,,,,,,,0.0,,,,,,,,,,,,-12847466.0,,,,,,,26.802,,32.0,50.0,,,,0.87,,,,,
1998-01-30,4.2267,2058187.9541,28756.7647,,,,,,25.395,0.04,-56.4631,,,,25.395,,,,,,0.0,,,,,,26.88,26.595,,12.13,,,-13629896.0,,6.68,,,,,26.4389,25.395,38.2222,39.3333,,,,0.75,24.9727,,,-79.9829,24.0332
1998-02-02,4.7026,3429239.9541,377458.2249,,,,50.0,-45.0,25.1795,0.9231,-0.6551,-19.4758,,16.3432,25.4231,,,,,,0.0,23.1759,,,,35.0786,26.88,26.595,32.5141,11.5235,-4.31,7.2343,-12258844.0,23.3794,8.286,,-14.3667,0.8563,40.2621,26.0976,25.1795,63.1111,100.0,,,,2.6,24.5528,,,-57.7417,24.0613
1998-02-03,4.8967,4412291.9541,798583.7109,,,,45.0,-45.0,24.923000000000002,0.8,48.2106,-13.741,,10.1395,25.5495,,,,,,0.0,23.3328,,,,35.0371,26.095,26.25,31.3502,10.9473,-5.13,6.8339,-11275792.0,25.578000000000003,8.9317,,-16.0916,0.8391,43.1295,20.75,24.923000000000002,79.7778,100.0,,,,1.25,24.2391,,,-45.4545,24.2109
1998-02-04,4.9662,4900163.2581,1053495.5782,,,,40.0,-40.0,24.764,0.6,83.5096,-11.7175,,5.9325,25.7,,,,,,0.0,23.4296,,,,39.0116,24.815,25.125,30.2118,10.4,-3.18,6.6317,-10080029.0,26.828000000000003,9.2351,,-10.4916,0.8951,44.1413,20.81,24.764,97.4675,92.4025,,,,1.25,24.043000000000003,,,-27.0857,24.421
1998-02-05,4.7246,4183407.9183,833946.8632,,,,35.0,-35.0,24.67,-0.7621,62.3378,-17.1097,,10.1243,25.7105,,,,,,0.0,23.4666,,,,40.0319,24.815,24.625,30.9242,10.75,-1.88,7.0214,-11310459.0,25.2382,8.7734,,-6.7895,0.9321,41.4452,20.9438,24.67,84.949,62.4444,,,,2.06,23.9395,,,-34.7097,24.5207
1998-02-06,4.6514,4323310.3821,712832.5489,,,,30.0,-10.0,24.603,-0.3406,29.8676,-18.6938,,14.1954,25.6819,,,,,,0.0,23.4895,,,,41.58,24.815,24.625,32.2416,11.0925,-1.34,7.0468,-11749244.0,24.2258,8.3347,,-5.0093,0.9499,40.6531,21.0749,24.603,65.0442,40.2857,,,,1.38,23.8999,,,-39.871,24.5911
1998-02-09,4.5873,4133198.5725,537992.7038,,,-1.0463,25.0,-10.0,24.5465,-0.9048,32.0557,-20.1002,,14.1954,25.6226,,,,,,0.0,23.5059,,,,42.9844,24.815,24.625,31.6319,10.5378,-1.13,6.9137,-11984088.0,23.7677,7.917999999999999,-4.0987,-4.3146,0.9569,39.9499,21.2034,24.5465,40.4656,18.6667,,,,0.63,23.914,,,-44.3871,24.6347
1998-02-10,4.6459,4449860.2392,518314.8698,,,-0.6703,20.0,-10.0,24.5405,0.5067,35.2966,-18.1336,,14.7787,25.5995,,,,,,0.0,23.5147,,,,46.1904,24.815,24.625,31.27,10.1309,-0.12,6.632999999999999,-11034103.0,23.2175,7.5221,-2.6441,-0.4706,0.9953,40.9332,21.3294,24.5405,29.4286,29.3333,23.4601,,,0.75,23.9813,,,-40.2581,24.714000000000002
1998-02-11,4.6331,4252165.4806,400242.4355,,,-0.2176,15.0,-10.0,24.5435,-0.3678,42.3432,-18.4411,,12.3011,25.5719,,,,,,0.0,23.5227,,,,51.9252,24.815,24.625,30.4104,9.6244,0.06,6.4906,-11371347.0,23.7483,7.516,-0.8671,0.2376,1.0024,40.7795,21.4528,24.5435,25.1837,27.551,55.4786,,,0.87,24.0951,,,-41.1613,24.7873
1998-02-12,4.5763,3921452.0935,210327.4132,,,0.1691,10.0,-10.0,24.412,-0.6129,33.8857,-19.8447,,13.6271,25.5175,,,,,,0.0,23.5639,,,,48.0116,24.815,24.565,30.6107,9.3932,-2.63,6.3665,-11910932.0,23.2685,7.1402,0.6793,-9.5186,0.9048,40.0777,21.5737,24.412,30.0726,33.3333,12.9925,,,0.62,24.2464,,44.9131,-44.2988,24.8308
1998-02-13,4.5544,3328385.0935,-75188.9062,,,0.4438,5.0,-5.0,24.2685,-0.3871,36.0398,-20.4028,,13.6271,25.4568,,,,,,0.0,23.6048,,,,44.6006,24.505,24.125,30.2886,8.9235,-2.87,6.1397,-12503999.0,23.0237,6.7832,1.7907,-10.3423,0.8966,39.7986,21.6922,24.2685,20.2948,0.0,0.0,,,0.31,24.4537,,41.0604,-38.8148,24.8754
1998-02-17,4.5653,2721398.1735,-378287.8836,,,0.6543,0.0,60.0,24.4215,-0.12,34.4123,-19.9631,,12.1985,25.4075,,,,,,0.0,23.6921,,,,65.7838,24.97,24.875,29.756999999999998,8.4773,3.06,5.9189,-11705332.0,23.2865,6.6339999999999995,2.6472,13.9854,1.1399,40.0184,21.8084,24.4215,12.8968,5.3571,19.3748,,,0.5,24.6966,,43.0229,-48.7619,24.9393
1998-02-18,4.5763,3044086.3335,-365219.6067,,,0.8592,0.0,55.0,24.511999999999997,0.0,22.5699,-19.5038,,13.7013,25.3687,,,,,,0.0,23.7415,,,,58.7367,24.97,25.0,30.1242,8.3035,1.81,5.7095,-11033065.0,22.8641,6.3023,3.4828,7.8051,1.0781,40.2481,21.9222,24.511999999999997,10.7881,27.0073,45.8273,,,0.5,24.889,,40.4557,-50.0,24.9944
1998-02-19,4.7374,3822606.6192,-78960.711,,,0.8604,25.0,25.0,24.662,0.7857,56.1142,-12.8337,,6.9928,25.4174,15.6467,,0.39299999999999996,,,0.0,23.893,,,0.2522,64.26100000000001,24.97,25.0,28.8886,7.8883,3.0,5.4559,-10042221.0,25.1124,6.8572,3.4857,13.1119,1.1311,43.5832,22.0338,24.662,41.2018,91.2409,100.0,,,1.12,25.0376,,50.8243,-32.4,25.1247
