date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2001-06-13,13.1116,-45104008.7912,,,,,,,,,,,-0.2747,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,69567200.0,,,,,,,,,,,,,,,,,,,,,,
2001-06-14,12.6501,-49367982.1245,,,,,,,,,,,-0.2333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,37587400.0,,,,,,,32.0,,,,,,,,,,1.75,,,,,
2001-06-15,12.8389,-40387169.6245,,,,,,,,,,,0.75,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,51956700.0,,,,,,,31.975,,,,,,,,,,0.8,,,,,
2001-06-18,12.7214,-40536051.106,,,,,,,,,,,-0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,47936900.0,,,,,,,31.9503,,,,,,,,,,0.54,,,,,
2001-06-19,12.755,-41901723.106,,,,,,,,,,,-0.4,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,53627200.0,,,,,,,31.9257,,,,,,,,,,0.5,,,,,
2001-06-20,12.713,-43473849.9353,,,,,,,,,,,-0.2439,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,49835600.0,,,,,,,31.9015,,,,,,,,,,0.41,,,,,
2001-06-21,12.5872,-49501049.9353,,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,43808400.0,,,,,,,31.8775,,,,31.8611,6.25,,,,,0.35,,,,,
2001-06-22,12.5872,-45399149.9353,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,43808400.0,,,,,,,31.8537,,,,28.2822,25.2632,,,,,0.26,,,,,
2001-06-25,12.6501,-42978849.9353,,,,,,,,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,46228700.0,,,,,,,31.8302,,28.1106,24.1886,24.1886,41.0526,,,,,0.3,,,,,
2001-06-26,12.604,-40633194.3797,1296280.9346,,,,,,,,,,0.1481,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,42895400.0,,,,,,,31.8069,,28.607,33.3502,33.3502,33.7349,,,,,0.34,,,,,
2001-06-27,12.562,-39460768.0639,2028340.022,,,,,,,,,,-0.0526,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,39713100.0,,,,,,,31.7838,,30.8792,35.0987,35.0987,30.5085,,,,,0.23,,,,,
2001-06-28,12.7592,-37037319.1278,2914521.5809,,,,,,,,,,0.9149,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,42491200.0,,,,,,,31.761,,40.5754,53.2772,53.2772,95.5882,,,,,0.5,,,,,
2001-06-29,13.0067,-31259519.1278,4850484.8022,,,,,,,,,,0.7463,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,48269000.0,,,,,,,31.7383,,54.5805,75.3656,75.3656,100.0,,,,,0.67,,,,,
2001-07-02,12.7844,-33295833.4135,4553598.4107,,,,,,,,,,-0.8214,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,45101400.0,,,,,,,31.716,,70.7754,83.6835,83.6835,55.4622,,,,,0.58,,,,,
2001-07-03,12.8221,-33129824.3226,4071002.4694,,,,,,,,,,0.4545,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,45710100.0,,,,,,,31.6938,,77.2927,72.8291,72.8291,63.0252,,,,,0.22,,,,,
