date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2007-08-10,27.618000000000002,8575205.625,,,,,,,,0.8125,,,,,,,,,,,0.0,,,,,,,,,,,,9800235.0,,,,,,,,,,,,,,,,,,,
2007-08-13,30.6705,6983823.4882,,,,,,,,0.0422,,,,,,,,,,,0.0,,,,,,,,,,,,12962255.0,,,,,,,21.0,,,,,,,11.17,,,,,
2007-08-14,29.1007,6397513.7235,,,,,,,,-0.8897,,,,,,,,,,,0.0,,,,,,,,,,,,12353567.0,,,,,,,21.1867,,,,,,,2.72,,,,,
2007-08-15,27.6762,5874082.7235,,,,,,,,-0.7639,,,,,,,,,,,0.0,,,,,,,,,,,,11361803.0,,,,,,,21.3715,,,,,,,2.16,,,,,
2007-08-16,27.2304,6129658.4927,,,,,,,,-0.0304,,,,,,,,,,,0.0,,,,,,,,,,,,10254308.0,,,,,,,21.5545,,,,,,,4.94,,,,,
2007-08-17,31.8334,6377565.3443,,,,,,,,0.6951,,,,,,,,,,,0.0,,,,,,,,,,,,10692357.0,,,,,,,21.7357,,,,,,,5.54,,,,,
2007-08-20,29.5271,6256545.4943,,,,,,,,-0.6075,,,,,,,,,,,0.0,,,,,,,,,,,,10457367.0,,,,,,,21.915,,,63.0536,,,,4.0,,,,,
2007-08-21,28.1219,6255832.1109,,,,,,,,-0.2727,,,,,,,,,,,0.0,,,,,,,,,,,,10276881.0,,,,,,,22.0926,,,46.1538,,,,2.71,,,,,
2007-08-22,28.6549,6216914.1109,,,,,,,,0.25,,,,,,,,,,,0.0,,,,,,,,,,,,10354717.0,,,,,,,22.2683,,53.18899999999999,52.5641,,,,1.81,,,,,
2007-08-23,29.0716,6242728.2818,-397451.7042,,,,,,,-0.4472,,,,,,,,,,,0.0,,,,,,,,,,,,10599337.0,,,,,,,22.4424,,51.2347,38.0952,,,,1.99,,,,,
2007-08-24,29.0716,6345243.4494,-293276.4906,,,,,,,0.4855,,,,,,,,,,,0.0,,,,,,,,,,,,10599337.0,,,,,,,22.6146,,47.5854,39.0244,,,,1.73,,,,,
2007-08-27,28.4902,6349224.6908,-222731.1,,,,,,,0.0172,,,,,,,,,,,0.0,,,,,,,,,,,,10426153.0,,,,,,,22.7852,,44.0014,52.3962,,,,1.74,,,,,
2007-08-28,28.0056,6236691.6139,-209429.3193,,,,,,,-0.3077,,,,,,,,,,,0.0,,,,,,,,,,,,10133567.0,,,,,,,22.954,,40.8174,16.7364,,,,1.3,,,,,
2007-08-29,28.4223,6189090.6139,-200094.4254,,,,,,,-0.0969,,,,,,,,,,,0.0,,,,,,,,,,,,10247345.0,,,,,,,23.1212,,37.9482,34.728,,,,1.96,,,,,
2007-08-30,27.8603,6016055.2805,-233141.8998,,,,,,,-0.8333,,,,,,,,,,,0.0,,,,,,,,,,,,9987792.0,,,,,,,23.2867,,30.526999999999997,11.2613,,,,1.2,,,,,
2007-08-31,27.2498,5961403.8458,-242855.6959,,,,,,,-0.8957,,,,,,,,,,,0.0,,,,,,,,,,,,9918727.0,,,,,,,23.4505,,24.1097,4.4118,,,,1.15,,,,,
2007-09-04,27.1335,5939354.9853,-231767.2775,,,,,,,-0.0058,,,,,,,,,,,0.0,,,,,,,,,,,,9783284.0,,,,,,,23.6127,,16.6367,20.9302,,,,1.72,,,,,
2007-09-05,27.6277,6054853.1005,-169411.9536,,,,,,,0.5916,,,,,,,,,,,0.0,,,,,,,,,,,,9982024.0,,,,,,,23.7733,,16.9931,40.5914,,,,1.91,,,,,
2007-09-06,29.0038,5995841.9544,-147278.1445,,,,,,,0.3066,,,,,,,,,,,0.0,,,,,,,,,,,,10161110.0,,,,,,,23.9323,,24.4298,55.8095,,,,3.74,,,,,
2007-09-07,28.5871,5936257.9135,-143793.0407,,,,,,31.8214,-0.4816,34.3761,,,,29.4595,,,,,,0.0,,,,,,30.425,30.335,,9.57,,,10086248.0,,19.11,,,,,24.0896,29.4595,36.3649,47.619,,,,2.45,29.5128,,,-54.4724,29.2545
2007-09-10,28.3933,5852436.7878,-155965.58,,,,0.0,5.0,31.8218,-0.28300000000000003,-3.486,3.69,,32.389,29.4443,,,,,,0.0,29.4985,,,,52.9778,30.425,32.365,16.9395,9.2715,0.8,9.8174,9968305.0,33.1692,18.1545,,2.807,1.0281,51.845,24.2454,29.4995,45.3988,43.8095,,,,1.59,29.4309,,,-70.9788,29.2393
2007-09-11,28.1801,5804036.8095,-162166.5591,,,,15.0,-15.0,31.4775,-0.6413,-24.3936,2.5942,,31.1806,29.4096,,,,,,0.0,29.4894,,,,22.5703,30.425,29.35,17.0985,9.0479,-2.57,9.5553,9862286.0,32.5925,17.2468,,-8.1201,0.9188,51.2971,24.3997,29.371,46.9229,39.619,,,,0.92,29.3325,,,-53.1469,29.1994
