date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,0.0377,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,0.0371,-755.5556,,,,,,,,,,,-0.5079,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-47600.0,,,,,,,1.75,,,,,,,,,,0.063,,,,,
1998-01-06,0.0365,-755.5556,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-49600.0,,,,,,,1.813,,,,,,,,,,0.031,,,,,
1998-01-07,0.0358,-22255.5556,,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-71100.0,,,,,,,1.813,,,,,,,,,,0.031,,,,,
1998-01-08,0.0378,-17455.5556,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-66300.0,,,,,,,1.719,,,,,,,,,,0.094,,,,,
1998-01-09,0.0339,-37055.5556,,,,,,,,,,,-0.504,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-85900.0,,,,,,,1.813,,,,,,,,,,0.188,,,,,
1998-01-12,0.0312,-56555.5556,,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-105400.0,,,,,,,1.813,,,,33.3333,0.0,,,,,0.125,,,,,
1998-01-13,0.0312,-56555.5556,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-105400.0,,,,,,,1.8067,,,,0.0,0.0,,,,,0.0,,,,,
1998-01-14,0.0306,-56555.5556,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-109400.0,,,,,,,1.8006,,11.1111,0.0,0.0,0.0,,,,,0.031,,,,,
1998-01-15,0.0339,-56555.5556,-17960.2596,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-105500.0,,,,,,,1.7907,,6.1684,18.5053,18.5053,55.516,,,,,0.156,,,,,
1998-01-16,0.0352,-49555.5556,-13080.2061,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-98500.0,,,,,,,1.781,,23.448,51.8387,51.8387,100.0,,,,,0.188,,,,,
1998-01-20,0.0345,-52755.5556,-10912.8927,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-101700.0,,,,,,,1.7716,,48.1218,74.0214,74.0214,66.548,,,,,0.094,,,,,
1998-01-21,0.0365,-52755.5556,-9034.1834,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-101600.0,,,,,,,1.7626,,71.5698,88.8493,88.8493,100.0,,,,,0.094,,,,,
1998-01-22,0.0326,-60755.5556,-9989.7856,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-109600.0,,,,,,,1.7538,,75.5956,63.916,63.916,25.2,,,,,0.187,,,,,
1998-01-23,0.0326,-66255.5556,-11222.5515,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-109600.0,,,,,,,1.75,,67.6329,50.1333,50.1333,25.2,,,,,0.156,,,,,
1998-01-26,0.0358,-49455.5556,-5361.1783,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-92800.0,,,,,,,1.75,,52.8856,44.6075,44.6075,83.4225,,,,,0.156,,,,,
1998-01-27,0.0345,-49455.5556,-2475.9639,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-99100.0,,,,,,,1.7416,,49.1753,52.785,52.785,49.7326,,,,,0.063,,,,,
1998-01-28,0.0345,-47855.5556,-561.4704,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-99100.0,,,,,,,1.7334,,52.785,60.9626,60.9626,49.7326,,,,,0.062,,,,,
1998-01-29,0.0339,-63055.5556,-4563.5894,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-114300.0,,,,,,,1.7255,,53.3835,46.4029,46.4029,39.7436,,,,,0.063,,,,,
1998-01-30,0.0332,-57438.5343,-3998.7141,,,,,,,1.454,1.8522,1.6531,-0.3298,-67.6488,,,,1.6531,,,,,,,,0.0,,,,,,,,,,,1.641,1.641,,0.809,,,-130800.0,,0.313,,,,,1.7178,1.6531,49.4537,40.9956,40.9956,33.5106,,,,,0.094,1.6311,,,-63.6628,1.6334
1998-02-02,0.0345,-57709.7343,-3490.4002,,,,40.0,20.0,-20.0,1.4598,1.831,1.6454,0.248,6.9178,-10.9687,,32.52,1.6534,,,,,,,,0.0,1.5951,,,,,,,,,35.5812,1.641,1.641,40.2973,0.7685,-0.154,6.0417,-96900.0,20.5196,0.3914,,-8.5083,0.9149,44.5157,1.469,1.6454,44.6599,46.5812,46.5812,66.4894,,,,,0.125,1.6297,,,-45.6395,1.6337
1998-02-03,0.0339,-57709.7343,-2965.1445,,,,35.0,15.0,-20.0,1.4626,1.8126,1.6376,0.0,-18.839,-12.9909,,32.52,1.6507,,,,,,,,0.0,1.5956,,,,,,,,,45.1884,1.641,1.641,39.6194,0.7301,-0.156,5.9445,-97100.0,20.1744,0.3718,,-8.7591,0.9124,43.5045,1.4715,1.6376,45.8589,50.0,50.0,50.0,,,,,0.031,1.6291,,,-54.6512,1.6318
1998-02-04,0.0339,-57709.7343,-2480.7086,,,,30.0,10.0,-20.0,1.4641,1.7986,1.6313,0.0,-12.9512,-12.9909,,32.52,1.6482,,,,,,,,0.0,1.596,,,,,,,,,45.6997,1.641,1.641,39.6194,0.6936,-0.125,5.6472,-97100.0,20.1744,0.3532,,-7.1429,0.9286,43.5045,1.474,1.6313,50.6926,55.4965,55.4965,50.0,,,,,0.0,1.6285,,,-54.6512,1.6306
1998-02-05,0.0358,-49509.7343,552.0796,,,,25.0,5.0,-20.0,1.4641,1.7986,1.6313,0.0,81.2559,-4.9794,,21.0756,1.655,,,,,,,,0.0,1.5965,,,,,,,,,54.2821,1.641,1.641,37.5,0.6589,0.0,5.3449,-88900.0,24.4447,0.4295,,0.0,1.0,47.5103,1.4764,1.6313,57.3877,66.6667,66.6667,100.0,,,,,0.094,1.6294,,,-27.3256,1.6389
1998-02-06,0.0345,-56709.7343,-548.3324,,,,20.0,0.0,-20.0,1.4777,1.7693,1.6235,-0.5079,68.0286,-9.5061,,21.0756,1.6551,,,,,,,,0.0,1.5975,,,,,,,,,50.6688,1.6095,1.6095,36.1362,0.626,-0.157,5.4611,-96100.0,23.5557,0.4081,,-8.6597,0.9134,45.247,1.4789,1.6235,62.8988,66.5333,66.5333,49.6,,,,,0.063,1.6325,,,-33.452,1.6413
1998-02-09,0.0345,-57409.7343,-1171.3799,,,-0.008,15.0,40.0,25.0,1.4786,1.7715,1.625,0.0,66.5738,-9.5061,,21.0756,1.6552,,,,,,,,0.0,1.5979,,,,,,,,,57.111,1.6095,1.6095,34.8038,0.5947,0.031,5.3782,-96100.0,22.6872,0.3877,-0.4822,1.9077,1.0191,45.247,1.4813,1.625,64.6865,60.8596,60.8596,32.9787,,,,,0.063,1.6373,,,-33.452,1.6444
1998-02-10,0.0365,-67651.4455,-4578.5001,,,0.0099,10.0,100.0,90.0,1.4932,1.7819,1.6375,0.3316,176.2327,-1.5111,,3.7351,1.6642,,,,,,,,0.0,1.6035,,,,,,,,,71.3509,1.6095,1.672,30.6665,0.565,0.25,5.4606,-65700.0,28.4581,0.5243,0.6005,16.6667,1.1667,49.2444,1.4836,1.6375,57.1953,44.1929,44.1929,50.0,62.3319,100.0,,,0.219,1.6421,,,-30.7882,1.6563
1998-02-11,0.0371,-70675.4455,-6518.2766,,,0.0151,5.0,100.0,95.0,1.5089,1.7943,1.6516,-0.752,195.3791,0.9981,,3.7351,1.6753,,,,,,,,0.0,1.6108,,,,,,,,,72.7109,1.625,1.672,28.6222,0.5367,0.281,5.4482,-59700.0,26.5611,0.4981,0.9133,18.7333,1.1873,50.499,1.4915,1.6516,50.5793,46.6854,46.6854,57.0776,81.1659,100.0,,,0.125,1.6466,,,-23.1527,1.6699
