date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,10.6796,3130155.0,,,,,,,,,,,0.75,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4968500.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,10.6186,1839368.8889,,,,,,,,,,,-0.151,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-5078700.0,,,,,,,133.63,,,,,,,,,,5.76,,,,,
1998-01-06,10.6796,1861980.3556,,,,,,,,,,,0.368,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3400600.0,,,,,,,133.63,,,,,,,,,,3.75,,,,,
1998-01-07,10.5518,2757708.8108,,,,,,,,,,,-0.0867,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4286000.0,,,,,,,133.63,,,,,,,,,,3.69,,,,,
1998-01-08,10.6283,5628613.3465,,,,,,,,,,,0.4039,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5416400.0,,,,,,,133.5074,,,,,,,,,,4.63,,,,,
1998-01-09,10.3433,-920918.8027,,,,,,,,,,,-0.5435,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-5525400.0,,,,,,,133.3873,,,,,,,,,,5.63,,,,,
1998-01-12,10.5469,7137748.3376,,,,,,,,,,,0.8668,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4273800.0,,,,,,,133.1617,,,,40.9818,59.4438,,,,,5.63,,,,,
1998-01-13,10.7611,15018480.3764,,,,,,,,,,,0.6383,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12642000.0,,,,,,,132.8101,,,,57.4943,98.4772,,,,,4.12,,,,,
1998-01-14,10.6796,16092901.2995,,,,,,,,,,,-0.3077,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5795200.0,,,,,,,124.37,,59.6109,80.3566,80.3566,83.1488,,,,,3.25,,,,,
1998-01-15,10.7758,19621866.6841,6639778.5614,,,,,,,,,,0.6186,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12123000.0,,,,,,,124.4513,,76.3537,91.2102,91.2102,92.0046,,,,,3.12,,,,,
