date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,10.4773,-291079.0,,,,,,,,-0.655,,,,,,,,,,,0.0,,,,,,,,,,,,786700.0,,,,,,,,,,,,,,,,,,,
1998-01-05,10.6704,-510812.3333,,,,,,,,0.1736,,,,,,,,,,,0.0,,,,,,,,,,,,1775500.0,,,,,,,33.0,,,,,,,1.5,,,,,
1998-01-06,10.4181,-546363.0,,,,,,,,-0.4711,,,,,,,,,,,0.0,,,,,,,,,,,,1160200.0,,,,,,,35.13,,,,,,,2.25,,,,,
1998-01-07,10.01,-793167.8,,,,,,,,-0.248,,,,,,,,,,,0.0,,,,,,,,,,,,326400.0,,,,,,,35.13,,,,,,,2.5,,,,,
1998-01-08,9.9694,-951767.8,,,,,,,,0.248,,,,,,,,,,,0.0,,,,,,,,,,,,-466600.0,,,,,,,35.0524,,,,,,,2.5,,,,,
1998-01-09,9.3651,-2659973.0308,,,,,,,,-0.6738,,,,,,,,,,,0.0,,,,,,,,,,,,-2577500.0,,,,,,,34.9308,,,,,,,3.25,,,,,
1998-01-12,9.2498,-1551290.3641,,,,,,,,0.2933,,,,,,,,,,,0.0,,,,,,,,,,,,-4467300.0,,,,,,,34.7236,,,19.4127,,,,1.56,,,,,
1998-01-13,9.5208,2309.6359,,,,,,,,0.3827,,,,,,,,,,,0.0,,,,,,,,,,,,-2913700.0,,,,,,,34.4124,,,39.2381,,,,0.87,,,,,
1998-01-14,10.1252,422978.8667,,,,,,,,0.3446,,,,,,,,,,,0.0,,,,,,,,,,,,-1090800.0,,,,,,,34.1168,,27.6269,76.1905,,,,3.25,,,,,
1998-01-15,10.281,589057.3477,594186.6251,,,,,,,0.2616,,,,,,,,,,,0.0,,,,,,,,,,,,-27000.0,,,,,,,28.5,,44.0557,81.8182,,,,2.37,,,,,
1998-01-16,10.982,2403610.1779,1188665.1548,,,,,,,0.7642,,,,,,,,,,,0.0,,,,,,,,,,,,2347600.0,,,,,,,28.555,,65.1695,96.4286,,,,2.5,,,,,
1998-01-20,11.3714,2897136.1447,1480831.4378,,,,,,,0.3425,,,,,,,,,,,0.0,,,,,,,,,,,,4425000.0,,,,,,,28.6939,,80.0729,90.7258,,,,1.94,,,,,
1998-01-21,11.7608,4748136.1447,2054687.5137,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,6276000.0,,,,,,,28.9488,,90.0627,100.0,,,,2.5,,,,,
1998-01-22,11.6238,5934692.1447,2480197.589,,,,,,,0.68,,,,,,,,,,,0.0,,,,,,,,,,,,4362200.0,,,,,,,29.3008,,93.2959,92.8105,,,,1.25,,,,,
1998-01-23,11.5677,6582712.7161,2634985.7481,,,,,,,-0.0686,,,,,,,,,,,0.0,,,,,,,,,,,,2138600.0,,,,,,,29.6388,,94.3682,85.8124,,,,1.75,,,,,
1998-01-26,10.6891,3519149.4574,1483993.8901,,,,,,,-0.901,,,,,,,,,,,0.0,,,,,,,,,,,,-1681700.0,,,,,,,29.9632,,83.2276,8.2667,,,,3.13,,,,,
1998-01-27,10.8449,4559701.821,1209309.892,,,,,,,0.1127,,,,,,,,,,,0.0,,,,,,,,,,,,407000.0,,,,,,,30.2747,,66.7546,41.2,,,,2.75,,,,,
1998-01-28,11.4898,5867948.4502,1403262.1938,,,,,,,0.4213,,,,,,,,,,,0.0,,,,,,,,,,,,2807700.0,,,,,,,30.5737,,50.4706,82.6,,,,3.56,,,,,
1998-01-29,11.3714,4420529.2194,894494.5444,,,,,,,-0.1603,,,,,,,,,,,0.0,,,,,,,,,,,,405600.0,,,,,,,30.8608,,51.794,75.0,,,,1.56,,,,,
1998-01-30,10.7888,3521555.7649,319007.63,,,,,,34.1165,-0.8618,41.6142,,,,34.1165,,,,,,0.0,,,,,,33.72,33.125,,10.88,,,-836700.0,,10.13,,,,,31.1363,34.1165,58.4519,37.6,,,,2.75,34.0195,,,-33.7297,34.9171
1998-02-02,11.6829,5731678.8418,757801.4504,,,,30.0,60.0,34.31,0.7012,74.4762,15.8802,,0.4007,34.4387,,,,,,0.0,34.7036,,,,58.2795,33.72,33.125,23.0031,10.336,3.87,6.2827,1557600.0,22.8195,10.2535,,11.5076,1.1151,57.9401,31.4009,34.31,66.8444,95.0,,,,3.38,34.4019,,,-2.7027,35.2394
1998-02-03,11.82,7404554.4143,1400695.5637,,,,25.0,75.0,34.4945,0.2901,99.9156,17.4491,,1.759,34.7722,,,,,,0.0,34.7827,,,,59.6555,33.815,33.28,22.3182,9.8192,3.69,6.072,3605700.0,23.1174,10.1708,,10.7737,1.1077,58.7245,31.6549,34.4945,70.2607,96.9466,,,,1.31,34.7826,,,-1.2552,35.5851
1998-02-04,11.9945,8900363.2901,2012300.9283,,,,20.0,80.0,34.7475,0.8521,104.32,19.4615,,5.2033,35.1272,,,,,,0.0,34.9195,,,,62.9503,34.095,33.625,21.4509,9.3282,5.06,5.9039,5730000.0,23.8057,10.3523,,15.1316,1.1513,59.7307,31.9751,34.7475,80.3931,94.4444,,,,1.69,35.1497,,,-2.439,35.9666
1998-02-05,11.7421,7894923.1074,1759653.8895,,,,15.0,85.0,35.0255,-0.3425,97.6297,15.1862,,8.8594,35.3713,,,,,,0.0,35.0386,,,,65.7275,34.095,34.0,20.371,8.8618,5.56,6.0198,4190200.0,24.3313,10.5847,,17.3047,1.173,57.5931,32.3816,35.0255,85.8725,65.5238,,,,2.19,35.4811,,,-16.4545,36.2468
1998-02-06,11.8387,9311654.3958,1947107.8845,,,,10.0,85.0,35.3255,0.3804,73.6617,16.3916,,4.2869,35.6216,,,,,,0.0,35.1786,,,,63.9957,34.095,34.0,21.4836,9.2287,6.0,5.8866,5875800.0,23.4081,10.0554,,18.75,1.1875,58.1958,32.8799,35.3255,86.0781,71.4286,,,,1.63,35.7733,,,-13.6364,36.5301
1998-02-09,11.7234,9231365.5069,1821237.3374,,,1.8091,5.0,85.0,35.704,-0.3086,72.7779,14.3498,,6.1817,35.8129,,,,,,0.0,35.359,,,,68.0045,34.095,34.0,20.6633,8.7673,7.57,5.8625,4791900.0,23.3864,9.9227,5.1712,25.183000000000003,1.2518,57.1749,33.3433,35.704,73.65899999999998,37.6667,,,,1.62,36.049,,,-17.0,36.7496
1998-02-10,11.7421,8692047.3251,1432576.5705,,,1.6996,0.0,85.0,36.104,-0.0682,77.1077,14.6055,,6.1817,35.9917,,,,,,0.0,35.5498,,,,71.5505,34.53,34.625,20.2219,8.3289,8.0,5.6773,5741100.0,22.8867,9.4265,4.8366,26.9451,1.2695,57.3027,33.7743,36.104,61.642,39.6667,5.0026,,,0.88,36.3123,,,-18.5641,36.9387
