date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,8.3046,-546812.64,,,,,,,,-0.82,,,,,,,,,,,0.0,,,,,,,,,,,,621378.0,,,,,,,,,,,,,,,,,,,
1998-01-05,8.3046,-630812.64,,,,,,,,0.4386,,,,,,,,,,,0.0,,,,,,,,,,,,621378.0,,,,,,,21.0,,,,,,,0.57,,,,,
1998-01-06,8.2011,-414086.64,,,,,,,,-0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,-28800.0,,,,,,,20.9881,,,,,,,0.75,,,,,
1998-01-07,8.3584,191291.36,,,,,,,,0.6032,,,,,,,,,,,0.0,,,,,,,,,,,,576578.0,,,,,,,20.9545,,,,,,,0.63,,,,,
1998-01-08,8.4619,703291.36,,,,,,,,0.6786,,,,,,,,,,,0.0,,,,,,,,,,,,1088578.0,,,,,,,20.9216,,,,,,,0.56,,,,,
1998-01-09,8.2798,-151819.4971,,,,,,,,-0.3393,,,,,,,,,,,0.0,,,,,,,,,,,,-407866.0,,,,,,,20.8894,,,,,,,0.56,,,,,
1998-01-12,8.0479,-112458.1515,,,,,,,,0.4691,,,,,,,,,,,0.0,,,,,,,,,,,,-863333.0,,,,,,,20.8578,,,52.8271,,,,1.0,,,,,
1998-01-13,8.1514,-295266.9579,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-565066.0,,,,,,,20.8021,,,46.5114,,,,0.5,,,,,
1998-01-14,8.4619,95933.0421,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-173866.0,,,,,,,20.748,,52.9431,59.4907,,,,1.0,,,,,
1998-01-15,8.4371,-365873.2534,-13273.3673,,,,,,,0.0795,,,,,,,,,,,0.0,,,,,,,,,,,,-829333.0,,,,,,,19.0,,58.968,70.9018,,,,0.88,,,,,
1998-01-16,8.0728,-1241295.9704,-342477.7276,,,,,,,-0.8302,,,,,,,,,,,0.0,,,,,,,,,,,,-1960977.0,,,,,,,19.0213,,64.3823,62.7543,,,,1.06,,,,,
1998-01-20,8.0231,-845237.2676,-319999.2217,,,,,,,-0.3243,,,,,,,,,,,0.0,,,,,,,,,,,,-3088221.0,,,,,,,19.0424,,55.7479,33.5876,,,,0.37,,,,,
1998-01-21,7.8658,-1278141.9949,-419455.0441,,,,,,,-0.8636,,,,,,,,,,,0.0,,,,,,,,,,,,-3683465.0,,,,,,,21.13,,36.4155,12.9046,,,,0.44,,,,,
1998-01-22,8.0231,-1076731.2715,-357924.01,,,,,,,0.2021,,,,,,,,,,,0.0,,,,,,,,,,,,-3091821.0,,,,,,,21.1081,,20.1319,13.9034,,,,0.94,,,,,
1998-01-23,7.5553,-2039355.0003,-606503.0452,,,,,,,-0.8983,,,,,,,,,,,0.0,,,,,,,,,,,,-4300221.0,,,,,,,21.0609,,12.7588,11.4684,,,,1.25,,,,,
1998-01-26,7.4269,-2623548.6474,-838937.625,,,,,,,-0.6471,,,,,,,,,,,0.0,,,,,,,,,,,,-5009599.0,,,,,,,20.973000000000003,,12.344000000000001,11.6601,,,,0.68,,,,,
1998-01-27,7.3731,-483288.8207,-176765.6788,,,,,,,0.3333,,,,,,,,,,,0.0,,,,,,,,,,,,-7641066.0,,,,,,,20.8493,,11.6064,11.6907,,,,0.81,,,,,
