date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,13.2098,-476592.7007,,,,,,,,-0.7299,,,,,,,,,,,0.0,,,,,,,,,,,,1036400.0,,,,,,,,,,,,,,,,,,,
1998-01-05,11.9433,-1265806.4938,,,,,,,,-0.7685,,,,,,,,,,,0.0,,,,,,,,,,,,-159200.0,,,,,,,31.56,,,,,,,4.06,,,,,
1998-01-06,11.3209,-1572303.82,,,,,,,,-0.369,,,,,,,,,,,0.0,,,,,,,,,,,,-2451800.0,,,,,,,31.5138,,,,,,,2.25,,,,,
1998-01-07,11.8352,-358856.3974,,,,,,,,0.4536,,,,,,,,,,,0.0,,,,,,,,,,,,-668400.0,,,,,,,31.3911,,,,,,,1.94,,,,,
1998-01-08,10.9967,-1182854.3974,,,,,,,,-0.845,,,,,,,,,,,0.0,,,,,,,,,,,,-1862600.0,,,,,,,31.2709,,,,,,,2.25,,,,,
1998-01-09,10.5644,-777101.8259,,,,,,,,-0.3943,,,,,,,,,,,0.0,,,,,,,,,,,,-3781700.0,,,,,,,31.0867,,,,,,,2.06,,,,,
1998-01-12,9.942,-1780585.8685,,,,,,,,-0.0319,,,,,,,,,,,0.0,,,,,,,,,,,,-5039400.0,,,,,,,30.7784,,,7.5418,,,,1.88,,,,,
1998-01-13,10.6465,-2193215.3163,,,,,,,,0.3865,,,,,,,,,,,0.0,,,,,,,,,,,,-3221600.0,,,,,,,30.38,,,18.3664,,,,2.63,,,,,
1998-01-14,10.9145,-2087798.2432,,,,,,,,0.3049,,,,,,,,,,,0.0,,,,,,,,,,,,-1780900.0,,,,,,,30.0015,,19.4883,32.5567,,,,1.0,,,,,
1998-01-15,11.0226,-2952554.2432,-790680.4423,,,,,,,0.16,,,,,,,,,,,0.0,,,,,,,,,,,,-509200.0,,,,,,,29.6419,,36.3967,58.2669,,,,0.88,,,,,
1998-01-16,11.4289,-2201006.2432,-571264.9972,,,,,,,0.7467,,,,,,,,,,,0.0,,,,,,,,,,,,385500.0,,,,,,,29.3003,,56.4834,78.6265,,,,1.0,,,,,
1998-01-20,12.1032,-1239813.386,-123736.8608,,,,,,,0.1488,,,,,,,,,,,0.0,,,,,,,,,,,,1908900.0,,,,,,,28.9758,,75.8762,90.7352,,,,1.87,,,,,
1998-01-21,11.7531,-1711733.0289,-79564.6131,,,,,,,-0.7232,,,,,,,,,,,0.0,,,,,,,,,,,,851800.0,,,,,,,28.6675,,85.2518,86.3938,,,,1.12,,,,,
1998-01-22,10.5385,-3741677.4139,-700152.3967,,,,,,,-0.5989,,,,,,,,,,,0.0,,,,,,,,,,,,-1919000.0,,,,,,,28.3746,,77.575,55.5961,,,,3.06,,,,,
1998-01-23,9.782,-5868795.3827,-1567189.2622,,,,,,,-0.8789,,,,,,,,,,,0.0,,,,,,,,,,,,-4416900.0,,,,,,,28.0964,,55.9097,25.7392,,,,2.56,,,,,
1998-01-26,10.5082,-4771778.0987,-1430363.4566,,,,,,,0.2654,,,,,,,,,,,0.0,,,,,,,,,,,,-2983700.0,,,,,,,27.756999999999998,,31.6756,13.6915,,,,1.87,,,,,
1998-01-27,10.2661,-5545317.7213,-1490482.4655,,,,,,,-0.5283,,,,,,,,,,,0.0,,,,,,,,,,,,-4447900.0,,,,,,,27.438000000000002,,19.6608,19.5516,,,,1.06,,,,,
1998-01-28,10.2661,-6522117.7213,-1690378.1995,,,,,,,-0.8636,,,,,,,,,,,0.0,,,,,,,,,,,,-4447900.0,,,,,,,27.1381,,21.3272,30.7386,,,,0.44,,,,,
1998-01-29,10.9707,-5378241.7213,-1254522.4362,,,,,,,0.88,,,,,,,,,,,0.0,,,,,,,,,,,,-2942800.0,,,,,,,26.8562,,34.1453,52.1458,,,,1.75,,,,,
1998-01-30,10.3483,-6119341.7213,-1197974.857,,,,,,21.6996,-1.0,-51.55,,,,25.4895,,,,,,0.0,,,,,,26.595,27.0,,12.75,,,-3683900.0,,5.43,,,,,26.5913,25.4895,46.675,57.1405,,,,1.69,25.3718,,,-83.5526,24.9064
1998-02-02,10.4823,-5341676.9213,-818496.1513,,,,0.0,-70.0,22.1524,0.096,-74.8099,-24.3347,,42.9401,25.3715,,,,,,0.0,23.9538,,,,44.2016,25.315,26.72,37.0787,12.9225,-6.31,7.5505,-2702000.0,14.8014,5.1585,,-20.6479,0.7935,37.8326,26.3422,25.174,56.3648,59.808,,,,1.25,25.2587,,,-78.8551,24.7884
1998-02-03,10.3742,-5267319.7785,-565187.0306,,,,0.0,-65.0,22.1521,0.1071,-66.8714,-25.0949,,42.9401,25.2408,,,,,,0.0,23.955,,,,47.4942,25.315,25.375,36.461999999999996,12.2764,-3.63,7.3644,-3396000.0,14.5552,4.9006,,-13.1379,0.8686,37.4525,26.1081,24.9925,52.1101,39.3818,,,,0.56,25.1467,,,-73.4242,24.6766
1998-02-04,10.4823,-7582511.2678,-1146831.7705,,,,45.0,-15.0,22.0931,0.0,-29.3216,-23.7858,,35.6261,25.1465,,,,,,0.0,23.959,,,,55.9248,25.315,25.375,35.2178,11.6626,-1.94,7.157,-742000.0,16.7159,5.5355,,-7.4074,0.9259,38.1071,25.888,24.8955,46.8855,41.4667,,,,1.13,25.0046,,,-69.1652,24.6059
1998-02-05,10.2921,-10534511.2678,-2219792.6396,,,,40.0,-15.0,22.1233,-0.6111,-39.8682,-25.2353,,37.0893,25.0192,,,,,,0.0,23.955,,,,47.9497,25.315,25.375,34.8314,11.4594,-3.57,7.2272,-3694000.0,15.9842,5.2588,,-13.0387,0.8696,37.3823,25.6811,24.717,38.8162,35.6,,,,1.44,24.8483,,,-76.661,24.5025
1998-02-06,9.942,-12025754.0159,-2931418.1749,,,,35.0,-15.0,21.9205,-0.5725,-107.5972,-27.8928,,41.2334,24.8269,,,,,,0.0,23.936999999999998,,,,45.8698,25.315,25.375,36.8695,12.0065,-2.44,7.3924,-6525200.0,15.3412,4.9958,,-9.5912,0.9041,36.0536,25.4866,24.595,35.0344,28.0365,,,,1.31,24.7225,,,-90.46,24.339000000000002
1998-02-09,9.2936,-15355154.0159,-4015399.6962,,,-1.3089,30.0,-70.0,21.4518,-0.7113,-163.036,-32.5653,,45.2659,24.51,,,,,,0.0,23.881999999999998,,,,44.3743,24.75,24.905,38.3135,12.5961,-2.94,7.9639,-9854600.0,14.436,4.746,-5.2308,-12.0295,0.8797,33.7174,25.3038,24.448,25.5799,13.1031,,,,1.94,24.5968,,,-100.0,24.0442
1998-02-10,9.4578,-15887763.1068,-4263276.8751,,,-1.0376,25.0,-70.0,21.2512,0.3636,-160.4718,-30.3135,,45.2659,24.2596,,,,,,0.0,23.8625,,,,43.6731,24.75,24.905,37.1941,11.9663,-1.12,7.6491,-7901700.0,14.0142,4.5087,-4.2025,-4.8696,0.9513,34.8432,25.0376,24.392,16.1846,7.4142,8.5494,,,0.94,24.4553,,,-94.42,23.7996
