date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Lower Band,Real Upper Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2000-01-03,3791.0,793954329.8969,,,,,,,,,,,0.1804,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1510070000.0,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,3546.0,-677389955.8174,,,,,,,,,,,-0.9866,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1770000.0,,,,,,,3837.0,,,,,,,,,,248.0,,,,,
2000-01-05,3507.0,-115849661.6997,,,,,,,,,,,-0.1765,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1737440000.0,,,,,,,3834.06,,,,,,,,,,204.0,,,,,
2000-01-06,3341.0,-1589855883.922,,,,,,,,,,,-0.8167,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3335760000.0,,,,,,,3824.8188,,,,,,,,,,180.0,,,,,
2000-01-07,3530.0,45074116.078,,,,,,,,,,,0.8977,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1700830000.0,,,,,,,3810.0942,,,,,,,,,,215.0,,,,,
2000-01-10,3717.0,1070352903.9568,,,,,,,,,,,0.803,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9120000.0,,,,,,,3790.2905,,,,,,,,,,226.0,,,,,
2000-01-11,3544.0,-181333628.7065,,,,,,,,,,,-0.8593,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1703580000.0,,,,,,,3771.2788,,,,51.9274,60.6844,,,,,199.0,,,,,
2000-01-12,3478.0,-974801628.7065,,,,,,,,,,,-0.568,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3229480000.0,,,,,,,3756.0,,,,36.9615,59.2756,,,,,125.0,,,,,
2000-01-13,3612.0,502168371.2935,,,,,,,,,,,0.9831,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1752510000.0,,,,,,,3738.36,,57.3462,52.0786,67.3469,52.0786,,,,,134.0,,,,,
2000-01-14,3705.0,718250545.2066,200354614.9944,,,,,,,,,,0.5652,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-95880000.0,,,,,,,3315.0,,57.9792,62.5833,83.4416,62.5833,,,,,133.0,,,,,
