date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2002-05-23,1.1964,330220.5882,,,,,,,,0.4118,,,,,,,,,,,0.0,,,,,,,,,,,,7485000.0,,,,,,,,,,,,,,,,,,,
2002-05-24,1.21,269205.2036,,,,,,,,-0.1538,,,,,,,,,,,0.0,,,,,,,,,,,,8278200.0,,,,,,,16.04,,,,,,,0.4,,,,,
2002-05-28,1.1571,-202894.7964,,,,,,,,-0.7524,,,,,,,,,,,0.0,,,,,,,,,,,,7806100.0,,,,,,,16.0511,,,,,,,1.05,,,,,
2002-05-29,1.1036,-466185.7055,,,,,,,,-0.7727,,,,,,,,,,,0.0,,,,,,,,,,,,7323400.0,,,,,,,17.25,,,,,,,1.1,,,,,
2002-05-30,1.0714,-1191485.7055,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,6598100.0,,,,,,,17.25,,,,,,,0.51,,,,,
2002-05-31,1.0764,-949645.7055,,,,,,,,-0.3,,,,,,,,,,,0.0,,,,,,,,,,,,7202700.0,,,,,,,17.205,,,,,,,0.1,,,,,
2002-06-03,1.1286,-852543.7447,,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,7427800.0,,,,,,,17.1609,,,12.8889,,,,1.02,,,,,
2002-06-04,1.1179,-966148.6227,,,,,,,,-0.6098,,,,,,,,,,,0.0,,,,,,,,,,,,7206000.0,,,,,,,17.1177,,,29.5556,,,,0.41,,,,,
2002-06-05,1.1471,-907702.0474,,,,,,,,0.6986,,,,,,,,,,,0.0,,,,,,,,,,,,7315400.0,,,,,,,17.0753,,33.2298,57.2448,,,,0.73,,,,,
2002-06-06,1.1821,-940078.9705,-286930.9205,,,,,,,0.3846,,,,,,,,,,,0.0,,,,,,,,,,,,7480100.0,,,,,,,15.0,,51.7188,68.3559,,,,1.19,,,,,
2002-06-07,1.1186,-998382.8166,-258882.3848,,,,,,,-0.7981,,,,,,,,,,,0.0,,,,,,,,,,,,7382300.0,,,,,,,15.0225,,62.1038,60.7107,,,,1.1,,,,,
2002-06-10,1.1564,-995911.3881,-223086.8579,,,,,,,0.5357,,,,,,,,,,,0.0,,,,,,,,,,,,7416900.0,,,,,,,15.0448,,58.2515,45.6881,,,,0.79,,,,,
2002-06-11,1.1536,-1007861.3881,-191964.8826,,,,,,,-0.0476,,,,,,,,,,,0.0,,,,,,,,,,,,7345200.0,,,,,,,15.0668,,47.3623,35.6881,,,,0.84,,,,,
2002-06-12,1.0929,-1126476.7727,-199523.0712,,,,,,,-0.6538,,,,,,,,,,,0.0,,,,,,,,,,,,7216700.0,,,,,,,15.0887,,36.292,27.5,,,,1.3,,,,,
2002-06-13,1.0829,-1285008.9761,-234918.6611,,,,,,,-0.5085,,,,,,,,,,,0.0,,,,,,,,,,,,7033300.0,,,,,,,15.1103,,25.9539,14.6735,,,,0.59,,,,,
2002-06-14,0.9864,-1585150.8679,-323542.1261,,,,,,,-0.9054,,,,,,,,,,,0.0,,,,,,,,,,,,6691600.0,,,,,,,17.25,,14.9705,2.7379,,,,1.48,,,,,
2002-06-17,0.9221,-1910932.6861,-434042.1107,,,,,,,-0.6465,,,,,,,,,,,0.0,,,,,,,,,,,,6344800.0,,,,,,,17.2147,,6.6146,2.4323,,,,1.98,,,,,
2002-06-18,0.9107,-1593050.3332,-338643.8911,,,,,,,-0.2868,,,,,,,,,,,0.0,,,,,,,,,,,,5572800.0,,,,,,,17.1274,,4.4827,8.2778,,,,1.36,,,,,
2002-06-19,0.9514,-1541737.2297,-252504.6419,,,,,,,0.3862,,,,,,,,,,,0.0,,,,,,,,,,,,5964400.0,,,,,,,16.9673,,10.3236,20.2606,,,,1.45,,,,,
2002-06-20,0.9571,-1908951.5155,-311151.7998,,,,,,12.6868,-0.1587,-107.9001,,,,15.206,,,,,,0.0,,,,,,14.845,14.595,,6.4,,,6400900.0,,3.88,,,,,16.812,15.206,21.3364,35.4709,,,,1.26,15.4622,,,-71.3012,14.6733
2002-06-21,0.9793,-1822261.8603,-279274.2195,,,,85.0,-85.0,12.559000000000001,-0.069,-102.0962,-31.0204,,24.7448,15.0635,,,,,,0.0,13.4196,,,,37.3863,14.845,14.52,33.3752,6.11,-3.04,7.0168,6568500.0,20.1344,3.6860000000000004,,-18.1493,0.8185,34.4898,16.6613,15.054,35.1775,49.8009,,,,0.58,15.3097,,,-64.8352,14.5308
2002-06-24,0.9786,-1868111.8603,-255433.4622,,,,80.0,-40.0,12.4888,-0.0125,-80.188,-31.0944,,20.2233,14.9337,,,,,,0.0,13.4396,,,,29.8165,14.65,14.52,31.9075,5.8045,-3.24,6.9628,6385100.0,21.1729,3.8517,,-19.1263,0.8087,34.4528,16.5152,14.892000000000001,48.3489,59.775,,,,0.8,15.1445,,,-65.0183,14.4019
2002-06-25,0.9643,-1988754.7174,-260845.5649,,,,75.0,-40.0,12.3596,-0.4048,-78.4966,-32.6165,,21.4225,14.7971,,,,,,0.0,13.4432,,,,31.1906,14.65,14.52,31.201,5.6543,-2.7,7.0237,6103600.0,20.1915,3.6591,,-16.6667,0.8333,33.6917,16.3734,14.757,56.598,60.2182,,,,0.84,14.9621,,,-68.6813,14.2693
2002-06-26,0.9886,-1823624.2412,-186804.8586,,,,70.0,-40.0,12.2695,0.3333,-72.9735,-27.5737,,24.4947,14.706,,,,,,0.0,13.4555,,,,32.9946,14.65,14.52,31.3784,5.7316,-1.61,6.888,6312500.0,19.0308,3.4762,,-10.4207,0.8958,36.2132,16.2359,14.6765,59.3448,58.0411,,,,1.05,14.7668,,,-62.4542,14.182
2002-06-27,0.9436,-2096324.2412,-226301.4007,,,,65.0,-40.0,12.1029,-0.8762,-65.8866,-32.5745,,20.2337,14.5635,,,,,,0.0,13.447000000000001,,,,36.2376,14.65,14.52,29.588,5.445,-1.79,7.2531,6039800.0,19.6295,3.6124,,-11.9333,0.8807,33.7128,16.1025,14.587,53.638000000000005,42.6548,,,,1.05,14.5552,,,-73.9927,14.0423
2002-06-28,0.9993,-1793264.7818,-125458.2126,,,-1.2405,60.0,-40.0,12.0463,0.7297,-43.2983,-21.6295,,20.2337,14.5089,,,,,,0.0,13.4566,,,,48.5208,14.65,14.52,28.0175,5.1727,-1.08,6.8565,6699400.0,18.5876,3.4317,-8.3543,-7.1666,0.9283,39.1852,15.9732,14.533,51.295,53.1892,,,,0.98,14.3437,,,-59.707,13.9854
2002-07-01,1.0279,-1692831.4484,-40842.8284,,,-1.2139,55.0,-40.0,12.0444,0.52,-14.8713,-16.4404,,13.8281,14.4976,,,,,,0.0,13.4794,,,,49.3142,14.65,14.52,26.8685,4.9141,-1.41,6.5932,7026900.0,20.3404,3.7201,-8.2254,-8.9241,0.9108,41.7798,15.8477,14.4625,52.8462,62.6947,66.9445,,,0.75,14.1572,,,-52.381,13.9718
2002-07-02,1.1729,-1236820.0329,142580.0817,,,-0.9764,50.0,-40.0,11.985999999999999,0.7626,79.58,5.1723,,9.2858,14.6806,,,,,,0.0,13.5126,,,,53.4776,14.65,14.52,23.6675,4.6684,0.77,6.2048,7671200.0,28.5128,5.6241,-6.6251,4.9201,1.0492,52.5861,11.79,14.501,67.1787,85.6522,100.0,,,2.35,14.0303,,,-15.2015,14.1582
2002-07-03,1.2143,-882720.0329,317323.083,,,-0.6663,45.0,-40.0,11.8873,0.3704,112.5609,10.186,,11.6355,14.9015,,,,,,0.0,13.5585,,,,55.6945,14.875,14.52,22.076999999999998,4.435,0.94,6.0905,8025300.0,27.891,5.6029,-4.5118,5.8531,1.0585,55.093,11.8395,14.548,80.2056,92.2698,100.0,,,1.35,13.9632,,60.1412,-4.5788,14.3962
2002-07-05,1.2764,-815940.0329,381209.485,,,-0.3328,40.0,60.0,11.7041,0.725,165.8366,17.105999999999998,,21.4391,15.1842,,,,,,0.0,13.6344,,,,55.5876,15.31,14.99,20.7709,4.2132,1.32,5.84,8168400.0,32.1076,6.5128,-2.239,7.9758,1.0798,58.553000000000004,11.9427,14.614,90.9646,94.9719,100.0,,,1.2,13.9616,,64.4208,-5.0,14.7126
2002-07-08,1.1757,-929431.5583,336578.4837,,,-0.1272,35.0,60.0,11.6667,-0.9068,108.9958,3.5013,,14.2625,15.3057,,,,,,0.0,13.665,,,,55.0834,15.31,14.99,22.3307,4.6426,0.8,6.485,8028900.0,29.7601,6.1871,-0.8529,5.1086,1.0511,51.7507,12.1301,14.654000000000002,90.5164,84.3075,86.4817,,,1.52,14.0137,,57.5806,-27.0313,14.8884
2002-07-09,1.1607,-902079.3844,296425.2672,,,0.0649,30.0,60.0,11.6634,-0.1739,78.4724,1.6499,,6.4988,15.3957,,,,,,0.0,13.6768,,,,52.7204,15.31,14.99,24.6904,5.1604,0.06,6.5942,7819200.0,28.1227,5.8778,0.4335,0.3706,1.0037,50.825,12.3119,14.657,81.9405,66.542,53.1484,,,1.15,14.1067,,61.0468,-30.3125,15.0404
2002-07-10,1.1636,-862802.4614,265548.4027,,,0.261,25.0,60.0,11.6559,0.0462,79.0643,2.0014,,6.4988,15.4809,15.6467,,1.9925,,,0.0,13.6902,,,2.8127,53.0541,15.31,14.99,23.9078,4.9024,0.14,6.4486,7930200.0,27.2312,5.5839,1.7422,0.8669,1.0087,51.0007,12.4883,14.664000000000001,65.0629,44.3393,20.573,,,0.65,14.2477,,60.6068,-29.6875,15.196
2002-07-11,1.2693,-705132.8535,278943.7967,,,0.5187,20.0,60.0,11.4956,0.7892,117.4055,13.9747,,18.0198,15.6989,17.2118,,0.8723,,,0.0,13.8277,-0.3999,-0.4125,2.9623,55.8147,15.31,14.99,21.6415,4.6573,2.47,6.19,8110900.0,31.1553,6.7047,3.443,16.1438,1.1614,56.9874,12.6593,14.7875,54.4191,52.376000000000005,27.3382,,,2.04,14.4485,,66.5741,-6.5625,15.4918
2002-07-12,1.2079,-903858.3437,195834.3658,,,0.7701,15.0,60.0,11.4575,-0.9706,106.9835,6.0494,,18.1714,15.8142,18.9332,,-1.3288,,,0.0,13.8919,-0.2598,-0.1891,3.1018,59.1903,15.31,14.99,20.613000000000003,4.4244,1.75,6.4811,7908200.0,29.768,6.3895,5.1014,11.5435,1.1154,53.0247,12.8252,14.875,50.7818,55.6301,39.2369,,,1.02,14.6963,,58.2188,-20.0,15.6939
2002-07-15,1.1429,-972962.0781,122044.3772,,,0.9713,10.0,60.0,11.5702,-0.5809,53.2376,-1.5738,,0.304,15.8319,20.0033,,-3.3189,,,0.0,13.9512,-0.1532,0.0537,3.2308,59.1689,15.31,14.99,26.4603,6.0332,2.19,7.2604,7605400.0,26.6216,6.07,6.4428,15.8581,1.1586,49.2131,12.9862,14.9845,55.211000000000006,57.626999999999995,38.4789,,,2.41,14.98,,51.6032,-34.2188,15.800999999999998
2002-07-16,1.1264,-995453.97,73606.1092,,,1.1804,5.0,60.0,11.8354,-0.5,32.537,-3.4208,,0.304,15.825999999999999,20.4203,,-2.7887,,,0.0,14.029000000000002,-0.0766,0.2933,3.3562,60.8162,15.31,14.99,25.5862,5.7315,2.86,7.2326,7466700.0,25.7422,5.7665,7.8277,22.1534,1.2215,48.2896,13.1423,15.1275,50.3811,37.8862,11.8987,,,0.74,15.2746,,49.6402,-37.8125,15.8759
2002-07-17,1.0893,-1057718.1977,27287.6445,,,1.3215,0.0,60.0,12.1463,-0.6341,14.7168,-7.5496,,3.2394,15.7712,20.8347,,-0.4728,,,0.0,14.071,-0.0308,0.5142,3.4751,67.0113,15.54,15.345,25.965,5.845,2.5,7.5085,7376600.0,24.3356,5.4782,8.7848,19.6078,1.1961,46.2252,13.2937,15.2525,38.9306,21.2788,0.0,,,1.23,15.5452,,49.4937,-51.6696,15.8875
2002-07-18,1.1493,-978064.3515,31202.8923,,,1.4655,0.0,55.0,12.3969,0.5769,32.3007,-0.2613,16.4046,2.8569,15.8015,21.4784,,0.6256,,,0.0,14.1482,0.0066,0.7140000000000001,3.6012,66.2322,15.54,15.545,24.7168,5.5527,2.77,7.0963,7583700.0,23.3438,5.2443,9.7434,20.7958,1.208,49.8693,13.4406,15.390999999999998,27.1904,22.4062,17.8648,,,1.08,15.7741,,52.431000000000004,-39.6975,15.9673
2002-07-19,1.16,-854805.0923,69186.8132,13.0277,,1.4144,20.0,30.0,12.6632,0.1852,32.2968,0.9998,16.4267,2.8569,15.8433,21.75,,-1.1693,,,0.0,14.2303,0.0393,0.8853,3.7276,64.4704,15.54,15.545,24.1068,5.2751,2.84,6.8455,7711700.0,22.7677,4.982,9.3807,21.194000000000003,1.2119,50.4999,13.5831,15.533,24.7192,30.4726,51.1981,,,0.54,15.9547,,53.4148,-36.861999999999995,16.0481
2002-07-22,1.1707,-750805.0923,111526.8888,12.3855,,1.3162,15.0,30.0,12.9019,0.5506,34.0007,2.2934,16.4703,0.1837,15.8953,21.5518,,-2.0337,,,0.0,14.3101,0.0696,1.0243,3.8542,67.4952,15.54,15.545,23.1171,5.0113,2.68,6.7152,7854100.0,23.0323,4.9929,8.7025,19.5478,1.1955,51.1467,13.7213,15.667,37.2372,58.8328,84.5314,,,0.89,16.0941,,49.9858,-34.0265,16.1298
2002-07-23,1.1464,-820756.8164,96451.6539,11.9978,,1.0784,10.0,30.0,13.168,-0.3621,37.0767,-0.7994,16.4436,4.6327,15.9101,21.2469,,-1.1269,,,0.0,14.3625,0.0912,1.1152,3.9762,67.1966,15.54,15.545,21.8844,4.7608,2.35,6.876,7741400.0,24.0107,5.2233,7.0897,17.1533,1.1715,49.6003,13.8554,15.7845,51.0773,63.9266,89.5263,,,1.16,16.2066,,49.2891,-40.4537,16.1662
2002-07-24,1.1143,-834856.8164,77029.8166,11.5686,,0.9033,5.0,30.0,13.4884,-0.3782,-16.5825,-4.8091,16.3366,3.4121,15.8805,21.195,,0.2547,,,0.0,14.3943,0.0988,1.1579,4.0924,67.2766,15.54,15.545,24.3074,5.3127,2.1,7.102,7501700.0,22.7034,4.9621,5.8982,15.5556,1.1556,47.5955,13.9854,15.8895,60.0017,57.2458,56.1929,,,1.19,16.2897,,49.898,-48.9603,16.1487
2002-07-25,1.0364,-1164104.5087,-42678.8205,11.4183,,0.6906,0.0,30.0,13.6206,-0.9538,-84.5254,-13.7028,16.0445,8.5642,15.75,21.2839,,2.1044,,,0.0,14.3953,0.0797,1.1491,4.1966,65.3241,15.54,15.7,25.368000000000002,5.5971,0.67,7.7017,7162000.0,21.3657,4.7139999999999995,4.4895,4.841,1.0484,43.1486,14.1115,15.923,49.3701,26.9378,22.8596,,,1.3,16.3178,,43.9595,-73.8956,16.0173
2002-07-26,0.8714,-1563986.7005,-215005.8857,12.2317,,0.3928,100.0,-75.0,13.3052,-0.8562,-239.7731,-28.587,15.3725,27.6847,15.4119,21.2791,,1.6188,,,0.0,14.3718,0.0077,1.0848,4.2767,63.0108,15.035,15.045,33.1118,7.9072,-1.01,9.8987,6658700.0,18.7532,4.4783,2.5610000000000004,-7.6457,0.9235,35.7065,18.19,15.8725,31.9958,11.804,0.0,,,2.92,16.2674,,39.3835,-95.2305,15.6627
