date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,18.7309,-302246.1538,,,,,,,,-0.6154,,,,,,,,,,,0,,,,,,,,,,,,585200,,,,,,,,,,,,,,,,,,,
05/01/1998,19.1953,354553.8462,,,,,,,,0.6757,,,,,,,,,,,0,,,,,,,,,,,,1242000,,,,,,,30.03,,,,,,,0.75,,,,,
06/01/1998,19.1953,243145.9096,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,1242000,,,,,,,30.0397,,,,,,,0.63,,,,,
07/01/1998,19.5049,1248645.91,,,,,,,,0.6667,,,,,,,,,,,0,,,,,,,,,,,,2247500,,,,,,,30.0665,,,,,,,0.75,,,,,
08/01/1998,19.0405,1303867.861,,,,,,,,-0.378,,,,,,,,,,,0,,,,,,,,,,,,1492800,,,,,,,30.1095,,,,,,,1.19,,,,,
09/01/1998,18.5761,875331.8609,,,,,,,,-0.84,,,,,,,,,,,0,,,,,,,,,,,,862600,,,,,,,31.5,,,,,,,0.87,,,,,
12/01/1998,18.8857,2222831.861,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,2210100,,,,,,,31.4838,,,50,,,,1,,,,,
13/01/1998,19.0405,2495073.966,,,,,,,,-0.3421,,,,,,,,,,,0,,,,,,,,,,,,3072200,,,,,,,31.4441,,,62.5,,,,0.38,,,,,
14/01/1998,18.8486,2098049.328,,,,,,,,-0.7246,,,,,,,,,,,0,,,,,,,,,,,,2188500,,,,,,,31.4052,,44.0515,57.6687,,,,0.69,,,,,
15/01/1998,18.6938,2031081.147,642484.2337,,,,,,,-0.2727,,,,,,,,,,,0,,,,,,,,,,,,1697400,,,,,,,31.3671,,50.9068,47.9167,,,,0.44,,,,,
