date,Share Price
02/01/1995,1182.14
03/01/1995,1176.82
04/01/1995,1163.72
05/01/1995,1150.02
06/01/1995,1130.36
09/01/1995,1112.1
10/01/1995,1079.2
11/01/1995,1067.58
12/01/1995,1066.19
13/01/1995,1074.43
16/01/1995,1087.8
17/01/1995,1084.08
18/01/1995,1091.21
19/01/1995,1091.57
20/01/1995,1075.59
23/01/1995,1041.78
24/01/1995,1019.2
25/01/1995,1030.01
27/01/1995,1043.59
30/01/1995,1058.6
31/01/1995,1071.23
01/02/1995,1061.76
02/02/1995,1066.09
03/02/1995,1076.29
06/02/1995,1061.72
07/02/1995,1052.76
08/02/1995,1042.46
09/02/1995,1045.22
10/02/1995,1037.16
13/02/1995,1029.89
14/02/1995,1032.63
15/02/1995,1024.11
16/02/1995,1002.49
17/02/1995,992.15
20/02/1995,986.46
21/02/1995,960.98
22/02/1995,948.97
23/02/1995,988.48
24/02/1995,1021.85
28/02/1995,1014.72
01/03/1995,1027.68
02/03/1995,1051.8
03/03/1995,1057.96
06/03/1995,1058.46
07/03/1995,1051.67
08/03/1995,1043.18
09/03/1995,1043.92
10/03/1995,1060.18
13/03/1995,1024.92
14/03/1995,1042.42
15/03/1995,1050.68
16/03/1995,1009.56
23/03/1995,988.53
24/03/1995,988.65
27/03/1995,995.4
28/03/1995,999.79
29/03/1995,995.62
30/03/1995,995.24
31/03/1995,990.24
03/04/1995,1005.37
04/04/1995,1022.45
05/04/1995,1038.2
06/04/1995,1052.18
07/04/1995,1049.7
10/04/1995,1047.08
17/04/1995,1047.63
18/04/1995,1031.31
19/04/1995,1020.37
20/04/1995,1008.78
21/04/1995,1012.71
24/04/1995,997.73
25/04/1995,982.15
26/04/1995,979.21
27/04/1995,963.54
28/04/1995,941.83
02/05/1995,908.64
03/05/1995,919.28
04/05/1995,935.04
05/05/1995,963.71
08/05/1995,964.21
09/05/1995,966.16
10/05/1995,960.98
12/05/1995,949.96
15/05/1995,941.61
16/05/1995,946.95
17/05/1995,963.57
18/05/1995,979.98
19/05/1995,993.7
22/05/1995,976.93
23/05/1995,971.64
24/05/1995,965.63
25/05/1995,959.98
26/05/1995,965.89
29/05/1995,971.49
30/05/1995,975.37
31/05/1995,997.4
01/06/1995,1012.16
02/06/1995,1008
05/06/1995,1007.44
06/06/1995,1016.21
07/06/1995,1012.86
08/06/1995,1004.12
09/06/1995,998.11
12/06/1995,993.45
13/06/1995,986.89
14/06/1995,991.82
15/06/1995,987.31
16/06/1995,997.37
19/06/1995,1002.52
20/06/1995,1008.72
21/06/1995,1005.39
22/06/1995,998.87
23/06/1995,988.58
26/06/1995,971.64
27/06/1995,966.47
28/06/1995,976.91
29/06/1995,973.19
30/06/1995,961.23
03/07/1995,938.5
04/07/1995,932.8
05/07/1995,931.33
06/07/1995,932.66
07/07/1995,940.06
10/07/1995,943.25
11/07/1995,947.68
12/07/1995,961.06
13/07/1995,970.26
14/07/1995,983.65
17/07/1995,999.83
18/07/1995,1000.16
19/07/1995,1003.41
20/07/1995,1012.51
21/07/1995,1012.02
25/07/1995,1032.85
26/07/1995,1040.59
27/07/1995,1039.27
28/07/1995,1008.86
31/07/1995,994.25
01/08/1995,993.5
02/08/1995,1007.57
03/08/1995,989.05
04/08/1995,993.44
07/08/1995,991.94
08/08/1995,988.84
09/08/1995,992.77
11/08/1995,988.92
14/08/1995,984.99
16/08/1995,988.75
17/08/1995,994.56
21/08/1995,995.96
22/08/1995,996.36
24/08/1995,988.38
25/08/1995,977.43
28/08/1995,967.43
31/08/1995,971.74
01/09/1995,971.34
04/09/1995,966.22
05/09/1995,960.68
06/09/1995,967.25
07/09/1995,968.03
08/09/1995,972.33
11/09/1995,973.59
12/09/1995,970.72
13/09/1995,967.98
14/09/1995,971.94
15/09/1995,974.59
18/09/1995,974.28
19/09/1995,976.04
20/09/1995,981.53
21/09/1995,987.4
22/09/1995,996.3
25/09/1995,1009.93
26/09/1995,1018.88
27/09/1995,1003.2
28/09/1995,1001.94
29/09/1995,1011.97
04/10/1995,1027.56
05/10/1995,1033.53
06/10/1995,1044.31
09/10/1995,1042.13
10/10/1995,1034.18
11/10/1995,1037.09
12/10/1995,1032.98
13/10/1995,1036.38
16/10/1995,1035.08
17/10/1995,1033.07
18/10/1995,1032.44
19/10/1995,1022.27
20/10/1995,1014.95
23/10/1995,1006.56
26/10/1995,985.77
27/10/1995,993.25
30/10/1995,986.94
31/10/1995,988.26
01/11/1995,1004.59
