date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,3.5691,-100160.1942,,,,,,,,-0.7282,,,,,,,,,,,0.0,,,,,,,,,,,,219500.0,,,,,,,,,,,,,,,,,,,
1998-01-05,3.7643,38280.9017,,,,,,,,0.8539,,,,,,,,,,,0.0,,,,,,,,,,,,398900.0,,,,,,,30.88,,,,,,,2.19,,,,,
1998-01-06,3.7509,53480.9017,,,,,,,,0.1179,,,,,,,,,,,0.0,,,,,,,,,,,,314100.0,,,,,,,30.9112,,,,,,,2.12,,,,,
1998-01-07,3.4018,-6421.2801,,,,,,,,-0.6364,,,,,,,,,,,0.0,,,,,,,,,,,,151000.0,,,,,,,34.5,,,,,,,4.0,,,,,
1998-01-08,3.4297,25631.5501,,,,,,,,-0.3538,,,,,,,,,,,0.0,,,,,,,,,,,,260600.0,,,,,,,34.5,,,,,,,2.12,,,,,
1998-01-09,3.123,-301668.4499,,,,,,,,-0.8,,,,,,,,,,,0.0,,,,,,,,,,,,-66700.0,,,,,,,34.3976,,,,,,,2.75,,,,,
1998-01-12,3.0951,-150389.5767,,,,,,,,0.8216,,,,,,,,,,,0.0,,,,,,,,,,,,-301900.0,,,,,,,34.2057,,,14.9885,,,,2.13,,,,,
1998-01-13,3.2489999999999997,-67215.8624,,,,,,,,0.5029,,,,,,,,,,,0.0,,,,,,,,,,,,-16500.0,,,,,,,33.8774,,,23.2159,,,,2.0,,,,,
1998-01-14,3.1375,-149529.4546,,,,,,,,-0.7864,,,,,,,,,,,0.0,,,,,,,,,,,,-160200.0,,,,,,,33.5623,,24.7765,36.125,,,,2.06,,,,,
1998-01-15,3.0817,-210838.4546,-49962.9529,,,,,,,-0.625,,,,,,,,,,,0.0,,,,,,,,,,,,-325900.0,,,,,,,33.2599,,33.5591,41.3364,,,,2.0,,,,,
1998-01-16,3.123,-135213.4546,-29940.2525,,,,,,,-0.0903,,,,,,,,,,,0.0,,,,,,,,,,,,-78400.0,,,,,,,32.9695,,40.0741,42.7609,,,,1.44,,,,,
1998-01-20,3.2211,200652.2388,87839.0504,,,,,,,0.9124,,,,,,,,,,,0.0,,,,,,,,,,,,328800.0,,,,,,,32.6907,,45.57899999999999,52.6397,,,,1.37,,,,,
1998-01-21,3.2769,615168.9055,259927.7909,,,,,,,0.9583,,,,,,,,,,,0.0,,,,,,,,,,,,781000.0,,,,,,,32.4231,,54.9383,69.4141,,,,1.44,,,,,
1998-01-22,3.2624,660484.1055,321116.4038,,,,,,,-0.10400000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,665400.0,,,,,,,32.1661,,67.4024,80.1535,,,,1.25,,,,,
1998-01-23,3.2489999999999997,699926.1055,329505.436,,,,,,,0.38,,,,,,,,,,,0.0,,,,,,,,,,,,513700.0,,,,,,,31.9195,,77.9272,84.2138,,,,1.0,,,,,
1998-01-26,3.2211,535226.1055,250577.7277,,,,,,,-0.62,,,,,,,,,,,0.0,,,,,,,,,,,,349000.0,,,,,,,31.6827,,79.4171,73.8839,,,,1.0,,,,,
1998-01-27,3.1999,563543.0866,204519.2749,,,,,,,-0.1792,,,,,,,,,,,0.0,,,,,,,,,,,,295400.0,,,,,,,31.4554,,72.3215,58.8668,,,,1.06,,,,,
