date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2000-06-30,2.7363,-2612196.3746,,,,,,,,,,,-0.4804,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4777000.0,,,,,,,,,,,,,,,,,,,,,,
2000-07-03,2.9325,-2445748.0988,,,,,,,,,,,0.6466,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5259700.0,,,,,,,10.63,,,,,,,,,,1.25,,,,,
2000-07-05,2.9618,-2544172.0988,,,,,,,,,,,-0.12,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5669800.0,,,,,,,10.6575,,,,,,,,,,1.0,,,,,
2000-07-06,3.3273,-2152036.3845,,,,,,,,,,,0.7798,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6092100.0,,,,,,,10.7194,,,,,,,,,,1.68,,,,,
2000-07-07,3.131,-2344708.8482,,,,,,,,,,,-0.7246,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5854700.0,,,,,,,10.8421,,,,,,,,,,1.38,,,,,
2000-07-10,3.0318,-2512934.6547,,,,,,,,,,,-0.8065,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5646100.0,,,,,,,11.0136,,,,,,,,,,0.62,,,,,
2000-07-11,2.7069,-2769211.7976,,,,,,,,,,,-0.9143,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5336800.0,,,,,,,11.1782,,,,31.5701,3.6923,,,,,1.56,,,,,
2000-07-12,2.8197,-2770847.7976,,,,,,,,,,,0.4133,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5459500.0,,,,,,,11.3363,,,,21.5645,19.0769,,,,,0.88,,,,,
2000-07-13,2.5941,-3046306.1309,,,,,,,,,,,-0.8681,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5159000.0,,,,,,,15.13,,20.4221,8.1317,8.1317,1.626,,,,,1.44,,,,,
2000-07-14,2.4678,-3261701.2528,-293971.8742,,,,,,,,,,-0.5366,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4843600.0,,,,,,,15.0931,,12.6519,8.2594,8.2594,4.0752,,,,,0.82,,,,,
