date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1999-01-22,1.5156,-3162903.1185,,,,,,,,-0.2723,,,,,,,,,,,0.0,,,,,,,,,,,,5655600.0,,,,,,,,,,,,,,,,,,,
1999-01-25,1.6742,-2329597.9237,,,,,,,,0.2165,,,,,,,,,,,0.0,,,,,,,,,,,,6719100.0,,,,,,,18.63,,,,,,,2.31,,,,,
1999-01-26,1.5441,-2879802.3847,,,,,,,,-0.7212,,,,,,,,,,,0.0,,,,,,,,,,,,6004100.0,,,,,,,18.6637,,,,,,,2.69,,,,,
1999-01-27,1.5395,-2764239.808,,,,,,,,-0.0798,,,,,,,,,,,0.0,,,,,,,,,,,,5495000.0,,,,,,,18.7392,,,,,,,1.63,,,,,
1999-01-28,1.5349,-2853114.808,,,,,,,,-0.1875,,,,,,,,,,,0.0,,,,,,,,,,,,5021000.0,,,,,,,18.8132,,,,,,,0.32,,,,,
1999-01-29,1.4625,-3361514.808,,,,,,,,-0.94,,,,,,,,,,,0.0,,,,,,,,,,,,4512600.0,,,,,,,18.8858,,,,,,,1.0,,,,,
1999-02-01,1.4918,-3193918.808,,,,,,,,0.76,,,,,,,,,,,0.0,,,,,,,,,,,,4834900.0,,,,,,,18.9569,,,12.7605,,,,0.5,,,,,
1999-02-02,1.3763,-3457713.3285,,,,,,,,-0.5114,,,,,,,,,,,0.0,,,,,,,,,,,,4284700.0,,,,,,,22.44,,,9.4051,,,,2.19,,,,,
1999-02-03,1.4048,-3379463.3285,,,,,,,,0.62,,,,,,,,,,,0.0,,,,,,,,,,,,4441200.0,,,,,,,22.3887,,14.2272,20.5162,,,,1.0,,,,,
1999-02-04,1.4818,-3253129.9952,-115242.6778,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,4820200.0,,,,,,,22.3379,,23.5983,40.8737,,,,1.5,,,,,
1999-02-05,1.5249,-3083283.1867,-26459.0234,,,,,,,0.266,,,,,,,,,,,0.0,,,,,,,,,,,,5105300.0,,,,,,,22.2876,,42.5065,66.1297,,,,0.94,,,,,
1999-02-08,1.4725,-3404283.1867,-89869.4353,,,,,,,-0.9309999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,4784300.0,,,,,,,22.2379,,61.5249,77.5713,,,,0.87,,,,,
1999-02-09,1.4148,-3525083.1867,-146076.4733,,,,,,,-0.7467,,,,,,,,,,,0.0,,,,,,,,,,,,4603100.0,,,,,,,22.1886,,69.6553,65.2649,,,,1.5,,,,,
1999-02-10,1.4002,-3642427.1867,-193127.3095,,,,,,,-0.19,,,,,,,,,,,0.0,,,,,,,,,,,,4294300.0,,,,,,,22.1398,,60.6655,39.1602,,,,1.0,,,,,
1999-02-11,1.5203,-3550593.8533,-165598.6538,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,4569800.0,,,,,,,22.0915,,48.2747,40.3989,,,,2.31,,,,,
1999-02-12,1.6072,-3376857.8533,-84002.8715,,,,,,,0.88,,,,,,,,,,,0.0,,,,,,,,,,,,4798400.0,,,,,,,22.0437,,46.7587,60.7168,,,,1.25,,,,,
1999-02-16,1.6165,-3242948.9303,-378.7695,,,,,,,-0.0769,,,,,,,,,,,0.0,,,,,,,,,,,,5238000.0,,,,,,,17.31,,60.4763,80.3132,,,,3.25,,,,,
1999-02-17,1.5303,-3298260.1303,16266.5059,,,,,,,-0.496,,,,,,,,,,,0.0,,,,,,,,,,,,5096900.0,,,,,,,17.3582,,71.0794,72.2081,,,,1.5,,,,,
1999-02-18,1.5541,-3298260.1303,21597.1634,,,,,,,-0.2768,,,,,,,,,,,0.0,,,,,,,,,,,,5244200.0,,,,,,,17.4059,,69.7816,56.8235,,,,1.12,,,,,
1999-02-19,1.6072,-3218713.4636,47124.8115,,,,,,17.6758,0.5867,82.7061,,,,19.6645,,,,,,0.0,,,,,,19.815,20.375,,4.5,,,5401200.0,,5.69,,,,,17.4532,19.6645,60.6325,52.8658,,,,1.5,19.3178,,,-41.7618,19.7141
1999-02-22,1.6165,-3055064.0809,105354.1246,,,,35.0,-35.0,17.6578,-0.1543,95.3896,8.5677,,13.9016,19.7917,,,,,,0.0,20.8816,,,,52.3451,19.815,19.875,14.9575,4.275,1.31,7.1429,5828800.0,19.7876,5.6555,,6.6531,1.0665,54.2838,17.4999,19.73,56.2041,58.9231,,,,1.62,19.3549,,,-28.0702,19.8413
1999-02-23,1.6935,-2882969.5603,174354.907,,,,30.0,70.0,17.6193,0.2283,157.2565,14.4569,,21.7031,20.002,,,,,,0.0,20.8879,,,,46.5852,19.94,19.875,13.8411,4.0613,0.25,6.975,6116500.0,21.5143,6.3127,,1.1494,1.0115,57.2284,17.5462,19.7425,60.7966,70.6011,,,,2.19,19.417,,,-8.577,20.0575
1999-02-24,1.8282,-3692317.2728,-70787.673,,,,25.0,75.0,17.1768,-0.4902,310.5749,23.53,,43.533,20.359,,,,,,0.0,21.0265,,,,62.1744,20.815,21.78,12.01,3.8582,3.69,7.0327,7393100.0,30.528000000000002,9.8071,,18.3948,1.1839,61.765,17.6441,19.927,66.7859,70.8335,,,,4.25,19.5517,,,-27.9642,20.4392
1999-02-25,1.7704,-3922906.4714,-238007.3213,,,,20.0,75.0,17.0174,-0.6098,205.0895,17.8892,,37.5975,20.6105,,,,,,0.0,21.0941,,,,63.3284,20.815,21.78,12.6548,4.2253,3.0,7.5229,7082400.0,27.9039,9.3167,,15.0,1.15,58.9446,17.9023,20.077,69.0637,65.7566,,,,2.87,19.7455,,,-36.3535,20.7319
1999-02-26,1.6888,-4221774.0269,-379872.5523,,,,15.0,75.0,17.0129,-0.5822,118.8492,10.3898,,28.788,20.7371,,,,,,0.0,21.1106,,,,57.4707,20.815,21.78,14.4072,4.894,2.0,8.0048,6722800.0,26.0557,8.8509,,10.0301,1.1003,55.1949,18.1527,20.177,61.5939,48.1916,,,,2.25,19.9755,,,-48.2103,20.9093
1999-03-01,1.6981,-4210254.0269,-399709.0057,,,1.0901,10.0,75.0,17.1128,-0.22,80.6596,11.064,,21.7925,20.8631,,,,,,0.0,21.1435,,,,59.7481,20.815,21.78,15.7549,5.3993,3.06,8.0165,6914800.0,24.5351,8.4084,5.3775,16.1053,1.1611,55.532,18.3956,20.33,50.4834,37.5019,,,,2.0,20.2181,,,-46.868,21.0886
1999-03-02,1.6842,-4186503.2333,-363929.6654,,,1.1833,5.0,75.0,17.2011,-0.1905,64.5413,9.7601,,21.7925,20.9599,,,,,,0.0,21.1636,,,,61.3563,20.815,21.78,15.4558,5.1293,2.5,7.8223,6799700.0,24.0693,7.9879,5.8135,12.8999,1.129,54.88,18.6313,20.455,37.372,26.4226,5.7695,,,0.63,20.4515,,,-48.8814,21.2362
1999-03-03,1.5688,-4295400.9476,-350857.4202,,,1.1944,0.0,75.0,17.5468,-0.9257,12.765,-0.4878,,10.6893,20.9047,,,,,,0.0,21.1422,,,,64.8224,20.97,21.875,18.3993,6.1229,2.5,8.4074,6671800.0,22.8036,7.5885,5.8829,13.9821,1.1398,49.7561,18.8598,20.58,26.7976,16.4683,1.7102,,,1.75,20.6748,,,-67.0857,21.2291
1999-03-04,1.5349,-4388952.3761,-343379.9181,,,1.1106,0.0,70.0,17.8066,-0.8229,-19.9249,-3.2762,,6.5976,20.8128,,,,,,0.0,21.1212,,,,65.0184,20.97,22.065,18.9328,6.3167,1.69,8.6021,6552300.0,21.6075,7.2091,5.4718,9.2603,1.0926,48.3619,19.0815,20.6645,16.9312,7.9029,0.0,,,1.75,20.8776,,33.9356,-75.3883,21.1681
1999-03-05,1.6211,-4247826.3761,-264200.8565,,,1.1682,20.0,45.0,17.9682,0.93,-3.5721,3.9363,,6.5976,20.8364,,,,,,0.0,21.1201,,,,63.9574,20.97,22.065,18.2477,6.0009,1.81,8.02,6716400.0,20.8256,6.8487,5.7438,9.4026,1.094,51.9681,19.2966,20.755,13.3742,15.7515,16.7652,,,1.19,21.0645,,34.6147,-62.0072,21.2058
1999-03-08,1.6457,-4194562.7398,-190843.6418,,,1.212,15.0,45.0,18.0693,0.4706,15.8997,5.9124,,12.8115,20.8881,,,,,,0.0,21.1243,,,,63.3031,20.97,22.065,17.2172,5.7009,1.57,7.9422,6874500.0,22.276999999999997,7.3762,5.9429,7.9253,1.0793,52.9562,19.5052,20.8335,20.4699,37.7552,40.2603,,,1.87,21.2399,,40.513000000000005,-58.184,21.2653
