date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2010-08-06,13.9175,9109209.2202,,,,,,,,0.9174,,,,,,,,,,,0.0,,,,,,,,,,,,10676385.0,,,,,,,,,,,,,,,,,,,
2010-08-09,13.9175,10928744.2202,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,10676385.0,,,,,,,12.99,,,,,,,0.3,,,,,
2010-08-10,13.5199,9592432.9125,,,,,,,,-0.6538,,,,,,,,,,,0.0,,,,,,,,,,,,9097108.0,,,,,,,13.0001,,,,,,,0.42,,,,,
2010-08-11,12.6749,8674212.8802,,,,,,,,-0.5376,,,,,,,,,,,0.0,,,,,,,,,,,,6509397.0,,,,,,,14.0,,,,,,,1.15,,,,,
2010-08-12,12.317,9412402.6363,,,,,,,,0.3171,,,,,,,,,,,0.0,,,,,,,,,,,,4729057.0,,,,,,,13.9845,,,,,,,0.65,,,,,
2010-08-13,11.9293,8877289.9893,,,,,,,,-0.3676,,,,,,,,,,,0.0,,,,,,,,,,,,3771487.0,,,,,,,13.9468,,,,,,,0.68,,,,,
2010-08-16,11.7106,8509543.3226,,,,,,,,-0.0185,,,,,,,,,,,0.0,,,,,,,,,,,,3219867.0,,,,,,,13.8839,,,8.6031,,,,0.54,,,,,
2010-08-17,12.148,9280079.7953,,,,,,,,0.6545,,,,,,,,,,,0.0,,,,,,,,,,,,4306521.0,,,,,,,13.7961,,,14.1746,,,,0.55,,,,,
2010-08-18,11.9293,8269473.7953,,,,,,,,-0.1333,,,,,,,,,,,0.0,,,,,,,,,,,,3295915.0,,,,,,,13.7119,,15.3273,23.2043,,,,0.6,,,,,
2010-08-19,11.482000000000001,7976222.0588,-488767.2905,,,,,,,-0.5066,,,,,,,,,,,0.0,,,,,,,,,,,,2549937.0,,,,,,,13.630999999999998,,21.7937,28.0021,,,,0.7896,,,,,
2010-08-20,11.0843,7755693.1651,-578241.8031,,,,,,,-0.6383,,,,,,,,,,,0.0,,,,,,,,,,,,2099291.0,,,,,,,13.515,,23.7675,20.0962,,,,0.52,,,,,
2010-08-23,10.9153,7755693.1651,-562277.5761,,,,,,,-0.2885,,,,,,,,,,,0.0,,,,,,,,,,,,1337478.0,,,,,,,13.3659,,21.6463,16.8406,,,,1.04,,,,,
2010-08-24,10.6171,7344989.4651,-635309.0627,,,,,,,-0.1,,,,,,,,,,,0.0,,,,,,,,,,,,590744.0,,,,,,,13.1625,,17.0037,14.0743,,,,0.8,,,,,
2010-08-25,10.6867,7517994.3096,-552383.2147,,,,,,,0.2778,,,,,,,,,,,0.0,,,,,,,,,,,,1702918.0,,,,,,,12.9733,,17.2368,20.7956,,,,0.9,,,,,
