date,Share Price
09/07/1991,818.549988
10/07/1991,827.580017
11/07/1991,835.960022
12/07/1991,832.01001
15/07/1991,831.690002
16/07/1991,834.289978
17/07/1991,828.72998
18/07/1991,828.619995
19/07/1991,830.119995
22/07/1991,827.23999
23/07/1991,824.340027
24/07/1991,816.090027
25/07/1991,802.98999
26/07/1991,799.609985
29/07/1991,803.609985
30/07/1991,808
31/07/1991,814.25
01/08/1991,822.119995
02/08/1991,818.820007
05/08/1991,811.440002
06/08/1991,794.700012
07/08/1991,785.650024
08/08/1991,792.460022
09/08/1991,798.140015
12/08/1991,797.590027
13/08/1991,798.98999
14/08/1991,807.049988
15/08/1991,811.320007
16/08/1991,807.48999
19/08/1991,751.330017
20/08/1991,774.22998
21/08/1991,797.559998
22/08/1991,797.169983
23/08/1991,789.030029
26/08/1991,801.97998
27/08/1991,794.419983
28/08/1991,799.469971
29/08/1991,804.940002
30/08/1991,807.77002
02/09/1991,803.690002
03/09/1991,798.190002
04/09/1991,782.719971
05/09/1991,783.5
06/09/1991,779.349976
09/09/1991,781.820007
10/09/1991,792.900024
11/09/1991,800.52002
12/09/1991,807.25
13/09/1991,801.450012
16/09/1991,794.340027
17/09/1991,796.01001
18/09/1991,793.320007
19/09/1991,786.530029
20/09/1991,781.340027
23/09/1991,782.929993
24/09/1991,780.22998
25/09/1991,776.039978
26/09/1991,761.090027
27/09/1991,749.590027
30/09/1991,752.460022
01/10/1991,753.090027
02/10/1991,745.22998
03/10/1991,755.650024
04/10/1991,749
07/10/1991,736.880005
08/10/1991,724.940002
09/10/1991,729.179993
10/10/1991,723.669983
11/10/1991,726.210022
14/10/1991,719.76001
15/10/1991,705.049988
16/10/1991,713.890015
17/10/1991,713.570007
18/10/1991,722.650024
21/10/1991,732.22998
22/10/1991,730.289978
23/10/1991,730.590027
24/10/1991,732.710022
25/10/1991,729.669983
28/10/1991,731.099976
29/10/1991,738.340027
30/10/1991,743.900024
31/10/1991,744.150024
01/11/1991,743.52002
04/11/1991,742.549988
05/11/1991,741.75
06/11/1991,737.880005
07/11/1991,732.150024
08/11/1991,729.880005
11/11/1991,733.349976
12/11/1991,729.549988
13/11/1991,728.590027
14/11/1991,711.780029
15/11/1991,706.630005
18/11/1991,688.200012
19/11/1991,684.119995
20/11/1991,683.179993
21/11/1991,686.619995
22/11/1991,674.109985
25/11/1991,663.900024
26/11/1991,677.840027
27/11/1991,674.150024
28/11/1991,678.840027
29/11/1991,684.400024
02/12/1991,668.559998
03/12/1991,669.960022
04/12/1991,666.659973
05/12/1991,657.049988
06/12/1991,667.580017
09/12/1991,658.109985
10/12/1991,655.789978
11/12/1991,651.409973
12/12/1991,652.01001
13/12/1991,654.849976
16/12/1991,642.880005
17/12/1991,644.799988
18/12/1991,646.590027
19/12/1991,632.630005
20/12/1991,628.530029
23/12/1991,635.710022
24/12/1991,635.710022
25/12/1991,635.710022
26/12/1991,635.710022
27/12/1991,662.969971
30/12/1991,667.539978
31/12/1991,667.539978
01/01/1992,667.539978
02/01/1992,664.77002
03/01/1992,669.289978
06/01/1992,669.289978
07/01/1992,672.23999
08/01/1992,672.630005
09/01/1992,686.119995
10/01/1992,689.159973
13/01/1992,690.210022
14/01/1992,690.030029
15/01/1992,705.099976
16/01/1992,710.299988
17/01/1992,711.320007
20/01/1992,714.549988
21/01/1992,706.030029
22/01/1992,701.630005
23/01/1992,710.98999
24/01/1992,715.119995
27/01/1992,718.330017
28/01/1992,721.5
29/01/1992,706.630005
30/01/1992,701.969971
31/01/1992,704.01001
03/02/1992,697.309998
04/02/1992,704.580017
05/02/1992,713.26001
06/02/1992,706.109985
07/02/1992,705.719971
10/02/1992,695.669983
11/02/1992,701.539978
12/02/1992,697.98999
13/02/1992,693.710022
14/02/1992,685.75
17/02/1992,688.25
18/02/1992,686.919983
19/02/1992,681.340027
20/02/1992,677.409973
21/02/1992,682.22998
24/02/1992,684.869995
25/02/1992,681.890015
26/02/1992,685.070007
27/02/1992,691.719971
28/02/1992,696.380005
02/03/1992,704.030029
03/03/1992,710.440002
04/03/1992,716.549988
05/03/1992,716.330017
06/03/1992,718.960022
09/03/1992,718.609985
10/03/1992,718.320007
11/03/1992,715.369995
12/03/1992,707.02002
13/03/1992,716.409973
16/03/1992,717.719971
17/03/1992,717.950012
18/03/1992,730.900024
19/03/1992,734.859985
20/03/1992,734.450012
23/03/1992,727.580017
24/03/1992,729.710022
25/03/1992,737.570007
26/03/1992,730.51001
27/03/1992,732.650024
30/03/1992,728.570007
31/03/1992,726.969971
01/04/1992,722.320007
02/04/1992,721.869995
03/04/1992,709.789978
06/04/1992,721.340027
07/04/1992,717.640015
08/04/1992,704.950012
09/04/1992,698.359985
10/04/1992,709.929993
13/04/1992,703.940002
14/04/1992,709.380005
15/04/1992,718.73999
16/04/1992,721.909973
17/04/1992,721.909973
20/04/1992,721.909973
21/04/1992,718.559998
22/04/1992,712.48999
23/04/1992,718.289978
24/04/1992,720.599976
27/04/1992,720.799988
28/04/1992,717.369995
29/04/1992,716.429993
30/04/1992,716.650024
01/05/1992,716.650024
04/05/1992,721.73999
05/05/1992,726
06/05/1992,733.849976
07/05/1992,736.559998
08/05/1992,735.909973
11/05/1992,738.640015
12/05/1992,734.869995
13/05/1992,737.549988
14/05/1992,731.909973
15/05/1992,722.049988
18/05/1992,734.400024
19/05/1992,735.539978
20/05/1992,738.580017
21/05/1992,738.900024
22/05/1992,740
25/05/1992,737.159973
26/05/1992,730.929993
27/05/1992,726.849976
28/05/1992,726.849976
29/05/1992,732.679993
01/06/1992,740.179993
02/06/1992,735.090027
03/06/1992,727.690002
04/06/1992,725.059998
05/06/1992,720.840027
08/06/1992,720.840027
09/06/1992,710.380005
10/06/1992,710.789978
11/06/1992,708.900024
12/06/1992,699.419983
15/06/1992,703.820007
16/06/1992,705.25
17/06/1992,696.440002
18/06/1992,687.700012
19/06/1992,687.700012
22/06/1992,685.109985
23/06/1992,684.22998
24/06/1992,689.580017
25/06/1992,685.210022
26/06/1992,681.659973
29/06/1992,673.859985
30/06/1992,676.01001
01/07/1992,669.840027
02/07/1992,679.710022
03/07/1992,678.289978
06/07/1992,670.52002
07/07/1992,662.859985
08/07/1992,654.969971
09/07/1992,659.080017
10/07/1992,667.76001
13/07/1992,658.090027
14/07/1992,659.200012
15/07/1992,658.75
16/07/1992,660.02002
17/07/1992,650.059998
20/07/1992,628.630005
21/07/1992,639.77002
22/07/1992,629.820007
23/07/1992,620.51001
24/07/1992,617.659973
27/07/1992,624.309998
28/07/1992,634.530029
29/07/1992,642.469971
30/07/1992,634.919983
31/07/1992,638.780029
03/08/1992,637.059998
04/08/1992,641.859985
05/08/1992,640.460022
06/08/1992,637.320007
07/08/1992,629.23999
10/08/1992,613.929993
11/08/1992,611.409973
12/08/1992,599.650024
13/08/1992,601.830017
14/08/1992,608.080017
17/08/1992,606.210022
18/08/1992,595.580017
19/08/1992,589.080017
20/08/1992,584.450012
21/08/1992,579.609985
24/08/1992,557.429993
25/08/1992,542.280029
26/08/1992,561.549988
27/08/1992,590.799988
28/08/1992,583.679993
31/08/1992,577.159973
01/09/1992,562.630005
02/09/1992,559.049988
03/09/1992,568.030029
04/09/1992,570.469971
07/09/1992,566.219971
08/09/1992,550.210022
09/09/1992,536.380005
10/09/1992,534.690002
11/09/1992,545.419983
14/09/1992,577.530029
15/09/1992,566.619995
16/09/1992,566.02002
17/09/1992,563.52002
18/09/1992,585.01001
21/09/1992,572.650024
22/09/1992,564.5
23/09/1992,543.530029
24/09/1992,546.5
25/09/1992,536.549988
28/09/1992,515.25
29/09/1992,506.5
30/09/1992,537.369995
01/10/1992,536.840027
02/10/1992,522.820007
05/10/1992,490.790009
06/10/1992,494.410004
07/10/1992,504.959991
08/10/1992,504.170013
09/10/1992,515.109985
12/10/1992,508.920013
13/10/1992,516.52002
14/10/1992,516.599976
15/10/1992,507.269989
16/10/1992,506.779999
19/10/1992,505.059998
20/10/1992,525.929993
21/10/1992,531.669983
22/10/1992,541.299988
23/10/1992,558.840027
26/10/1992,557.880005
27/10/1992,559.429993
28/10/1992,558.23999
29/10/1992,548.359985
30/10/1992,544.309998
02/11/1992,550.140015
03/11/1992,563.830017
04/11/1992,561.590027
05/11/1992,556.630005
06/11/1992,558.950012
09/11/1992,568.859985
10/11/1992,569.97998
11/11/1992,556.809998
12/11/1992,551.159973
13/11/1992,556.690002
16/11/1992,565.070007
17/11/1992,562.869995
18/11/1992,566.210022
19/11/1992,593.77002
20/11/1992,650.409973
23/11/1992,669.830017
24/11/1992,667.72998
25/11/1992,689.75
26/11/1992,683.659973
27/11/1992,696.719971
30/11/1992,708.340027
01/12/1992,702.539978
02/12/1992,693.799988
03/12/1992,689.650024
04/12/1992,676.650024
07/12/1992,683.75
08/12/1992,695.099976
09/12/1992,705.200012
10/12/1992,708.080017
11/12/1992,693.619995
14/12/1992,697.570007
15/12/1992,689.530029
16/12/1992,679
17/12/1992,683.76001
18/12/1992,706.51001
21/12/1992,725.450012
22/12/1992,719.98999
23/12/1992,722.690002
24/12/1992,722.690002
25/12/1992,722.690002
28/12/1992,724.460022
29/12/1992,719.219971
30/12/1992,718.539978
31/12/1992,718.539978
01/01/1993,null
04/01/1993,732.26001
05/01/1993,752.380005
06/01/1993,752.380005
07/01/1993,741.77002
08/01/1993,739.710022
11/01/1993,733.659973
12/01/1993,728
13/01/1993,723.969971
14/01/1993,716.890015
15/01/1993,721.190002
18/01/1993,726.599976
19/01/1993,728.380005
20/01/1993,726.140015
21/01/1993,720.289978
22/01/1993,711.73999
25/01/1993,694.47998
26/01/1993,697.48999
27/01/1993,696.200012
28/01/1993,685.969971
29/01/1993,696.5
01/02/1993,711.599976
