date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,6.1875,-71544.0,,,,,,,,,,,-0.94,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,81300.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,6.4075,-17244.0,,,,,,,,,,,0.7937,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,135600.0,,,,,,,24.63,,,,,,,,,,0.88,,,,,
1998-01-06,6.9075,82541.3333,,,,,,,,,,,0.9467,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,247300.0,,,,,,,24.64,,,,,,,,,,2.25,,,,,
1998-01-07,6.9375,187781.3333,,,,,,,,,,,0.4,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,422700.0,,,,,,,24.7022,,,,,,,,,,1.25,,,,,
1998-01-08,7.0,115041.456,,,,,,,,,,,-0.1534,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,610900.0,,,,,,,24.8011,,,,,,,,,,1.63,,,,,
1998-01-09,6.765,75841.456,,,,,,,,,,,-0.8889,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,560500.0,,,,,,,24.9743,,,,,,,,,,1.62,,,,,
1998-01-12,6.75,89663.2951,,,,,,,,,,,0.5747,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,528000.0,,,,,,,25.1405,,,,41.3223,55.3634,,,,,0.87,,,,,
1998-01-13,6.7825,236963.2951,,,,,,,,,,,0.2281,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,675300.0,,,,,,,25.3001,,,,27.2727,39.4913,,,,,0.57,,,,,
1998-01-14,7.11,315863.2951,,,,,,,,,,,0.7899,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,754200.0,,,,,,,25.4533,,47.8347,47.5631,74.9091,47.8347,,,,,1.31,,,,,
1998-01-15,7.0475,284879.2951,110469.4406,,,,,,,,,,-0.62,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,625100.0,,,,,,,25.6004,,62.5197,49.9486,85.3774,62.5197,,,,,0.5,,,,,
1998-01-16,7.1875,422538.386,141332.9272,,,,,,,,,,0.5682,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,961600.0,,,,,,,25.7415,,85.0288,65.1278,94.8,85.0288,,,,,0.69,,,,,
1998-01-20,7.22,432677.0957,144336.4041,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1006500.0,,,,,,,25.8771,,91.7531,79.7672,95.082,91.7531,,,,,0.31,,,,,
