date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD_Signal,MACDEXT,MACD,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,8.3431,-480312.7778,,,,,,,,,,,-0.7644,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,864563.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,8.4181,154864.1629,,,,,,,,,,,0.5845,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1977393.0,,,,,,,50.75,,,,,,,,,,4.38,,,,,
1998-01-06,8.2154,-705579.8371,,,,,,,,,,,-0.5714,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1116949.0,,,,,,,50.7025,,,,,,,,,,1.75,,,,,
1998-01-07,8.1729,-231454.3557,,,,,,,,,,,-0.0802,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-121895.0,,,,,,,50.6555,,,,,,,,,,1.62,,,,,
1998-01-08,8.1627,963030.8295,,,,,,,,,,,0.4259,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1411939.0,,,,,,,50.6089,,,,,,,,,,1.62,,,,,
1998-01-09,8.0877,213803.6083,,,,,,,,,,,-0.4425,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2755791.0,,,,,,,50.5628,,,,,,,,,,1.13,,,,,
1998-01-12,7.9175,168188.0125,,,,,,,,,,,0.0871,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3762843.0,,,,,,,50.5172,,,,28.1314,34.4067,,,,,2.87,,,,,
1998-01-13,8.0554,836040.0125,,,,,,,,,,,0.2366,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3094991.0,,,,,,,50.4095,,,,64.6884,42.3555,,,,,1.31,,,,,
1998-01-14,8.4657,1441473.1458,,,,,,,,,,,0.9067,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2350606.0,,,,,,,50.3039,,62.3568,46.373,94.2505,62.3568,,,,,3.0,,,,,
1998-01-15,7.8851,916831.6086,486448.4353,,,,,,,,,,-0.8788,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2893184.0,,,,,,,50.2004,,61.0563,55.2562,24.23,61.0563,,,,,3.63,,,,,
1998-01-16,7.9396,617260.506,292026.7632,,,,,,,,,,-0.3802,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1987584.0,,,,,,,50.099,,49.7604,57.7245,30.8008,49.7604,,,,,2.63,,,,,
1998-01-20,8.5032,1391386.2953,432255.4882,,,,,,,,,,0.8507,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1060117.0,,,,,,,45.13,,49.3806,53.3991,93.1111,49.3806,,,,,3.75,,,,,
1998-01-21,8.5134,2192936.5314,705364.5428,,,,,,,,,,0.3472,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-81954.0,,,,,,,45.1812,,72.7855,57.3088,94.4444,72.7855,,,,,1.44,,,,,
1998-01-22,8.6632,2646442.6914,897264.3394,,,,,,,,,,0.5029,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,703824.0,,,,,,,45.2319,,93.6094,71.9252,93.2727,93.6094,,,,,1.75,,,,,
1998-01-23,8.2376,2136694.2299,732006.624,,,,,,,,,,-0.7877,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,101394.0,,,,,,,45.3523,,78.1437,81.5129,46.714,78.1437,,,,,3.25,,,,,
1998-01-26,8.0877,1985242.2299,549665.8655,,,,,,,,,,-0.6135,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-290458.0,,,,,,,45.5331,,53.4929,75.082,20.4918,53.4929,,,,,1.63,,,,,
1998-01-27,8.0247,1945851.8013,412568.9765,,,,,,,,,,-0.2232,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-658102.0,,,,,,,45.7085,,25.9107,52.5158,10.5263,25.9107,,,,,1.12,,,,,
1998-01-28,8.3227,2096760.7557,366994.1005,,,,,,,,,,0.597,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-28117.0,,,,,,,45.8786,,26.1288,35.1775,47.3684,26.1288,,,,,2.75,,,,,
1998-01-29,8.2308,1992159.809,281704.6135,,,,,,,,,,-0.46,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-631584.0,,,,,,,46.0437,,30.6667,27.5687,34.1053,30.6667,,,,,1.5,,,,,
1998-01-30,8.1557,1761320.7205,147755.1486,,,,,,,48.2685,50.7362,45.8008,-0.1681,-19.563,,,,48.2685,,,,,,,,0.0,,,,,,,,,,,48.595,48.255,,10.74,,,-1143051.0,,8.19,,,,,46.2038,48.2685,39.2605,32.0187,36.3077,39.2605,,,,,1.13,48.2096,,,-57.12,48.2768
1998-02-02,8.2308,1488395.7822,-7314.3991,,,,30.0,70.0,40.0,48.231,50.6758,45.7862,-0.2346,28.1054,-3.4738,,8.2345,48.2667,,,,,,,,0.0,47.8132,,,,,,,,,46.9811,48.595,48.255,24.3875,10.203,-0.75,4.5544,-640621.0,20.6767,8.6505,,-1.5306,0.9847,48.2631,46.3591,48.231,40.0864,36.6712,49.8462,40.0864,,,,,1.69,48.2737,,,-50.08,48.275
1998-02-03,8.4235,1746795.9778,12131.2481,,,,25.0,65.0,40.0,48.228,50.667,45.789,0.3911,64.7645,1.9293,,5.2951,48.3728,,,,,,,,0.0,47.8201,,,,,,,,,52.3963,48.595,48.255,23.0809,9.6928,-0.06,4.4555,-64977.0,20.7595,8.718,,-0.1214,0.9988,50.9646,46.5097,48.228,54.5361,44.6277,77.4545,54.5361,,,,,2.25,48.3543,,,-32.0,48.3844
1998-02-04,8.3587,1551537.296,-43144.3176,,,,20.0,60.0,40.0,48.2655,50.7276,45.8034,-0.4318,68.9465,0.0794,,5.2951,48.4325,,,,,,,,0.0,47.8287,,,,,,,,,51.0976,48.595,48.255,22.5828,9.2082,0.75,4.3553,-517155.0,20.3115,8.2821,,1.5544,1.0155,50.0397,46.6558,48.2655,62.4336,52.352,60.0,62.4336,,,,,0.88,48.4212,,,-38.08,48.458
1998-02-05,8.1676,980865.5931,-243412.1983,,,,15.0,55.0,40.0,48.2595,50.7248,45.7942,-0.8571,9.2535,-5.2552,,10.6713,48.3799,,,,,,,,0.0,47.8289,,,,,,,,,53.0552,48.595,48.255,24.0766,9.7478,-0.12,4.4171,-1187407.0,19.4335,7.868,,-0.25,0.9975,47.3724,46.7975,48.2595,50.8848,55.9515,15.2,50.8848,,,,,1.75,48.4449,,,-56.0,48.4212
1998-02-06,8.3809,1306583.5641,-199574.0498,,,,10.0,50.0,40.0,48.319,50.8079,45.8301,0.4565,41.1072,0.9476,,10.6713,48.4513,,,,,,,,0.0,47.8407,,,,,,,,,59.7204,48.595,48.255,23.1729,9.2604,1.19,4.2421,-676622.0,18.7041,7.4746,,2.4823,1.0248,50.4738,46.935,48.319,45.5111,52.9432,61.3333,45.5111,,,,,1.5,48.4493,,,-36.0,48.5041
1998-02-09,8.2308,611739.5641,-384583.8936,,,-0.0362,5.0,45.0,40.0,48.3565,50.8173,45.8957,-0.6011,40.3579,-3.2764,,5.6855,48.4321,,,,,,,,0.0,47.8435,,,,,,,,,57.8007,48.595,48.255,22.0795,8.7974,0.75,4.2984,-1371466.0,19.7039,7.8508,-0.0748,1.5789,1.0158,48.3618,47.0683,48.3565,32.5139,42.97,21.0084,32.5139,,,,,1.88,48.4565,,,-50.08,48.4976
1998-02-10,8.3809,874139.5641,-341816.6576,,,0.0213,0.0,40.0,40.0,48.488,50.8154,46.1606,0.2879,47.1915,1.0806,,5.6855,48.4986,,,,,,,,0.0,47.8656,,,,,,,,,65.5461,48.595,48.565,21.3028,8.3575,2.63,4.1507,-289066.0,19.0108,7.4583,0.0441,5.6559,1.0566,50.5403,47.1977,48.488,46.775,41.6,57.9832,46.775,100.0,71.2933,,,1.38,48.4818,,,-39.9645,48.5712
1998-02-11,8.3587,273085.4213,-484491.2285,,,0.1633,15.0,35.0,20.0,48.5725,50.8448,46.3002,-0.3393,67.4518,0.4218,,3.1455,48.5464,,,,,,,,0.0,47.8789,,,,,,,,,65.888,48.595,48.565,20.6813,7.9396,1.69,4.068,-1054044.0,19.4199,7.4554,0.3377,3.5722,1.0357,50.2109,47.3232,48.5725,43.8375,41.0421,52.521,43.8375,89.602,72.3816,,,1.12,48.5025,,,-42.2735,48.62
1998-02-12,8.4014,435171.1355,-447240.714,,,0.3015,10.0,30.0,20.0,48.549,50.7827,46.3153,0.1071,40.9209,1.7185,,6.3473,48.6134,,,,,,,,0.0,47.8872,,,,,,,,,62.3773,48.595,48.565,21.3953,8.0427,-0.47,3.9586,-761244.0,18.8413,7.0826,0.6231,-0.9453,0.9905,50.8593,47.4449,48.549,56.3965,49.003,58.6854,56.3965,100.0,96.534,,,1.12,48.5181,,40.1991,-37.833,48.6845
