date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,17.1473,75792.7536,,,,,,,,0.0435,,,,,,,,,,,0.0,,,,,,,,,,,,168700.0,,,,,,,,,,,,,,,,,,,
1998-01-05,17.4001,484092.7536,,,,,,,,0.867,,,,,,,,,,,0.0,,,,,,,,,,,,577000.0,,,,,,,88.56,,,,,,,1.88,,,,,
1998-01-06,17.3388,478400.7996,,,,,,,,0.1379,,,,,,,,,,,0.0,,,,,,,,,,,,81800.0,,,,,,,88.5832,,,,,,,0.87,,,,,
1998-01-07,17.423,926500.7996,,,,,,,,0.3359,,,,,,,,,,,0.0,,,,,,,,,,,,529900.0,,,,,,,88.6315,,,,,,,1.31,,,,,
1998-01-08,17.2201,661742.3996,,,,,,,,-0.848,,,,,,,,,,,0.0,,,,,,,,,,,,149500.0,,,,,,,88.6789,,,,,,,1.25,,,,,
1998-01-09,16.4657,410873.0302,,,,,,,,-0.8018,,,,,,,,,,,0.0,,,,,,,,,,,,-186000.0,,,,,,,91.0,,,,,,,4.5,,,,,
1998-01-12,16.6457,712773.0302,,,,,,,,0.976,,,,,,,,,,,0.0,,,,,,,,,,,,115900.0,,,,,,,91.0,,,38.1098,,,,2.5,,,,,
1998-01-13,17.0995,864941.06,,,,,,,,0.9294,,,,,,,,,,,0.0,,,,,,,,,,,,293100.0,,,,,,,90.8688,,,74.2378,,,,2.69,,,,,
1998-01-14,17.1952,964430.3933,,,,,,,,0.04,,,,,,,,,,,0.0,,,,,,,,,,,,533800.0,,,,,,,90.7402,,64.7358,81.8598,,,,1.5,,,,,
1998-01-15,17.0516,961781.187,233849.2011,,,,,,,-0.5079,,,,,,,,,,,0.0,,,,,,,,,,,,366900.0,,,,,,,90.6142,,78.5385,79.5181,,,,1.06,,,,,
1998-01-16,17.2909,1099994.9801,252406.4086,,,,,,,0.3563,,,,,,,,,,,0.0,,,,,,,,,,,,612300.0,,,,,,,84.44,,86.0808,96.8647,,,,1.44,,,,,
1998-01-20,17.6145,1147069.3390000002,252030.1615,,,,,,,0.4808,,,,,,,,,,,0.0,,,,,,,,,,,,445400.0,,,,,,,90.5,,59.5269,2.1978,,,,45.31,,,,,
1998-01-21,17.2316,928062.3946,159280.3816,,,,,,,-0.7361,,,,,,,,,,,0.0,,,,,,,,,,,,109900.0,,,,,,,90.5,,33.203,0.5464,,,,1.44,,,,,
1998-01-22,16.9674,936186.704,109442.2627,,,,,,,-0.0718,,,,,,,,,,,0.0,,,,,,,,,,,,-184200.0,,,,,,,89.585,,1.5726,1.9737,,,,1.81,,,,,
1998-01-23,16.8716,886126.704,63176.4628,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-434500.0,,,,,,,88.1988,,1.3211,1.4431,,,,1.25,,,,,
1998-01-26,16.7759,909736.704,46018.5027,,,,,,,-0.22,,,,,,,,,,,0.0,,,,,,,,,,,,-828000.0,,,,,,,86.8543,,10.4128,27.8215,,,,2.0,,,,,
1998-01-27,16.7759,859518.704,18837.3824,,,,,,,-0.07,,,,,,,,,,,0.0,,,,,,,,,,,,-828000.0,,,,,,,85.0901,,20.0262,30.814,,,,1.0,,,,,
1998-01-28,16.5385,650912.5093,-60369.3545,,,,,,,0.0531,,,,,,,,,,,0.0,,,,,,,,,,,,-1142300.0,,,,,,,83.3965,,25.5561,18.0328,,,,1.13,,,,,
1998-01-29,17.3043,1095315.9576,54117.1099,,,,,,,0.627,,,,,,,,,,,0.0,,,,,,,,,,,,-528600.0,,,,,,,81.7706,,45.0179,86.2069,,,,3.19,,,,,
1998-01-30,17.5686,1211135.1065,132884.2918,,,,,,69.23100000000001,0.36700000000000005,-70.4121,,,,69.23100000000001,,,,,,0.0,,,,,,67.095,66.72,,53.19,,,44400.0,,7.99,,,,,79.8041,69.23100000000001,62.1133,82.1002,,,,1.88,70.9673,,,-92.916,58.5984
1998-02-02,17.2546,878598.4809999999,47219.7315,,,,20.0,-70.0,67.006,-0.4115,-64.3025,-70.0567,,74.0456,66.929,,,,,,0.0,45.68600000000001,,,,49.2702,67.095,66.72,66.5023,50.9005,-44.5,8.9259,-710800.0,9.9171,7.5905,,-49.6874,0.5031,14.9717,77.9359,67.006,76.0871,59.9542,,,,2.43,66.9059,,,-94.6046,56.2964
1998-02-03,17.2814,1262681.8143,130090.7692,,,,15.0,-70.0,64.7185,0.6944,-60.4299,-69.8596,,74.3365,64.8529,,,,,,0.0,45.5431,,,,42.4383,67.095,66.72,66.0604,48.9855,-45.75,8.626,-291800.0,9.7245,7.211,,-50.3411,0.4966,15.0702,76.1611,64.7185,67.8702,61.5561,,,,1.44,62.8298,,,-94.4605,54.213
1998-02-04,17.5915,1590400.4956,256440.2496,,,,10.0,-70.0,62.4875,0.7198,-53.1711,-67.4957,,71.32,63.0517,,,,,,0.0,45.6395,,,,38.5246,67.095,66.72,64.3967,46.5362,-44.62,8.2483,122400.0,10.7804,7.7904,,-49.2712,0.5073,16.2521,74.4751,62.4875,67.2006,80.0915,,,,1.82,59.1703,,,-92.7924,52.4245
1998-02-05,17.6643,2161200.4956,466434.1053,,,,5.0,-70.0,60.244,0.2991,-47.978,-66.9222,,71.32,61.4401,,,,,,0.0,45.7605,,,,42.4538,66.75,66.72,63.4084,44.2094,-44.87,7.9196,693200.0,10.6149,7.4009,,-49.3077,0.5069,16.5389,72.8733,60.244,73.1418,77.7778,,,,1.07,55.9415,,,-92.4012,50.8667
1998-02-06,17.446,1672652.6696,354490.5466,,,,0.0,-70.0,58.025,-0.8261,-44.3493,-67.27600000000001,,71.1106,59.9277,,,,,,0.0,45.7113,,,,43.2221,66.75,66.47,62.7547,41.9989,-44.38,7.6934,101800.0,10.5951,7.0909,,-49.343999999999994,0.5066,16.362000000000002,71.3516,58.025,72.3399,59.1503,,,,0.69,53.1507,,,-93.5081,49.4682
1998-02-09,17.2316,1408760.1562,192503.2413,,,-18.851,25.0,-40.0,55.975,-0.2995,-43.0902,-67.6341,,71.7882,58.506,,,,,,0.0,45.5436,,,,42.5661,66.75,66.47,62.6729,41.019,-41.0,7.6075,-681500.0,10.2924,6.7363,-29.5713,-47.6744,0.5233,16.1829,69.9061,55.975,62.3094,50.0,,,,1.87,50.7879,,,-94.6733,48.2277
1998-02-10,17.4728,1589877.8553,166363.7715,,,-17.0306,20.0,-40.0,53.9095,0.4425,-39.1002,-65.4896,,71.7882,57.2797,,,,,,0.0,45.5644,,,,47.9524,66.75,66.47,61.5542,38.968,-41.31,7.2512,-280200.0,10.1087,6.3995,-27.443,-47.5155,0.5248,17.2552,68.5328,53.9095,59.0639,68.0412,100.0,,,1.13,48.8252,,,-93.3625,47.2425
1998-02-11,17.423,1546606.4267,126778.19099999999,,,-15.1444,15.0,-40.0,51.718999999999994,-0.3968,-35.7408,-65.5852,,71.7882,56.1578,,,,,,0.0,45.54600000000001,,,,47.1411,66.75,66.47,60.9161,37.0196,-43.81,6.9775,-489900.0,10.0039,6.0795,-25.1097,-49.0539,0.5095,17.2074,67.2281,51.718999999999994,59.3114,59.893,95.5408,,,0.63,47.2755,,,-93.633,46.4416
1998-02-12,17.446,1749072.8267,163479.927,,,-13.2678,10.0,-40.0,49.5065,-0.152,-34.5279,-65.3626,,72.2957,55.1485,,,,,,0.0,45.5501,,,,42.5725,66.75,66.47,60.8967,35.9186,-44.25,6.7571,-199000.0,9.7919,5.7755,-22.6482,-49.2707,0.5073,17.3187,65.9887,49.5065,63.6786,63.1016,100.0,,,1.25,46.1485,,59.0374,-93.5081,45.855
1998-02-13,17.2316,1635183.9378,127395.0883,,,-11.3477,5.0,-40.0,47.3035,-0.3968,-33.3843,-65.8142,,72.2957,54.181999999999995,,,,,,0.0,45.388000000000005,,,,42.7862,66.75,66.47,60.0924,34.1227,-44.06,6.5825,-486000.0,9.6626,5.4868,-19.9739,-49.4723,0.5053,17.0929,64.8113,47.3035,52.0499,33.1551,80.1214,,,0.75,45.4192,,52.9247,-94.6733,45.4258
1998-02-17,17.5418,1849549.0172,169258.8079,,,-9.5987,0.0,-40.0,45.0785,0.7937,69.9869,-62.5871,,70.0363,53.3847,,,,,,0.0,45.5164,,,,41.961999999999996,44.66,44.625,59.0632,32.4166,-44.5,6.2454,-121000.0,10.4081,5.7124,-17.4157,-49.2747,0.5073,18.7065,63.6927,45.0785,62.4096,90.9722,100.0,,,0.94,45.0892,,52.0875,-22.8833,45.2836
1998-02-18,17.3273,1521249.0172,66538.6197,,,-8.0839,45.0,10.0,45.041000000000004,-0.6173,55.4912,-63.1096,,69.4748,52.6099,,,,,,0.0,45.5134,,,,41.168,44.66,44.625,58.1597,30.7957,-0.75,6.096,-449300.0,10.4755,5.5468,-15.0965,-1.6304,0.9837,18.4452,62.6301,45.041000000000004,57.4014,48.0769,83.8091,,,0.81,45.1716,,50.9628,-35.6979,45.2999
1998-02-19,17.5686,1666756.9818,64765.7479,,,-6.4363,40.0,10.0,45.085,0.3363,71.8239,-60.4559,,69.6419,51.968999999999994,15.6467,,-0.0993,,,0.0,45.5181,,,0.4688,45.0469,44.66,44.625,57.2513,29.445999999999998,0.88,5.8348,-126900.0,10.2453,5.2695,-12.385,1.9556,1.0196,19.7721,61.6206,45.085,73.5687,81.6568,100.0,,,1.13,45.2615,,55.0,-21.2815,45.3798
1998-02-20,17.5686,1988318.0505,160467.5724,,,-4.7035,35.0,10.0,45.1635,-0.1374,61.6322,-60.4559,,69.8067,51.3891,17.0917,,-0.0214,,,0.0,45.5271,-14.014000000000001,-11.6071,0.5112,43.3741,44.66,44.625,56.1152,28.1537,1.57,5.6859,-126900.0,9.9778,5.006,-9.3511,3.5432,1.0354,19.7721,60.6615,45.1635,69.09,77.5362,100.0,,,1.31,45.3405,,56.1808,-21.2815,45.4555
1998-02-23,17.7964,2235656.7602,263729.038,,,-3.0022,30.0,10.0,45.273,0.4032,104.0662,-58.7749,,69.1623,50.8997,18.4431,,-0.1255,,,0.0,45.5538,-13.0452,-9.8461,0.5553,46.5509,44.72,44.625,55.3946,26.746,2.19,5.4254,179800.0,10.0982,4.8757,-6.1745,4.9705,1.0497,20.6126,59.7505,45.273,84.9991,95.8042,100.0,,,0.62,45.4092,,60.3906,-12.8146,45.559
1998-02-24,17.9657,2732502.5229,440084.2858,,,-1.3259999999999998,100.0,85.0,45.417,0.5847,137.4831,-56.7196,,66.3928,50.4987,19.6605,,0.0049,,,0.0,45.6135,-12.1161,-8.1012,0.601,52.215,44.94,44.625,54.0053,25.4087,2.88,5.2319,803500.0,10.9077,5.1319,-2.8216,6.5738,1.0657,21.6402,58.8849,45.417,89.0409,93.7824,100.0,,,1.18,45.4796,,60.3265,-2.7460000000000004,45.693999999999996
1998-02-25,18.1581,2638074.5229,442176.6794,,,0.4683,100.0,90.0,45.586000000000006,0.44,241.7017,-54.3301,,61.1711,50.1836,20.7299,,0.1318,,,0.0,45.7114,-11.2251,-6.3664,0.6484,54.5645,45.19,45.095,52.7542,24.1382,3.38,5.03,1590400.0,12.7094,5.8153,1.0331,7.7151,1.0772,22.835,58.0627,45.586000000000006,90.0248,80.4878,100.0,,,1.06,45.5535,,59.8559,-10.5461,45.8628
1998-02-26,18.1812,1978542.5229,192983.6878,,,0.6078,100.0,95.0,45.788999999999994,0.16,247.1899,-54.0334,,60.4382,49.9042,21.6355,,0.2127,,,0.0,45.8483,-10.378,-4.8247,0.6974,60.618,46.125,45.16,51.8594,22.9313,4.06,4.8518,2560300.0,12.7878,5.6546,1.3392,9.4003,1.094,22.9833,57.2816,45.788999999999994,84.4234,79.0,100.0,,,0.75,45.6266,,53.6294,-11.5809,46.0213
