date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,4.9211,65493.9381,,,,,,,,,,,-0.0309,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,397057.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,5.1049,449928.9381,,,,,,,,,,,0.5018,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,781492.0,,,,,,,50.81,,,,,,,,,,2.75,,,,,
1998-01-06,5.0215,89712.3175,,,,,,,,,,,-0.2874,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,284050.0,,,,,,,50.8407,,,,,,,,,,1.0,,,,,
1998-01-07,4.814,-30978.362,,,,,,,,,,,-0.4615,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-211417.0,,,,,,,53.88,,,,,,,,,,3.37,,,,,
1998-01-08,4.6662,-277950.962,,,,,,,,,,,-0.375,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-603437.0,,,,,,,53.8375,,,,,,,,,,2.0,,,,,
1998-01-09,4.6009,-560766.6947,,,,,,,,,,,-0.4385,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-953679.0,,,,,,,53.7384,,,,,,,,,,1.87,,,,,
1998-01-12,4.563,-584060.7381,,,,,,,,,,,-0.2464,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1489442.0,,,,,,,53.5776,,,,10.56,7.0776,,,,,1.38,,,,,
1998-01-13,4.5601,-248012.8462,,,,,,,,,,,0.3514,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2445886.0,,,,,,,53.3345,,,,12.0,8.6109,,,,,0.37,,,,,
1998-01-14,4.7022,243470.5823,,,,,,,,,,,0.7143,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1876286.0,,,,,,,53.1011,,28.5259,14.7381,63.0178,28.5259,,,,,1.75,,,,,
1998-01-15,4.6786,63107.8786,79536.825,,,,,,,,,,-0.7654,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2216039.0,,,,,,,52.8771,,47.7938,28.3102,68.3636,47.7938,,,,,0.81,,,,,
1998-01-16,4.832,208942.1643,130232.1628,,,,,,,,,,0.5714,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2011871.0,,,,,,,52.662,,74.9049,50.4082,93.3333,74.9049,,,,,1.87,,,,,
1998-01-20,4.8794,134615.1643,115482.3771,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1640236.0,,,,,,,52.4555,,81.5115,68.0701,82.8375,81.5115,,,,,1.25,,,,,
1998-01-21,4.743,-70897.0985,33559.7105,,,,,,,,,,-0.4686,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1860878.0,,,,,,,52.2573,,74.8805,77.099,48.4706,74.8805,,,,,1.75,,,,,
1998-01-22,4.7373,-262075.0216,-63834.3296,,,,,,,,,,-0.1044,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2231031.0,,,,,,,52.25,,52.5929,69.6616,26.4706,52.5929,,,,,1.82,,,,,
1998-01-23,4.6786,-368485.0216,-131731.9524,,,,,,,,,,-0.4133,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2550261.0,,,,,,,52.06,,29.926,52.4665,14.8368,29.926,,,,,1.5,,,,,
1998-01-26,4.6482,-550477.2216,-205439.2297,,,,,,,,,,-0.2533,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2900246.0,,,,,,,51.8776,,15.5495,32.6895,5.3412,15.5495,,,,,0.75,,,,,
1998-01-27,4.6662,-375789.0629,-161333.3172,,,,,,,,,,0.3016,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2602804.0,,,,,,,51.7025,,12.2816,19.2524,16.6667,12.2816,,,,,0.63,,,,,
1998-01-28,4.8084,-211812.7438,-76449.0408,,,,,,,,,,0.7669,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2295584.0,,,,,,,51.5344,,32.6845,20.1719,76.0456,32.6845,,,,,1.88,,,,,
1998-01-29,4.8207,-280681.4638,-56686.5168,,,,,,,,,,0.38,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2008631.0,,,,,,,47.5,,56.7223,33.8961,77.4545,56.7223,,,,,1.0,,,,,
1998-01-30,4.7847,-397376.8729,-80578.8856,,,,,,,50.256,53.2182,47.2938,-0.2841,20.5589,,,,50.256,,,,,,,,0.0,,,,,,,,,,,51.005,50.69,,7.88,,,-2278873.0,,7.25,,,,,47.54,50.256,72.3788,53.9285,63.6364,72.3788,,,,,0.88,49.9023,,,-52.9781,50.0242
1998-02-02,5.1106,8196.0437,46018.2448,,,,30.0,100.0,70.0,50.356,53.6548,47.0572,0.8889,157.5619,10.1833,,13.8228,50.6069,,,,,,,,0.0,50.5545,,,,,,,,,43.9141,51.035,50.815,24.2827,7.486,2.0,2.9904,-1811653.0,32.0726,9.8875,,3.8506,1.0385,55.0916,47.5796,50.356,79.1864,69.4292,96.4684,79.1864,,,,,3.63,49.9257,,,-2.8658,50.3751
1998-02-03,5.4157,803595.2837,346706.0795,,,,25.0,100.0,75.0,50.52,54.7092,46.3308,0.7275,291.0058,23.4025,,30.1913,51.231,,,,,,,,0.0,50.7213,,,,,,,,,50.8914,52.645,52.75,21.3263,7.1117,3.28,3.036,-440275.0,39.773,13.2631,,6.0876,1.0609,61.7013,47.7106,50.52,83.4075,78.3243,90.1176,83.4075,,,,,4.06,50.0092,,,-8.0,51.0231
1998-02-04,5.3181,256343.9637,264070.5847,,,,20.0,95.0,75.0,50.6765,55.4216,45.9314,-0.6089,249.0838,17.5758,,30.1913,51.6975,,,,,,,,0.0,50.8495,,,,,,,,,55.1744,52.645,52.75,19.9121,6.7561,3.13,3.1375,-1684028.0,37.1355,12.6,,5.9057,1.0591,58.7879,48.0193,50.6765,87.4857,83.3599,75.871,87.4857,,,,,2.25,50.1695,,,-17.8095,51.5574
1998-02-05,5.3058,-205202.4363,59403.0655,,,,15.0,90.0,75.0,50.936,56.2191,45.6529,-0.048,185.33,16.8428,,30.1913,52.1073,,,,,,,,0.0,51.1194,,,,,,,,,53.2664,52.645,52.75,19.1687,6.4183,5.19,3.0992,-2453272.0,35.7491,11.97,,10.2145,1.1021,58.4214,48.3187,50.936,80.0607,83.6513,74.1935,80.0607,,,,,1.25,50.411,,,-19.0476,52.0644
1998-02-06,5.3475,-88401.3296,7439.1538,,,,10.0,85.0,75.0,51.2955,57.03,45.561,0.46,149.6113,18.6496,,28.3544,52.5199,,,,,,,,0.0,51.6193,,,,,,,,,57.544,52.645,52.75,19.0561,6.3474,7.19,3.0541,-1992215.0,34.1393,11.3715,,14.599,1.146,59.3248,48.6091,51.2955,75.6511,81.0658,76.8889,75.6511,,,,,1.5,50.7241,,,-14.8571,52.5886
1998-02-09,5.4867,207879.5982,79776.1075,,,1.4744,5.0,100.0,95.0,51.763,58.0291,45.4969,0.7268,147.8957,24.4244,,32.8614,53.0333,,,,,,,,0.0,52.4623,,,,,,,,,61.1655,53.02,52.815,17.9553,6.03,9.35,2.9953,-1609025.0,35.5319,11.9329,2.8549,19.2545,1.1925,62.2122,48.8909,51.763,81.9185,79.2101,94.6731,81.9185,,,,,1.94,51.1165,,,-2.0696,53.2185
1998-02-10,5.5133,666373.0025,248000.3892,,,1.9681,0.0,100.0,100.0,52.2645,58.8919,45.6371,0.3298,133.7872,25.485,,33.3303,53.5244,,,,,,,,0.0,53.334,,,,,,,,,66.3207,53.16,53.065,17.4414,5.7285,10.03,2.9126,-1083435.0,34.8803,11.4563,3.7934,20.8264,1.2083,62.7425,49.2604,52.2645,89.7934,82.4544,97.8182,89.7934,100.0,88.0152,,,0.94,51.5855,,,-0.5786,53.8306
1998-02-11,5.6848,1040344.6025,413264.8873,,,2.6444,0.0,100.0,100.0,52.858,60.0038,45.7122,0.648,145.0712,31.9801,,41.813,54.1411,,,,,,,,0.0,54.4881,,,,,,,,,74.8582,54.53,54.315,16.1476,5.4421,11.87,2.8918,-329460.0,39.3548,13.2634,5.0739,24.6624,1.2466,65.99,49.7099,52.858,93.4035,88.3718,87.7193,93.4035,100.0,100.0,,,2.5,52.1288,,,-4.9881,54.5673
1998-02-12,5.6317,846370.6894,381584.5835,,,3.2459,0.0,95.0,95.0,53.3485,60.8772,45.8198,-0.3188,125.1706,28.3369,,41.813,54.6458,,,,,,,,0.0,55.1629,,,,,,,,,75.0416,54.53,54.69,15.4804,5.17,9.81,2.8892,-864828.0,37.7286,12.6003,6.1985,19.7663,1.1977,64.1685,50.3651,53.3485,87.4469,90.2146,76.8031,87.4469,72.6702,90.8901,,,1.38,52.7261,,59.443,-10.0168,55.1942
1998-02-13,5.59,813395.9901,323443.0018,,,3.6184,35.0,90.0,55.0,53.8295,61.5102,46.1488,-0.2331,100.2106,25.4723,,35.7807,55.0605,,,,,,,,0.0,55.6612,,,,,,,,,70.9176,54.53,54.69,16.9723,5.6615,9.62,2.9033,-1278280.0,35.885,11.9703,6.8685,19.4816,1.1948,62.7362,50.981,53.8295,75.9369,85.5958,63.2883,75.9369,13.8693,62.1798,,,1.63,53.3893,,61.448,-13.7205,55.7324
1998-02-17,5.6876,986550.0963,325348.3884,,,3.9596,30.0,85.0,55.0,54.2735,62.2688,46.2782,0.3363,99.5898,28.8173,,36.7251,55.5195,,,,,,,,0.0,56.1731,,,,,,,,,71.3481,54.53,54.69,16.3879,5.3784,8.88,2.812,-967702.0,35.4112,11.6217,7.4582,17.4118,1.1741,64.4086,51.56,54.2735,72.5003,78.628,77.4096,72.5003,51.3995,45.9797,,,1.13,54.0963,,65.3632,-6.3131,56.3087
1998-02-18,6.115,1872028.5644,578293.8875,,,4.5078,25.0,100.0,75.0,54.9175,63.9262,45.9088,0.924,137.8709,42.6681,,50.2002,56.3633,,,,,,,,0.0,57.5131,,,,,,,,,73.2477,56.72,56.625,14.174,5.1095,12.88,2.8629,-36324.0,42.7499,15.4107,8.3946,25.0097,1.2501,71.3341,52.1042,54.9175,79.6047,76.014,98.1162,79.6047,100.0,55.0896,,,4.87,54.8422,,73.4793,-0.7619,57.2712
1998-02-19,6.2689,2330791.1029,775169.3187,,,4.8266,20.0,100.0,80.0,55.7145,65.6372,45.7918,0.6154,159.6796,46.6052,,54.834,57.2811,15.6467,,1.9809,0.5577,,,,0.0,59.4805,,,,,,,0.5538,10.6049,76.4037,57.53,57.625,12.9454,4.854,15.94,2.8992,626333.0,44.3784,16.6401,8.875,31.8418,1.3184,73.3026,52.9719,55.7145,89.8217,80.6423,93.9394,89.8217,100.0,83.7998,,,3.25,55.6264,,74.6745,-2.8169,58.3267
1998-02-20,6.3221,2768610.6091,924545.5362,,,4.9011,15.0,100.0,85.0,56.5425,67.1591,45.9259,0.1111,159.8417,47.9069,,55.3803,58.1648,17.2118,,2.0158,-0.3068,,,,0.0,61.1698,1.2173,3.7578,2.5406,1.4404,4.9011,3.4607,0.6069,11.1645,79.9947,57.81,57.75,12.3823,4.6113,16.56,2.8528,1198323.0,43.1192,16.0581,8.896,33.12,1.3312,73.9535,54.0541,56.5425,96.6068,88.6777,97.7647,96.6068,100.0,100.0,,,1.62,56.4514,,75.7095,-1.0556,59.3596
1998-02-23,6.2452,2558556.2757,834768.925,,,5.0828,10.0,100.0,90.0,57.361,68.1651,46.5569,-0.6667,138.9058,42.6134,,55.3803,58.8872,18.9332,,1.2928,0.1939,,,,0.0,62.2262,1.1021,3.9182,2.8161,1.2211,5.0828,3.8616,0.6624,11.7103,76.9263,57.81,57.75,11.8787,4.3808,16.37,2.8576,568160.0,41.3654,15.2552,9.1231,33.1511,1.3315,71.3067,55.1967,57.361,92.9336,93.1207,87.0968,92.9336,72.2701,90.7567,,,1.5,57.3065,,72.1829,-5.5556,60.2365
1998-02-24,6.1977,2302757.9803,640763.6786,,,5.2432,5.0,95.0,90.0,58.1705,68.7899,47.5511,-0.2841,117.9527,39.3723,,53.3255,59.4932,20.8267,,1.399,3.9901,,,,0.0,62.9015,0.9146,3.9593,3.0447,1.0177,5.2432,4.2255,0.7203,12.2457,74.5353,57.905,57.75,12.2837,4.4117,16.19,2.8029,-24215.0,40.3519,14.4925,9.3091,33.0004,1.33,69.6861,56.2365,58.1705,87.9314,92.4906,78.9326,87.9314,0.0,57.4234,,,0.88,58.1641,,72.0119,-8.3333,60.9878
1998-02-25,6.2005,2523136.7171,573267.1597,,,5.4306,0.0,90.0,90.0,58.972,69.1895,48.7545,0.0789,104.6008,39.4592,,53.3255,60.0443,22.9095,,3.6862,7.1627,,,,0.0,63.4298,0.7233,3.9488,3.2255,0.8955,5.4306,4.5351,0.7806,12.7761,72.8789,58.53,58.125,12.1484,4.1911,16.03,2.6907,441029.0,39.9074,13.7678,9.5488,32.5482,1.3255,69.7296,57.1828,58.972,74.6765,85.1805,58.0,74.6765,1.0182,24.4294,,,0.38,59.0057,,74.9457,-8.5217,61.6649
1998-02-26,6.1863,2641024.8873,531049.6234,,,5.5081,0.0,85.0,85.0,59.691,69.509,49.873,-0.1968,89.8744,38.415,,42.8587,60.5287,23.7139,,6.1685,3.9524,,,,0.0,63.7763,0.5264,3.8836,3.3572,0.7216,5.5081,4.7865,0.8432,13.2996,70.6063,58.53,58.5,15.0964,5.2316,14.38,2.7064,189177.0,37.7424,13.0794,9.5965,28.335,1.2833,69.2075,58.0438,59.691,60.9775,74.5284,46.0,60.9775,0.0,0.3394,,,1.88,59.8127,,75.4729,-9.8182,62.2514
1998-02-27,6.0134,2423573.1873,396312.3974,,,5.4251,5.0,80.0,75.0,60.3125,69.3646,51.2604,-0.845,64.8499,26.3341,66.2921,37.9422,60.7936,23.7008,,6.2938,-2.6794,,,,0.0,63.7105,0.2287,3.6431,3.4143,0.4379,5.4251,4.9872,0.908,13.7997,68.32,58.53,58.5,16.0072,5.59,12.43,2.8029,-76008.0,35.5809,12.4255,9.3688,24.43,1.2443,63.167,58.8274,60.3125,36.3241,57.326,4.9724,36.3241,0.0,0.3394,,,2.0,60.5708,,62.3388,-20.8485,62.596
1998-03-02,6.0818,2437723.31,309666.535,39.7139,,5.2213,0.0,75.0,75.0,60.989,68.965,53.013,0.5425,58.5256,28.9176,66.3556,35.9563,61.1018,24.4733,,4.5626,-7.2772,,,,0.0,63.7612,0.045,3.4705,3.4256,0.0939,5.2213,5.1274,0.9749,14.302,70.1174,60.25,59.0,15.7541,5.5605,13.53,2.7984,90649.0,33.4438,11.8042,8.9336,26.7921,1.2679,64.4588,59.5404,60.989,29.7686,42.3567,38.3333,29.7686,19.684,6.5613,,,2.12,61.2968,,56.4595,-17.5484,62.9501
1998-03-03,6.1863,2605189.9766,299353.8458,39.5981,,5.0897,0.0,70.0,70.0,61.5485,69.0222,54.0748,0.6667,62.9188,32.7127,66.586,37.3983,61.4854,24.9382,,1.6088,-9.0362,,,,0.0,63.9484,-0.0336,3.3836,3.4172,-0.1023,5.0897,5.1921,1.0441,14.8103,69.6654,61.28,60.375,14.838,5.2825,11.19,2.7725,311449.0,32.5666,11.594,8.6191,20.7453,1.2075,66.3563,60.1893,61.5485,41.708,35.9336,81.8182,41.708,48.5986,22.7609,,,2.07,61.9933,,57.9615,-12.7059,63.3445
