date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD_Signal,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,22.0998,448742.6667,,,,,,,,,,,-0.4133,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2588900.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,22.4067,2237847.7514,,,,,,,,,,,0.5254,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6358800.0,,,,,,,35.56,,,,,,,,,,1.18,,,,,
1998-01-06,21.6025,-1129713.5983,,,,,,,,,,,-0.8037,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1967500.0,,,,,,,36.81,,,,,,,,,,1.63,,,,,
1998-01-07,22.0261,1841286.4017,,,,,,,,,,,0.8785,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4938500.0,,,,,,,36.81,,,,,,,,,,1.07,,,,,
1998-01-08,22.0261,-261617.5983,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4938500.0,,,,,,,36.77,,,,,,,,,,0.5,,,,,
1998-01-09,21.3324,-3863022.332,,,,,,,,,,,-0.6272,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-176100.0,,,,,,,36.7308,,,,,,,,,,1.69,,,,,
1998-01-12,21.7192,-1258984.9987,,,,,,,,,,,0.7533,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4262600.0,,,,,,,36.6639,,,,48.7705,37.6977,,,,,1.5,,,,,
1998-01-13,22.4067,2050015.0013,,,,,,,,,,,0.4464,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7571600.0,,,,,,,36.5649,,,,100.0,53.1977,,,,,1.12,,,,,
1998-01-14,22.5234,5033118.4496,,,,,,,,,,,0.5057,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,11032000.0,,,,,,,34.19,,82.1422,57.6792,97.6562,82.1422,,,,,0.87,,,,,
1998-01-15,22.063,3249270.4496,1613983.9721,,,,,,,,,,-0.81,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9004900.0,,,,,,,34.2156,,87.5707,74.3035,65.0558,87.5707,,,,,1.0,,,,,
1998-01-16,22.5234,3852158.4496,1607298.8492,,,,,,,,,,0.4133,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12483100.0,,,,,,,34.2689,,83.8933,84.5354,88.968,83.8933,,,,,1.06,,,,,
1998-01-20,23.1004,7247697.6496,2538844.7854,,,,,,,,,,0.6,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,16685500.0,,,,,,,34.3508,,82.9868,84.8169,94.9367,82.9868,,,,,1.25,,,,,
1998-01-21,22.7137,6974981.7076,2602354.4336,,,,,,,,,,-0.087,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13997300.0,,,,,,,34.4868,,81.2659,82.7154,59.893,81.2659,,,,,0.94,,,,,
1998-01-22,22.64,7532681.7076,2569207.9775,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,11294600.0,,,,,,,34.6173,,69.4352,77.896,53.4759,69.4352,,,,,0.63,,,,,
1998-01-23,22.2901,5790870.3868,1767871.0091,,,,,,,,,,-0.4151,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8657000.0,,,,,,,34.7426,,41.4934,64.0648,11.1111,41.4934,,,,,1.06,,,,,
1998-01-26,22.3699,6299454.3868,1441157.9758,,,,,,,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10776100.0,,,,,,,34.8629,,27.9076,46.2787,19.1358,27.9076,,,,,0.5,,,,,
1998-01-27,22.1366,6705722.5686,1305755.4313,,,,,,,,,,0.2045,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7796800.0,,,,,,,34.9784,,19.2398,29.5469,27.4725,19.2398,,,,,0.88,,,,,
1998-01-28,22.3699,7333333.1881,1331352.7301,,,,,,,,,,0.4956,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10633600.0,,,,,,,35.0893,,33.532,26.8932,53.9877,33.532,,,,,1.13,,,,,
1998-01-29,22.64,6627669.1881,996262.8314,,,,,,,,,,0.304,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13017600.0,,,,,,,35.1957,,47.8107,33.5275,61.9718,47.8107,,,,,1.25,,,,,
1998-01-30,22.1796,5266904.9906,335640.8253,,,,,,,36.2585,37.5593,34.9577,-0.6173,4.744,,,,36.2585,,,,,,,,0.0,,,,,,,,,,,36.19,35.97,,4.07,,,10454300.0,,4.24,,,,,35.2979,36.2585,47.5734,42.972,26.7606,47.5734,,,,,0.94,36.35,,,-45.5056,36.4175
1998-02-02,22.4067,7627245.4161,785890.9741,,,,30.0,55.0,25.0,36.2835,37.5827,34.9843,0.2021,8.3115,4.2445,,0.3525,36.2815,,,,,,,,0.0,36.133,,,,,,,,,47.0935,36.19,35.97,20.1515,4.0565,0.5,2.8959,14416300.0,20.0099,4.028,,1.3889,1.0139,52.1222,35.396,36.2835,44.2879,46.5573,44.1315,44.2879,,,,,0.94,36.4187,,,-35.1124,36.4405
1998-02-03,21.6025,8261979.7356,1100600.5026,,,,25.0,50.0,25.0,36.218,37.5966,34.8394,0.4083,-139.74,-6.6795,,16.0859,36.1775,,,,,,,,0.0,36.1178,,,,,,,,,35.2434,36.19,35.97,24.8372,5.2937,-1.31,3.1647,-908000.0,17.9539,3.8266,,-3.589,0.9641,46.6603,37.75,36.218,32.3092,41.3902,26.0355,32.3092,,,,,2.19,36.459,,,-71.9101,36.3364
1998-02-04,21.756,6863152.302,684209.2624,,,,20.0,45.0,25.0,36.2305,37.5757,34.8853,0.3363,-90.1256,-4.4801,,14.3698,36.1073,,,,,,,,0.0,36.1137,,,,,,,,,42.3524,36.19,35.97,23.5243,5.029,0.25,3.1447,5414700.0,17.613,3.7653,,0.7104,1.0071,47.76,37.7156,36.2305,34.533,37.0434,33.432,34.533,,,,,1.13,36.4748,,,-64.8876,36.2623
1998-02-05,21.6394,5034440.302,-130196.3597,,,,15.0,40.0,25.0,36.199,37.6038,34.7942,-0.19,-106.8584,-6.03,,14.9804,36.0257,,,,,,,,0.0,36.1052,,,,,,,,,41.4027,36.19,35.97,22.7019,4.8375,-0.63,3.1454,602300.0,16.7864,3.577,,-1.7559,0.9824,46.985,37.6815,36.199,32.664,33.1687,38.5246,32.664,,,,,1.0,36.4594,,,-70.2247,36.1689
