date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,4.5155,-40853.5714,,,,,,,,-0.3214,,,,,,,,,,,0,,,,,,,,,,,,381300,,,,,,,,,,,,,,,,,,,
05/01/1998,4.4209,-403253.5714,,,,,,,,-0.8621,,,,,,,,,,,0,,,,,,,,,,,,18900,,,,,,,23.38,,,,,,,0.87,,,,,
06/01/1998,4.455,-218134.8214,,,,,,,,0.5625,,,,,,,,,,,0,,,,,,,,,,,,348000,,,,,,,24.25,,,,,,,0.32,,,,,
07/01/1998,4.4323,-480702.5634,,,,,,,,0.1935,,,,,,,,,,,0,,,,,,,,,,,,-80400,,,,,,,24.25,,,,,,,0.31,,,,,
08/01/1998,4.455,-366005.7892,,,,,,,,0.4032,,,,,,,,,,,0,,,,,,,,,,,,215900,,,,,,,24.2406,,,,,,,0.62,,,,,
09/01/1998,4.4077,-512850.6168,,,,,,,,-0.2874,,,,,,,,,,,0,,,,,,,,,,,,-34600,,,,,,,24.2184,,,,,,,0.87,,,,,
12/01/1998,4.455,-303750.6168,,,,,,,,0.9118,,,,,,,,,,,0,,,,,,,,,,,,174500,,,,,,,24.1966,,,60.7143,,,,0.68,,,,,
13/01/1998,4.4077,-327347.7182,,,,,,,,-0.4638,,,,,,,,,,,0,,,,,,,,,,,,-58100,,,,,,,24.1571,,,38.3929,,,,0.69,,,,,
14/01/1998,4.385,-327347.7182,,,,,,,,-0.5,,,,,,,,,,,0,,,,,,,,,,,,-273800,,,,,,,24.1188,,42.2619,27.6786,,,,0.38,,,,,
15/01/1998,4.3491,-513428.7993,-89962.5163,,,,,,,-0.6757,,,,,,,,,,,0,,,,,,,,,,,,-549200,,,,,,,24.0816,,25.5952,10.7143,,,,0.37,,,,,
16/01/1998,4.3264,-881928.7993,-218777.4844,,,,,,,-1,,,,,,,,,,,0,,,,,,,,,,,,-917700,,,,,,,24.0456,,12.7976,0,,,,0.31,,,,,
20/01/1998,4.385,-820819.497,-232141.7857,,,,,,,0.7209,,,,,,,,,,,0,,,,,,,,,,,,-779400,,,,,,,24.0106,,16.3286,38.2716,,,,0.43,,,,,
21/01/1998,4.3737,-710007.497,-181246.8375,,,,,,,-0.24,,,,,,,,,,,0,,,,,,,,,,,,-992500,,,,,,,23.9767,,32.863,60.3175,,,,0.5,,,,,
