date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,13.2789,-13566.6667,,,,,,,,-0.4933,,,,,,,,,,,0.0,,,,,,,,,,,,27500.0,,,,,,,,,,,,,,,,,,,
1998-01-05,13.3617,66790.4762,,,,,,,,-0.3393,,,,,,,,,,,0.0,,,,,,,,,,,,277500.0,,,,,,,29.25,,,,,,,0.56,,,,,
1998-01-06,13.4215,152535.348,,,,,,,,-0.1987,,,,,,,,,,,0.0,,,,,,,,,,,,419800.0,,,,,,,27.94,,,,,,,1.56,,,,,
1998-01-07,13.6238,176270.2317,,,,,,,,0.4419,,,,,,,,,,,0.0,,,,,,,,,,,,565600.0,,,,,,,27.94,,,,,,,0.62,,,,,
1998-01-08,13.6514,208543.9159,,,,,,,,0.6842,,,,,,,,,,,0.0,,,,,,,,,,,,653200.0,,,,,,,27.94,,,,,,,0.19,,,,,
1998-01-09,13.8813,700719.9159,,,,,,,,0.88,,,,,,,,,,,0.0,,,,,,,,,,,,1300800.0,,,,,,,27.9774,,,,,,,0.56,,,,,
1998-01-12,13.8537,624383.5523,,,,,,,,0.2955,,,,,,,,,,,0.0,,,,,,,,,,,,1114200.0,,,,,,,28.0456,,,87.6,,,,0.44,,,,,
1998-01-13,14.5434,1102883.5523,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,1592700.0,,,,,,,28.1414,,,100.0,,,,1.5,,,,,
1998-01-14,14.6859,1400955.5523,,,,,,,,0.88,,,,,,,,,,,0.0,,,,,,,,,,,,1984900.0,,,,,,,28.3158,,95.04700000000001,97.541,,,,0.5,,,,,
1998-01-15,14.971,1590778.7666,568067.165,,,,,,,0.5536,,,,,,,,,,,0.0,,,,,,,,,,,,2272200.0,,,,,,,28.5368,,97.0692,93.6667,,,,1.12,,,,,
1998-01-16,15.1733,1898426.7666,639362.6007,,,,,,,0.88,,,,,,,,,,,0.0,,,,,,,,,,,,2677000.0,,,,,,,28.8318,,96.4156,98.0392,,,,0.5,,,,,
