date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD_Signal,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2015-07-20,40.47,-26808719.16,,,,,,,,,,,-0.36,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,52286509.0,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,39.35,-52145652.1701,,,,,,,,,,,-0.8693,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,19331936.0,,,,,,,42.55,,,,,,,,,,1.99,,,,,
2015-07-22,38.39,-68427179.8436,,,,,,,,,,,-0.5934,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6048923.0,,,,,,,42.5157,,,,,,,,,,1.6178,,,,,
2015-07-23,37.01,-85985012.6128,,,,,,,,,,,-0.9505,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-25299077.0,,,,,,,42.4274,,,,,,,,,,1.82,,,,,
2015-07-24,37.0,-97902092.9339,,,,,,,,,,,-0.6514,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-39573382.0,,,,,,,42.2625,,,,,,,,,,1.09,,,,,
2015-07-27,36.39,-109339617.6408,,,,,,,,,,,-0.3362,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-55753295.0,,,,,,,42.0484,,,,,,,,,,1.16,,,,,
2015-07-28,37.6,-103331056.1862,,,,,,,,,,,0.3503,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-36767279.0,,,,,,,41.7569,,,,39.4534,14.8419,,,,,1.61,,,,,
2015-07-29,37.95,-98910391.5612,,,,,,,,,,,-0.1667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-24978840.0,,,,,,,41.4801,,,,68.3794,37.1031,,,,,0.5,,,,,
2015-07-30,38.45,-97039433.318,,,,,,,,,,,0.3166,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-11133749.0,,,,,,,41.2171,,62.587,38.1773,79.9283,62.587,,,,,1.295,,,,,
2015-07-31,38.7,-97292839.6459,-13826789.0445,,,,,,,,,,-0.4489,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1346831.0,,,,,,,40.9672,,77.1764,58.9555,83.2215,77.1764,,,,,0.9801,,,,,
2015-08-03,39.39,-97292839.6459,-11161604.7915,,,,,,,,,,0.1429,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,16473405.0,,,,,,,40.7299,,82.3621,74.0419,83.9365,82.3621,,,,,1.18,,,,,
2015-08-04,38.95,-100560796.0513,-10096415.1086,,,,,,,,,,-0.6486,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5481188.0,,,,,,,40.5044,,75.0789,78.2058,58.0786,75.0789,,,,,1.48,,,,,
2015-08-05,39.27,-107276680.7696,-10879672.1843,,,,,,,,,,-0.6056,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,14830753.0,,,,,,,40.2902,,70.9527,76.1312,70.8428,70.9527,,,,,0.93,,,,,
