date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,2.3683,-372803.8674,,,,,,,,,,,0.3094,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1499500.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,2.3943,-1080527.9316,,,,,,,,,,,-0.1337,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3020700.0,,,,,,,51.13,,,,,,,,,,1.94,,,,,
1998-01-06,2.3742,-2149899.5893,,,,,,,,,,,-0.2353,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1878000.0,,,,,,,51.1562,,,,,,,,,,1.87,,,,,
1998-01-07,2.1886,-5603828.1608,,,,,,,,,,,-0.82,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2957500.0,,,,,,,53.75,,,,,,,,,,4.56,,,,,
1998-01-08,2.2115,-5758952.6506,,,,,,,,,,,0.1939,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-423800.0,,,,,,,53.75,,,,,,,,,,2.94,,,,,
1998-01-09,2.1228,-6983349.3778,,,,,,,,,,,-0.7055,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2489500.0,,,,,,,53.615,,,,,,,,,,2.75,,,,,
1998-01-12,2.1511,-6156153.5603,,,,,,,,,,,0.4487,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-292000.0,,,,,,,53.383,,,,21.2941,16.2847,,,,,2.63,,,,,
1998-01-13,2.2257,-6156153.5603,,,,,,,,,,,0.4058,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1450000.0,,,,,,,53.0576,,,,61.1012,29.837,,,,,2.32,,,,,
1998-01-14,2.2257,-7316772.227,,,,,,,,,,,-0.54,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1450000.0,,,,,,,52.7453,,51.6055,32.5757,72.4211,51.6055,,,,,1.5,,,,,
1998-01-15,2.1027,-9658972.227,-2514042.1576,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-892200.0,,,,,,,52.4455,,49.7706,43.7377,15.7895,49.7706,,,,,2.69,,,,,
1998-01-16,2.1027,-9998038.8937,-2636623.4905,,,,,,,,,,-0.1111,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-892200.0,,,,,,,52.1577,,36.0702,45.8154,20.0,36.0702,,,,,2.25,,,,,
1998-01-20,2.1713,-11730742.444,-2998392.1208,,,,,,,,,,-0.5207,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1844500.0,,,,,,,51.7998,,28.5965,38.1458,50.0,28.5965,,,,,2.88,,,,,
1998-01-21,2.4743,-6333482.444,-1156497.2768,,,,,,,,,,0.6667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9204400.0,,,,,,,45.0,,54.936,39.8675,94.8079,54.936,,,,,7.13,,,,,
1998-01-22,2.4227,-8357084.367,-941732.0637,,,,,,,,,,-0.2821,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4629300.0,,,,,,,45.0963,,74.2856,52.606,78.0488,74.2856,,,,,3.12,,,,,
1998-01-23,2.4885,-7307139.1116,-434188.0712,,,,,,,,,,0.5036,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6547200.0,,,,,,,45.2994,,88.3181,72.5132,92.0976,88.3181,,,,,1.75,,,,,
1998-01-26,2.3715,-8753824.2179,-647393.6926,,,,,,,,,,-0.8404,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4675800.0,,,,,,,45.4984,,76.1116,79.5718,58.1886,76.1116,,,,,2.88,,,,,
1998-01-27,2.3998,-9496011.3837,-911910.6639,,,,,,,,,,0.1979,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6878800.0,,,,,,,45.6934,,62.4524,75.6274,37.0709,62.4524,,,,,1.87,,,,,
1998-01-28,2.4656,-9405658.4948,-908472.5362,,,,,,,,,,0.2489,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8442600.0,,,,,,,45.8846,,53.2527,63.9389,64.4986,53.2527,,,,,2.5,,,,,
1998-01-29,2.4597,-10545048.2287,-1187010.7142,,,,,,,,,,-0.1673,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6458100.0,,,,,,,46.0719,,51.2176,55.6409,52.0833,51.2176,,,,,2.63,,,,,
1998-01-30,2.3715,-12639545.6832,-1859479.094,,,,,,,50.4175,56.2221,44.6129,-0.8182,50.5978,,,,50.4175,,,,,,,,0.0,,,,,,,,,,,50.22,50.44,,13.45,,,4144900.0,,13.06,,,,,46.3661,50.4175,41.3298,48.6001,7.4074,41.3298,,,,,2.75,49.55,,,-36.7647,51.1113
