date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD_Signal,MACDEXT,MACD,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,8.875,26700.0,,,,,,,,,,,0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,26700.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,9.0,4300.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,71500.0,,,,,,,8.5,,,,,,,,,,0.5,,,,,
1998-01-06,8.5,-21671.4286,,,,,,,,,,,-0.5714,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10900.0,,,,,,,9.375,,,,,,,,,,0.875,,,,,
1998-01-07,8.25,-49571.4286,,,,,,,,,,,-0.6667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-72800.0,,,,,,,9.375,,,,,,,,,,0.375,,,,,
1998-01-08,8.25,-65771.4286,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-72800.0,,,,,,,9.35,,,,,,,,,,0.375,,,,,
1998-01-09,8.688,-41707.4286,,,,,,,,,,,0.876,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-40800.0,,,,,,,9.3255,,,,,,,,,,0.5,,,,,
1998-01-12,8.375,-41707.4286,,,,,,,,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-48500.0,,,,,,,9.3015,,,,25.0,26.68,,,,,0.438,,,,,
1998-01-13,8.375,-77007.4286,,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-48500.0,,,,,,,9.278,,,,33.3333,34.4578,,,,,0.5,,,,,
1998-01-14,8.563,-102948.2286,,,,,,,,,,,0.126,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,56100.0,,,,,,,9.2549,,36.1378,32.4252,50.08,36.1378,,,,,0.5,,,,,
1998-01-15,8.375,-133048.2286,-47295.1775,,,,,,,,,,-0.3333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,26000.0,,,,,,,9.2323,,34.4711,35.0222,20.0,34.4711,,,,,0.375,,,,,
1998-01-16,8.125,-194128.2286,-66343.5071,,,,,,,,,,-0.8,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-75800.0,,,,,,,9.2102,,28.1219,32.9103,14.2857,28.1219,,,,,0.625,,,,,
1998-01-20,8.5,-145928.2286,-52768.4141,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-27600.0,,,,,,,9.1739,,30.4762,31.0231,57.1429,30.4762,,,,,0.375,,,,,
1998-01-21,7.875,-164056.8,-48186.0202,,,,,,,,,,-0.1429,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-154500.0,,,,,,,9.1386,,32.9004,30.4995,27.2727,32.9004,,,,,1.0,,,,,
1998-01-22,7.938,-157723.1102,-39915.5923,,,,,,,,,,0.6684,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-135700.0,,,,,,,9.0731,,39.8185,34.3984,35.04,39.8185,,,,,0.187,,,,,
1998-01-23,7.938,-157635.9102,-32875.7997,,,,,,,,,,-0.496,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-135700.0,,,,,,,9.0102,,33.7487,35.4892,38.9333,33.7487,,,,,0.125,,,,,
1998-01-26,7.5,-188535.9102,-36838.9937,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-166600.0,,,,,,,8.9498,,24.6578,32.7417,0.0,24.6578,,,,,0.625,,,,,
1998-01-27,7.438,-234670.6302,-49790.53,,,,,,,,,,-0.6992,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-282400.0,,,,,,,8.8918,,18.5481,25.6515,16.7111,18.5481,,,,,0.625,,,,,
1998-01-28,7.125,-322770.6302,-78594.2921,,,,,,,,,,-0.6667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-370500.0,,,,,,,8.8097,,5.5704,16.2588,0.0,5.5704,,,,,0.375,,,,,
1998-01-29,7.0,-502270.6302,-140346.3501,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-550000.0,,,,,,,8.7086,,5.5704,9.8963,0.0,5.5704,,,,,0.25,,,,,
1998-01-30,7.0,-571570.6302,-174899.7965,,,,,,,8.0845,9.2533,6.9157,0.0,-145.2152,,,,8.0845,,,,,,,,0.0,,,,,,,,,,,8.0,8.1875,,2.625,,,-550000.0,,1.25,,,,,8.589,8.0845,0.0,3.7136,0.0,0.0,,,,,0.375,8.1706,,,-100.0,7.7945
1998-02-02,7.375,-571570.6302,-173135.3158,,,,95.0,5.0,-90.0,8.0095,9.1581,6.8609,0.5,-96.571,-32.4114,,26.868,8.0169,,,,,,,,0.0,7.0253,,,,,,,,,39.135,8.0,8.1875,27.1798,2.4937,-1.5,6.5254,-419200.0,15.6676,1.4375,,-16.9014,0.831,33.7943,8.4778,8.0095,14.2857,6.6187,42.8571,14.2857,,,,,0.625,8.0837,,,-84.2105,7.7269
1998-02-03,7.5,-539203.9635,-146375.4238,,,,90.0,0.0,-90.0,7.9345,9.008,6.861,0.0,-76.9331,-28.7509,,26.868,7.9677,,,,,,,,0.0,7.0573,,,,,,,,,40.9175,7.844,8.0625,26.0587,2.3691,-1.5,6.3458,-322100.0,15.0213,1.3656,,-16.6667,0.8333,35.6246,8.3743,7.9345,40.9524,18.4127,80.0,40.9524,,,,,0.375,7.9945,,,-76.4706,7.6784
1998-02-04,7.5,-567037.2968,-130977.3991,,,,85.0,0.0,-85.0,7.8845,8.941,6.828,-0.3333,-58.886,-28.7509,,22.5504,7.9232,,,,,,,,0.0,7.0769,,,,,,,,,46.273,7.844,7.9375,24.9743,2.2506,-1.0,6.2785,-322100.0,15.7833,1.4223,,-11.7647,0.8824,35.6246,8.2781,7.8845,63.1746,39.4709,66.6667,63.1746,,,,,0.375,7.9064,,,-73.3333,7.637
1998-02-05,7.125,-609237.2968,-126198.4437,,,,80.0,25.0,-55.0,7.8282,8.9202,6.7363,-0.6661,-83.1067,-34.7473,,27.7285,7.8471,,,,,,,,0.0,7.0793,,,,,,,,,47.9626,7.844,7.9375,26.1733,2.3881,-1.125,6.6736,-364300.0,14.8094,1.3512,,-13.6364,0.8636,32.6264,8.1887,7.8282,54.4444,52.8571,16.6667,54.4444,,,,,0.563,7.8166,,,-93.3333,7.5647
1998-02-06,7.125,-713937.2968,-146084.467,,,,75.0,20.0,-55.0,7.772,8.8869,6.6571,-1.0,-87.9563,-34.7473,,27.7285,7.7784,,,,,,,,0.0,7.0816,,,,,,,,,44.0914,7.844,7.9375,25.4396,2.2687,-1.125,6.5154,-364300.0,14.3943,1.2837,,-13.6364,0.8636,32.6264,8.1054,7.772,27.7778,48.4656,0.0,27.7778,,,,,0.25,7.7223,,,-93.3333,7.4977
1998-02-09,7.375,-562937.2968,-92893.7977,,,-0.5777,70.0,15.0,-55.0,7.7064,8.7501,6.6626,1.0,-69.5187,-26.8605,,27.7285,7.7399,,,,,,,,0.0,7.1013,,,,,,,,,47.9441,7.7815,7.9375,24.7104,2.1552,-1.313,6.1493,-213300.0,13.9817,1.2195,-7.3028,-15.1128,0.8489,36.5697,8.0281,7.7064,18.8889,33.7037,40.0,18.8889,,,,,0.25,7.6297,,,-80.0,7.4599
1998-02-10,7.5,-542203.9635,-56092.1181,,,-0.5614,65.0,10.0,-55.0,7.6626,8.663,6.6622,0.6667,-40.4583,-23.0693,,18.4888,7.7171,,,,,,,,0.0,7.1173,,,,,,,,,50.1408,7.7815,7.9375,23.6405,2.0475,-0.875,5.9945,-151100.0,16.2628,1.4085,-7.1435,-10.4478,0.8955,38.4653,7.9561,7.6626,33.3333,26.6667,60.0,33.3333,100.0,66.6667,,,0.375,7.5484,,,-73.3333,7.4402
1998-02-11,9.5,-273203.9635,49653.307,,,-0.4139,60.0,100.0,40.0,7.7189,8.9686,6.4691,0.8824,159.1449,18.135,,24.5818,7.8869,,,,,,,,0.0,7.1943,,,,,,,,,57.2536,8.25,8.25,18.7881,1.9451,1.125,5.6143,117900.0,31.0357,3.2131,-5.2544,13.4328,1.1343,59.0675,7.0,7.7189,66.6667,39.6296,100.0,66.6667,100.0,100.0,,,2.125,7.4973,,,-0.0,7.6152
