date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,15.289,128425.9259,,,,,,,,0.1605,,,,,,,,,,,0.0,,,,,,,,,,,,182500.0,,,,,,,,,,,,,,,,,,,
1998-01-05,14.9706,18325.9259,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,72400.0,,,,,,,40.0,,,,,,,1.44,,,,,
1998-01-06,14.7765,-100945.0418,,,,,,,,-0.8065,,,,,,,,,,,0.0,,,,,,,,,,,,-122200.0,,,,,,,40.0,,,,,,,0.62,,,,,
1998-01-07,14.7299,-51477.1847,,,,,,,,-0.1696,,,,,,,,,,,0.0,,,,,,,,,,,,-268000.0,,,,,,,40.0,,,,,,,1.12,,,,,
1998-01-08,14.2213,-199977.1847,,,,,,,,-0.8908,,,,,,,,,,,0.0,,,,,,,,,,,,-436300.0,,,,,,,39.9157,,,,,,,1.38,,,,,
1998-01-09,13.6855,-331432.8548,,,,,,,,-0.8711,,,,,,,,,,,0.0,,,,,,,,,,,,-613400.0,,,,,,,39.7815,,,,,,,1.94,,,,,
1998-01-12,13.7826,-160951.0366,,,,,,,,0.7709,,,,,,,,,,,0.0,,,,,,,,,,,,-345500.0,,,,,,,39.5424,,,42.3729,,,,2.75,,,,,
1998-01-13,14.7299,190248.9634,,,,,,,,0.8834,,,,,,,,,,,0.0,,,,,,,,,,,,5700.0,,,,,,,39.1649,,,92.6877,,,,2.44,,,,,
1998-01-14,14.3882,88200.5763,,,,,,,,-0.8065,,,,,,,,,,,0.0,,,,,,,,,,,,-160800.0,,,,,,,38.81,,72.0991,81.2367,,,,1.06,,,,,
1998-01-15,14.4387,167051.9277,80562.2727,,,,,,,-0.1622,,,,,,,,,,,0.0,,,,,,,,,,,,-44100.0,,,,,,,38.4764,,85.9776,84.0085,,,,0.37,,,,,
1998-01-16,14.3649,142509.3745,77752.0206,,,,,,,-0.266,,,,,,,,,,,0.0,,,,,,,,,,,,-428600.0,,,,,,,38.1628,,81.7342,79.9574,,,,0.94,,,,,
1998-01-20,14.9007,323580.803,127147.6429,,,,,,,0.8571,,,,,,,,,,,0.0,,,,,,,,,,,,-175100.0,,,,,,,33.25,,84.3967,89.2241,,,,1.75,,,,,
1998-01-21,15.0677,315449.0273,133208.6831,,,,,,,0.4019,,,,,,,,,,,0.0,,,,,,,,,,,,-50800.0,,,,,,,33.3038,,82.9896,79.7872,,,,1.07,,,,,
1998-01-22,14.9978,402113.5435,151153.3926,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-192200.0,,,,,,,33.4253,,80.8052,73.4043,,,,0.93,,,,,
1998-01-23,14.4154,321211.4158,119011.6065,,,,,,,-0.7979,,,,,,,,,,,0.0,,,,,,,,,,,,-328000.0,,,,,,,33.5444,,57.8014,20.2128,,,,1.88,,,,,
1998-01-26,14.5591,53874.7746,9981.7985,,,,,,,0.0916,,,,,,,,,,,0.0,,,,,,,,,,,,-700.0,,,,,,,33.6611,,40.7114,28.5171,,,,1.56,,,,,
1998-01-27,14.5591,23780.5217,-45104.1851,,,,,,,0.069,,,,,,,,,,,0.0,,,,,,,,,,,,-700.0,,,,,,,33.7755,,25.749000000000002,28.5171,,,,0.87,,,,,
1998-01-28,15.0211,265329.3217,13317.4566,,,,,,,0.9520000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,266500.0,,,,,,,33.8876,,50.403,94.1748,,,,1.25,,,,,
1998-01-29,15.1414,184495.3217,10286.6322,,,,,,,0.37,,,,,,,,,,,0.0,,,,,,,,,,,,577400.0,,,,,,,33.9974,,66.939,78.125,,,,1.0,,,,,
1998-01-30,14.9978,109286.6261,-15818.4385,,,,,,37.739000000000004,-0.2246,87.1892,,,,37.739000000000004,,,,,,0.0,,,,,,37.315,36.625,,7.82,,,410000.0,,6.01,,,,,34.1664,37.739000000000004,77.4333,60.0,,,,1.38,37.4895,,,-20.2963,37.8663
1998-02-02,15.9179,353148.1645,52532.562000000005,,,,30.0,70.0,37.82,0.8876,202.4941,10.0496,,1.4995,38.0496,,,,,,0.0,38.667,,,,45.5513,38.125,37.19,27.5531,7.428999999999999,1.62,3.4451,698200.0,26.739,7.2095,,4.1138,1.0411,55.0248,34.3303,37.82,78.2917,96.75,,,,2.5,37.5964,,,-1.6497,38.1769
1998-02-03,15.6034,189644.1645,23694.6475,,,,25.0,75.0,37.9015,-0.54,178.9543,4.5212,,0.293,38.2534,,,,,,0.0,38.691,,,,43.6747,38.125,37.315,26.0288,7.0576,1.63,3.5254,419500.0,26.1818,7.099,,4.2272,1.0423,52.2606,34.6023,37.9015,75.36,69.3299,,,,1.5,37.7414,,,-14.6371,38.4026
1998-02-04,16.2829,427890.3184,85548.8544,,,,20.0,80.0,38.0955,0.9615,196.5938,14.3109,,4.687,38.6045,,,,,,0.0,38.8198,,,,49.0408,38.595,37.625,24.3199,6.7047,3.88,3.4252,677600.0,26.7118,7.3641,,10.1944,1.1019,57.1554,34.9412,38.0955,88.16,98.4,,,,1.81,37.9165,,,-0.6857,38.7872
1998-02-05,16.2091,397623.6517,93445.3765,,,,15.0,85.0,38.286,-0.3056,177.3565,12.9869,,8.9775,38.9041,,,,,,0.0,38.9325,,,,52.283,38.595,37.94,23.0524,6.3694,3.81,3.4412,541400.0,27.5997,7.6259,,10.0422,1.1004,56.4934,35.3647,38.286,82.5462,79.9087,,,,1.44,38.1131,,,-9.3817,39.1353
1998-02-06,16.939,653723.6517,169667.1013,,,,10.0,90.0,38.635999999999996,1.0,189.6365,22.3538,,15.3447,39.3542,,,,,,0.0,39.3516,,,,57.0693,39.44,38.44,21.5117,6.051,7.0,3.3437,797500.0,29.3102,8.2446,,19.11,1.1911,61.1769,35.8733,38.635999999999996,92.7696,100.0,,,,1.88,38.3625,,,-0.0,39.6442
1998-02-09,17.203,750754.4209,216297.8606,,,1.3519999999999999,5.0,95.0,39.089,0.5962,193.8156,25.4109,,22.1122,39.8262,,,,,,0.0,40.0671,,,,61.8307,39.905,39.03,20.3252,5.7484,9.06,3.3038,1067800.0,31.8657,9.0123,3.4887,25.7021,1.2570000000000001,62.7054,36.4938,39.089,89.9222,89.85799999999999,,,,1.56,38.6694,,,-4.3253,40.1846
1998-02-10,17.3971,733977.0016,210372.3687,,,1.7831,0.0,100.0,39.5545,0.3978,178.8862,27.6167,,24.7938,40.3008,,,,,,0.0,40.7663,,,,67.0466,40.905,40.81,19.5958,5.461,9.31,3.2152,1290700.0,32.5164,9.0617,4.5765,26.2254,1.2623,63.8083,37.2423,39.5545,93.197,89.7331,100.0,,,1.0,39.0222,,,-5.5556,40.7295
1998-02-11,17.3272,376577.0016,75105.3612,,,2.1438,0.0,95.0,39.889,-0.62,147.8222,26.2024,,24.7938,40.7131,,,,,,0.0,41.1819,,,,58.9873,40.905,40.935,19.2326,5.1879,6.69,3.1228,933300.0,31.9137,8.6086,5.4695,17.6331,1.1763,63.1012,38.0491,39.889,87.6954,83.4951,90.3328,,,0.5,39.4108,,,-7.7714,41.2129
1998-02-12,17.1331,554287.431,69485.3256,,,2.4629,10.0,80.0,40.2425,-0.1534,103.4662,22.2412,,9.5778,41.0385,,,,,,0.0,41.5431,,,,57.0467,40.905,40.935,24.5885,6.7486,7.07,3.2065,646500.0,29.7974,8.1782,6.2463,19.0772,1.1908,61.1206,38.7752,40.2425,80.0274,66.8539,0.0,,,1.82,39.8393,,66.0924,-13.4857,41.6168
1998-02-13,16.9856,451087.43100000004,28033.0087,,,2.6611,5.0,80.0,40.5705,-0.3333,97.7905,19.2469,,9.9588,41.2968,,,,,,0.0,41.7763,,,,59.3317,40.905,40.935,23.9009,6.4111,6.56,3.1583,543300.0,29.188000000000002,7.8293,6.7109,17.6392,1.1764,59.6235,39.4286,40.5705,62.6497,37.6,0.0,,,0.75,40.2966,,60.0365,-17.8286,41.9508
