date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD_Signal,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,1.8021,-80900.0,,,,,,,,,,,-0.6667,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,80900.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,1.7986,-82337.1681,,,,,,,,,,,-0.0619,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-81500.0,,,,,,,36.88,,,,,,,,,,1.13,,,,,
1998-01-06,1.7771,294528.8319,,,,,,,,,,,-0.185,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-679700.0,,,,,,,36.8662,,,,,,,,,,2.06,,,,,
1998-01-07,1.7647,229395.4985,,,,,,,,,,,-0.16,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-875100.0,,,,,,,36.8089,,,,,,,,,,0.75,,,,,
1998-01-08,1.7956,317715.4985,,,,,,,,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-507100.0,,,,,,,36.7527,,,,,,,,,,1.0,,,,,
1998-01-09,1.8021,460767.1114,,,,,,,,,,,0.2097,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-273700.0,,,,,,,36.6976,,,,,,,,,,0.62,,,,,
1998-01-12,1.7956,919367.1114,,,,,,,,,,,0.6,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-732300.0,,,,,,,36.6437,,,,84.0336,78.1556,,,,,1.38,,,,,
1998-01-13,1.8145,1196060.2149,,,,,,,,,,,0.4368,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-350200.0,,,,,,,36.5908,,,,93.1429,86.055,,,,,0.87,,,,,
1998-01-14,1.8425,1394860.2149,,,,,,,,,,,0.8519,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-151400.0,,,,,,,34.0,,92.3922,85.5342,100.0,92.3922,,,,,0.81,,,,,
1998-01-15,1.8395,1397221.5482,509532.0885,,,,,,,,,,0.1733,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-328500.0,,,,,,,34.0294,,92.781,90.4094,85.2,92.781,,,,,0.75,,,,,
