date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,2.0321,-335415.1515,,,,,,,,,,,-0.5682,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,651100.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,2.0051,-519067.5787,,,,,,,,,,,-0.4854,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-49500.0,,,,,,,38.63,,,,,,,,,,1.03,,,,,
1998-01-06,1.9273,-1574039.0073,,,,,,,,,,,-0.7912,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1280300.0,,,,,,,38.6112,,,,,,,,,,1.82,,,,,
1998-01-07,1.8733,-2868606.1306,,,,,,,,,,,-0.3699,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3444500.0,,,,,,,38.5502,,,,,,,,,,2.19,,,,,
1998-01-08,1.9306,-1599006.1306,,,,,,,,,,,0.595,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1751700.0,,,,,,,38.4212,,,,,,,,,,2.0,,,,,
1998-01-09,1.8971,-1652383.9083,,,,,,,,,,,-0.3827,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2472300.0,,,,,,,38.2443,,,,,,,,,,1.62,,,,,
1998-01-12,1.8971,-1081537.0057,,,,,,,,,,,0.5575,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2472300.0,,,,,,,38.0746,,,,33.7077,33.432,,,,,1.13,,,,,
1998-01-13,1.9203,-709837.0057,,,,,,,,,,,0.2857,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1994400.0,,,,,,,37.9116,,,,42.4202,63.9344,,,,,0.63,,,,,
1998-01-14,1.9003,-908563.3215,,,,,,,,,,,-0.7719,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2359800.0,,,,,,,37.7551,,42.8056,52.2888,52.2888,59.5,,,,,0.57,,,,,
1998-01-15,1.8361,-1440363.3215,-77363.0845,,,,,,,,,,-0.7533,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3157500.0,,,,,,,37.6049,,46.5192,44.8485,44.8485,11.1111,,,,,1.5,,,,,
