date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
03/01/2000,28.7407,13371.7923,,,,,,,,-0.2581,,,,,,,,,,,0,,,,,,,,,,,,27640,,,,,,,,,,,,,,,,,,,
04/01/2000,26.6809,-2663.7272,,,,,,,,-0.9006,,,,,,,,,,,0,,,,,,,,,,,,7625,,,,,,,28.8513,,,,,,,2.3639,,,,,
05/01/2000,24.787,-14711.5952,,,,,,,,0.1526,,,,,,,,,,,0,,,,,,,,,,,,-9714,,,,,,,28.8272,,,,,,,2.1428,,,,,
06/01/2000,25.511,-14711.5952,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,-9714,,,,,,,28.8098,,,,,,,0.724,,,,,
07/01/2000,25.6994,-15464.3958,,,,,,,,0.4432,,,,,,,,,,,0,,,,,,,,,,,,-3087,,,,,,,28.7244,,,,,,,1.2166,,,,,
10/01/2000,25.962,-28684.1174,,,,,,,,-0.4228,,,,,,,,,,,0,,,,,,,,,,,,14028,,,,,,,28.6406,,,,,,,1.7695,,,,,
11/01/2000,25.4229,-43734.8262,,,,,,,,-0.7958,,,,,,,,,,,0,,,,,,,,,,,,-11413,,,,,,,28.5586,,,29.6306,,,,2.6405,,,,,
12/01/2000,25.8791,-30407.7199,,,,,,,,0.4567,,,,,,,,,,,0,,,,,,,,,,,,13847,,,,,,,28.4782,,,44.9081,,,,1.7557,,,,,
13/01/2000,25.962,-31350.185,,,,,,,,0.4567,,,,,,,,,,,0,,,,,,,,,,,,24726,,,,,,,28.3994,,40.741,47.6843,,,,1.7557,,,,,
14/01/2000,26.0035,-34361.9667,-11147.6934,,,,,,,0.0268,,,,,,,,,,,0,,,,,,,,,,,,43461,,,,,,,28.3222,,47.2222,49.0741,,,,1.5483,,,,,
18/01/2000,29.6531,2794.2359,2218.0954,,,,,,,0.455,,,,,,,,,,,0,,,,,,,,,,,,90494,,,,,,,24.5381,,63.7959,94.6293,,,,3.9399,,,,,
19/01/2000,27.6901,-13595.3355,2269.4094,,,,,,,-0.882,,,,,,,,,,,0,,,,,,,,,,,,69040,,,,,,,24.5922,,67.3389,58.3132,,,,2.2257,,,,,
20/01/2000,27.5242,-14883.1527,1674.3315,,,,,,,0.0981,,,,,,,,,,,0,,,,,,,,,,,,58094,,,,,,,24.6457,,67.4552,49.423,,,,1.4101,,,,,
21/01/2000,27.3859,-16356.0046,810.0439,,,,,,,-0.5729,,,,,,,,,,,0,,,,,,,,,,,,47987,,,,,,,24.6986,,50.6708,44.2762,,,,1.4239,,,,,
24/01/2000,26.515,-23802.7928,-1986.6012,,,,,,,-0.8929,,,,,,,,,,,0,,,,,,,,,,,,39299,,,,,,,24.7511,,32.2748,3.1251,,,,1.5483,,,,,
25/01/2000,25.257,-28790.018,-4536.9276,,,,,,,-0.6965,,,,,,,,,,,0,,,,,,,,,,,,26611,,,,,,,29.9434,,19.8522,12.1553,,,,2.0045,,,,,
26/01/2000,24.2616,-38886.0754,-8380.1769,,,,,,,-0.9107,,,,,,,,,,,0,,,,,,,,,,,,14321,,,,,,,29.8905,,6.7163,4.8686,,,,2.3225,,,,,
27/01/2000,24.1787,-35759.0866,-8195.63,,,,,,,0.0319,,,,,,,,,,,0,,,,,,,,,,,,-2005,,,,,,,29.7737,,11.0543,16.1389,,,,1.2995,,,,,
28/01/2000,25.6994,-29622.1325,-5422.409,,,,,,,0.5081,,,,,,,,,,,0,,,,,,,,,,,,9525,,,,,,,29.5827,,23.8216,50.4573,,,,1.9216,,,,,
31/01/2000,24.6902,-36325.6233,-5927.8922,,,,,,26.1752,-0.8202,-83.1963,,,,26.1752,,,,,,0,,,,,,26.9159,26.6739,,9.138,,,-942,,7.0176,,,,,29.3973,26.1752,35.3907,39.5759,,,,1.2304,26.4559,,,-80.3376,25.9654
01/02/2000,26.0312,-29560.1394,-3443.1275,,,,85,-35,26.0397,0.6915,-24.3912,-14.0802,,8.343,26.1615,,,,,,0,24.7201,,,,40.656,26.9159,26.6739,24.6848,8.6811,-2.7095,0,13511,20.8831,7.3441,,-9.4274,0.9057,42.9599,29.2175,26.0397,59.4686,88.3726,,,,1.6866,26.443,,,-59.8296,25.9517
02/02/2000,26.1694,-26378.9165,-1101.4139,,,,80,-35,26.0141,0.7451,-12.9443,-13.2243,,7.272,26.1622,,,,,,0,24.7299,,,,44.6649,26.9159,26.6739,23.6851,8.247,-0.5115,6.9726,20000,20.4739,7.1289,,-1.9171,0.9808,43.3879,29.0431,26.0141,72.1484,88.4966,,,,1.4101,26.408,,,-57.7161,25.9641
03/02/2000,26.9574,-22445.3266,1208.2851,,,,75,-35,26.1227,0.6706,46.4168,-8.3452,,1.5985,26.238,,,,,,0,24.7768,,,,49.2932,26.9159,26.6739,22.8726,7.8347,2.1704,6.6483,31530,22.1529,7.5882,,8.7562,1.0876,45.8274,28.874,26.1227,87.9281,86.9152,,,,1.1751,26.3587,,,-45.6652,26.0539
04/02/2000,27.5242,-21685.8265,2284.977,,,,70,-35,26.2233,0.5179,84.5813,-4.9219,,4.4422,26.3605,,,,,,0,24.8307,,,,52.7853,26.9159,26.6739,21.8337,7.443,2.0132,6.4671,52795,23.8637,8.135,,7.8915,1.0789,47.5391,28.7099,26.2233,85.2586,80.364,,,,1.5483,26.2858,,,-36.997,26.1874
07/02/2000,27.2615,-27202.431,762.4334,,,,65,-35,26.3014,-0.2836,69.6319,-6.3653,,4.4422,26.4463,,,,,,0,24.8673,,,,49.9738,26.9159,26.6739,21.2267,7.0708,1.5621,6.3728,41595,23.2002,7.7282,,6.0783,1.0608,46.8174,28.5507,26.3014,78.5588,68.3973,,,,0.9262,26.2026,,,-41.0145,26.2862
08/02/2000,27.4827,-18318.0084,2897.1243,,,-0.3411,60,-35,26.3775,-0.2571,58.2025,-4.9531,,2.626,26.545,,,,,,0,24.9059,,,,44.3296,26.9159,26.6739,21.3597,6.9661,1.5207,6.1815,61033,22.5118,7.3418,-1.2948,5.8574,1.0586,47.5235,28.3963,26.3775,74.5871,75,,,,0.9677,26.1322,,,-37.6317,26.3988
