date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Upper Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD_Hist,MACD_Signal,MAMA,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,15.5442,-57265.9574,,,,,,,,,,,-0.5319,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,76900.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,15.3706,-146669.9574,,,,,,,,,,,-0.81,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-67300.0,,,,,,,16.94,,,,,,,,,,1.0,,,,,
1998-01-06,15.3706,-233696.9845,,,,,,,,,,,-0.8378,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-67300.0,,,,,,,16.9281,,,,,,,,,,0.37,,,,,
1998-01-07,14.4064,-334508.9845,,,,,,,,,,,-0.7067,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-311200.0,,,,,,,16.9163,,,,,,,,,,1.5,,,,,
1998-01-08,13.6253,-461708.9845,,,,,,,,,,,-1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-438400.0,,,,,,,16.868,,,,,,,,,,0.81,,,,,
1998-01-09,12.1789,-1019433.8365,,,,,,,,,,,-0.8462,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1046500.0,,,,,,,16.7859,,,,,,,,,,1.69,,,,,
1998-01-12,12.0535,-601987.8188,,,,,,,,,,,0.1681,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1588700.0,,,,,,,16.6168,,,,21.0526,7.5744,,,,,1.13,,,,,
1998-01-13,13.0757,-217470.4855,,,,,,,,,,,0.7067,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1164600.0,,,,,,,16.361,,,,45.7778,22.8337,,,,,1.5,,,,,
1998-01-14,13.8664,-144873.8753,,,,,,,,,,,0.5847,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-896900.0,,,,,,,16.1179,,50.6792,27.0291,85.2071,50.6792,,,,,1.25,,,,,
1998-01-15,13.9242,-45473.8753,106754.8127,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-797500.0,,,,,,,15.887,,73.2689,48.9272,88.8218,73.2689,,,,,0.19,,,,,
1998-01-16,14.4642,-20324.8187,133937.7027,,,,,,,,,,0.4717,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-649400.0,,,,,,,15.6677,,87.6204,70.5228,88.8325,87.6204,,,,,1.06,,,,,
1998-01-20,15.0042,-40573.3036,126439.1213,,,,,,,,,,-0.4444,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-495200.0,,,,,,,11.5,,87.8731,82.9208,85.9649,87.8731,,,,,1.12,,,,,
