date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,17.53,1061689.4737,,,,,,,,-0.1579,,,,,,,,,,,0.0,,,,,,,,,,,,1551700.0,,,,,,,,,,,,,,,,,,,
1998-01-05,17.405,1303993.4737,,,,,,,,-0.2133,,,,,,,,,,,0.0,,,,,,,,,,,,542100.0,,,,,,,31.38,,,,,,,1.5,,,,,
1998-01-06,16.53,546813.2598,,,,,,,,-0.8342,,,,,,,,,,,0.0,,,,,,,,,,,,-395600.0,,,,,,,31.42,,,,,,,1.93,,,,,
1998-01-07,16.22,17193.2598,,,,,,,,-0.4133,,,,,,,,,,,0.0,,,,,,,,,,,,-1026100.0,,,,,,,31.4596,,,,,,,0.75,,,,,
1998-01-08,16.0,-330636.2857,,,,,,,,-0.4318,,,,,,,,,,,0.0,,,,,,,,,,,,-1831600.0,,,,,,,31.4988,,,,,,,0.88,,,,,
1998-01-09,15.69,-918834.1039,,,,,,,,-0.3636,,,,,,,,,,,0.0,,,,,,,,,,,,-2917200.0,,,,,,,35.38,,,,,,,2.75,,,,,
1998-01-12,16.565,204224.12399999998,,,,,,,,0.9494,,,,,,,,,,,0.0,,,,,,,,,,,,-1667600.0,,,,,,,35.3337,,,29.0982,,,,2.37,,,,,
1998-01-13,17.0,325664.124,,,,,,,,0.4,,,,,,,,,,,0.0,,,,,,,,,,,,-1060400.0,,,,,,,35.2879,,,53.2579,,,,1.37,,,,,
1998-01-14,17.315,387003.6302,,,,,,,,0.3086,,,,,,,,,,,0.0,,,,,,,,,,,,-798900.0,,,,,,,35.2425,,53.9818,79.5894,,,,0.94,,,,,
1998-01-15,16.94,-11502.5645,-148457.3422,,,,,,,-0.5487,,,,,,,,,,,0.0,,,,,,,,,,,,-1316500.0,,,,,,,35.1976,,72.5013,84.6566,,,,1.13,,,,,
1998-01-16,17.25,135179.0447,-115834.4357,,,,,,,0.5747,,,,,,,,,,,0.0,,,,,,,,,,,,-971600.0,,,,,,,35.1531,,83.2448,85.4886,,,,0.87,,,,,
1998-01-20,17.815,499004.9706,23804.4966,,,,,,,0.7716,,,,,,,,,,,0.0,,,,,,,,,,,,-544500.0,,,,,,,30.75,,85.5,86.3547,,,,1.62,,,,,
1998-01-21,17.565,551994.3511,95625.7267,,,,,,,-0.1062,,,,,,,,,,,0.0,,,,,,,,,,,,-1005100.0,,,,,,,30.8,,85.4325,84.4542,,,,1.13,,,,,
1998-01-22,17.375,586017.8805,127139.5595,,,,,,,0.3676,,,,,,,,,,,0.0,,,,,,,,,,,,-1390700.0,,,,,,,30.8495,,80.7363,71.4,,,,0.75,,,,,
1998-01-23,17.065,364921.45200000005,58124.5767,,,,,,,-0.5536,,,,,,,,,,,0.0,,,,,,,,,,,,-1790100.0,,,,,,,30.8985,,66.6591,44.123000000000005,,,,1.12,,,,,
1998-01-26,17.0,156728.8594,-41635.9755,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-2034500.0,,,,,,,30.947,,46.2617,23.261999999999997,,,,0.81,,,,,
1998-01-27,16.625,104121.5601,-95400.7079,,,,,,,-0.4599,,,,,,,,,,,0.0,,,,,,,,,,,,-2588900.0,,,,,,,30.995,,26.9564,13.4843,,,,1.37,,,,,
1998-01-28,16.72,46477.4425,-127063.8897,,,,,,,-0.0882,,,,,,,,,,,0.0,,,,,,,,,,,,-1935600.0,,,,,,,31.0426,,18.9618,20.139,,,,0.68,,,,,
1998-01-29,17.015,182077.4425,-85320.2923,,,,,,,0.3841,,,,,,,,,,,0.0,,,,,,,,,,,,-896000.0,,,,,,,31.0897,,23.7713,37.6906,,,,1.38,,,,,
1998-01-30,15.47,5745686.5853,1709752.2969,,,,,,36.1771,0.8229,-225.2565,,,,33.7095,,,,,,0.0,,,,,,33.285,32.565,,9.31,,,-8002800.0,,3.51,,,,,35.75,33.7095,32.7716,40.4851,,,,4.65,33.9395,,,-75.5102,33.6906
1998-02-02,16.5,6306543.7282,2467122.6927,,,,55.0,-40.0,36.0112,0.7013,-71.7157,-11.6122,,22.0857,33.6419,,,,,,0.0,30.9772,,,,34.404,33.285,32.565,30.3935,8.8445,-2.06,4.6212,-7096800.0,19.3969,5.6445,,-5.8756,0.9412,44.1939,35.6863,33.6065,43.5113,52.3581,,,,2.5,33.975,,,-43.1711,33.623000000000005
1998-02-03,16.75,6671737.981000001,2668870.3267,,,,50.0,-40.0,35.8815,0.5747,-9.8666,-8.3962,,19.3967,33.6284,,,,,,0.0,31.0069,,,,33.7407,33.285,32.565,29.4662,8.4023,-1.31,4.4545,-6238100.0,19.8922,5.6723,,-3.7633,0.9624,45.8019,35.6232,33.541,50.5565,58.8263,,,,0.87,33.9963,,,-35.3218,33.6129
1998-02-04,17.25,7375920.9598,2732837.095,,,,45.0,-40.0,35.9784,0.5957,29.3854,-2.197,,12.0239,33.7114,,,,,,0.0,31.0529,,,,38.3778,33.285,32.565,27.5539,7.9822,1.44,4.3816,-5420900.0,21.639,6.2687,,4.3557,1.0436,48.9015,35.5608,33.613,64.2784,81.6508,,,,1.88,34.0044,,,-19.6232,33.7042
1998-02-05,16.905,6832306.5598,2337597.3643,,,,40.0,-40.0,35.9856,-0.456,29.8457,-6.0976,,11.0396,33.7208,,,,,,0.0,31.0876,,,,43.1329,33.285,32.565,26.3568,7.5831,1.37,4.4323,-6499500.0,21.116,6.0752,,4.2232,1.0422,46.9512,35.499,33.6815,75.5474,86.1651,,,,1.25,33.9851,,,-30.4553,33.723
1998-02-06,17.0,6633766.5598,1900227.7141,,,,35.0,-40.0,35.9549,0.2,42.0772,-4.8851,,8.9406,33.7474,,,,,,0.0,31.1408,,,,45.9404,33.285,32.565,25.2041,7.2039,2.0,4.371,-6168600.0,21.0672,6.0215,,6.25,1.0625,47.5575,35.4378,33.7815,84.1808,84.7265,,,,1.25,33.9436,,,-27.4725,33.7533
1998-02-09,17.03,6179847.9157,1404127.1328,,,-0.1781,30.0,-40.0,35.79,0.0508,44.7409,-4.4882,,8.4229,33.7772,,,,,,0.0,31.2177,,,,50.4972,33.285,32.565,24.1544,6.8437,2.68,4.3183,-5515400.0,20.4015,5.7804,-0.5279,8.5405,1.0854,47.7559,35.3772,33.9155,80.6711,71.1218,,,,1.18,33.8834,,,-26.5306,33.7798
