date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2000-01-03,1455.22,-139159787.5884,,,,,,,,-0.3539,,,,,,,,,,,0.0,,,,,,,,,,,,931800000.0,,,,,,,,,,,,,,,,,,,
2000-01-04,1399.42,-1078670159.839,,,,,,,,-0.9656,,,,,,,,,,,0.0,,,,,,,,,,,,-77200000.0,,,,,,,1478.0,,,,,,,57.7899,,,,,
2000-01-05,1402.11,-673936080.9134,,,,,,,,0.0756,,,,,,,,,,,0.0,,,,,,,,,,,,1008300000.0,,,,,,,1477.1943,,,,,,,35.59,,,,,
2000-01-06,1403.45,-513958541.7378,,,,,,,,0.0677,,,,,,,,,,,0.0,,,,,,,,,,,,2100600000.0,,,,,,,1475.204,,,,,,,19.8,,,,,
2000-01-07,1441.47,711241458.2622,,,,,,,,0.9332,,,,,,,,,,,0.0,,,,,,,,,,,,3325800000.0,,,,,,,1473.2535,,,,,,,40.74,,,,,
2000-01-10,1457.6,1147115885.46,,,,,,,,0.7047,,,,,,,,,,,0.0,,,,,,,,,,,,4390600000.0,,,,,,,1471.3421,,,,,,,22.89,,,,,
2000-01-11,1438.5601,479483619.9352,,,,,,,,-0.7855,,,,,,,,,,,0.0,,,,,,,,,,,,3376600000.0,,,,,,,1469.4688,,,70.2354,,,,24.24,,,,,
2000-01-12,1432.25,154202999.9875,,,,,,,,-0.4066,,,,,,,,,,,0.0,,,,,,,,,,,,2402000000.0,,,,,,,1467.6331,,,55.5633,,,,15.52,,,,,
2000-01-13,1449.6801,760246529.3239,,,,,,,,0.7941,,,,,,,,,,,0.0,,,,,,,,,,,,3432400000.0,,,,,,,1465.8339999999996,,67.57600000000001,76.9292,,,,21.95,,,,,
2000-01-14,1465.15,1115073743.9581,431902377.2388,,,,,,,0.6634,,,,,,,,,,,0.0,,,,,,,,,,,,4518300000.0,,,,,,,1377.6801,,71.7992,82.9051,,,,23.3199,,,,,
2000-01-18,1455.14,644323115.3035,292776126.8353,,,,,,,-0.7227,,,,,,,,,,,0.0,,,,,,,,,,,,3461600000.0,,,,,,,1378.6333,,73.6469,61.1063,,,,13.85,,,,,
2000-01-19,1455.9,792385816.3771,256355690.4814,,,,,,,0.0598,,,,,,,,,,,0.0,,,,,,,,,,,,4549400000.0,,,,,,,1379.5769,,68.9243,62.7614,,,,12.71,,,,,
2000-01-20,1445.5699,261272923.392,49160892.343,,,,,,,-0.3802,,,,,,,,,,,0.0,,,,,,,,,,,,3448700000.0,,,,,,,1380.5112,,52.1849,32.687,,,,27.1699,,,,,
2000-01-21,1441.36,-634941412.6376,-325228894.936,,,,,,,-0.31,,,,,,,,,,,0.0,,,,,,,,,,,,2238900000.0,,,,,,,1381.436,,34.5439,8.1833,,,,13.5801,,,,,
2000-01-24,1401.53,-1518338810.7388,-729903080.4973,,,,,,,-0.6789,,,,,,,,,,,0.0,,,,,,,,,,,,1123100000.0,,,,,,,1382.3517,,16.5209,8.6925,,,,58.6699,,,,,
2000-01-25,1410.03,-797120539.484,-599618244.6006,,,,,,,0.3298,,,,,,,,,,,0.0,,,,,,,,,,,,2196800000.0,,,,,,,1383.2582,,14.9234,27.8944,,,,25.77,,,,,
