date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Lower Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Signal,MACDEXT,MACD,MACD_Signal,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-06-29,13.7564,2013031.9149,,,,,,,,,,,0.3298,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6307500.0,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,13.3952,742840.6105,,,,,,,,,,,-0.913,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4769900.0,,,,,,,28.88,,,,,,,,,,0.81,,,,,
1998-07-01,13.4289,1172326.8174,,,,,,,,,,,0.1494,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5363000.0,,,,,,,28.8687,,,,,,,,,,0.87,,,,,
1998-07-02,13.3374,1600662.8174,,,,,,,,,,,-0.12,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4799400.0,,,,,,,28.8339,,,,,,,,,,0.63,,,,,
1998-07-06,13.0966,1116034.246,,,,,,,,,,,-0.8929,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4182600.0,,,,,,,28.7998,,,,,,,,,,0.56,,,,,
1998-07-07,13.0339,975243.9234,,,,,,,,,,,-0.4194,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3559100.0,,,,,,,28.7665,,,,,,,,,,0.31,,,,,
1998-07-08,13.1255,1367543.9234,,,,,,,,,,,0.76,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3951400.0,,,,,,,28.7117,,,,13.558,29.2453,,,,,0.25,,,,,
1998-07-09,13.005,1407512.1053,,,,,,,,,,,-0.2955,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3658300.0,,,,,,,28.6585,,,,20.7484,25.0,,,,,0.5,,,,,
1998-07-10,13.005,1791812.1053,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3658300.0,,,,,,,28.5822,,34.7484,23.0183,34.7484,50.0,,,,,0.69,,,,,
1998-07-13,12.9472,2103883.5338,223763.724,,,,,,,,,,0.2063,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3272800.0,,,,,,,28.4686,,45.2128,33.5699,45.2128,60.6383,,,,,0.69,,,,,
