date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,4.922,-5200.0,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,5200.0,,,,,,,,,,,,,,,,,,,
1998-01-05,4.7283,-15204.0145,,,,,,,,-0.7246,,,,,,,,,,,0.0,,,,,,,,,,,,-17067.0,,,,,,,16.25,,,,,,,0.81,,,,,
1998-01-06,5.1158,-641.8678,,,,,,,,0.5511,,,,,,,,,,,0.0,,,,,,,,,,,,49800.0,,,,,,,14.94,,,,,,,2.25,,,,,
1998-01-07,5.1939,24510.1322,,,,,,,,0.24,,,,,,,,,,,0.0,,,,,,,,,,,,102200.0,,,,,,,14.94,,,,,,,0.5,,,,,
1998-01-08,5.0377,-23956.8678,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,53733.0,,,,,,,14.9631,,,,,,,0.5,,,,,
1998-01-09,4.7658,-55335.7996,,,,,,,,-0.5682,,,,,,,,,,,0.0,,,,,,,,,,,,-18934.0,,,,,,,14.985999999999999,,,,,,,1.12,,,,,
1998-01-12,4.7064,-73575.7996,,,,,,,,0.06,,,,,,,,,,,0.0,,,,,,,,,,,,-66934.0,,,,,,,17.25,,,25.6341,,,,1.0,,,,,
1998-01-13,5.0783,4717.1362,,,,,,,,0.6684,,,,,,,,,,,0.0,,,,,,,,,,,,39933.0,,,,,,,17.225,,,34.0783,,,,1.87,,,,,
1998-01-14,5.7814,203129.2768,,,,,,,,0.7604,,,,,,,,,,,0.0,,,,,,,,,,,,420933.0,,,,,,,14.63,,39.0798,57.5271,,,,3.13,,,,,
1998-01-15,5.5471,-6953.701999999999,25348.66,,,,,,,-0.6649,,,,,,,,,,,0.0,,,,,,,,,,,,177133.0,,,,,,,14.63,,55.4515,74.749,,,,1.88,,,,,
1998-01-16,5.4283,-58420.702000000005,-11002.9223,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,125666.0,,,,,,,14.7274,,66.7692,68.0316,,,,0.88,,,,,
1998-01-20,5.6252,-69349.2734,-28351.0312,,,,,,,0.4464,,,,,,,,,,,0.0,,,,,,,,,,,,227666.0,,,,,,,14.8229,,68.6522,63.1759,,,,1.25,,,,,
1998-01-21,5.7814,-31260.2734,-20751.3911,,,,,,,0.5067,,,,,,,,,,,0.0,,,,,,,,,,,,341933.0,,,,,,,14.9164,,65.4999,65.2921,,,,0.75,,,,,
1998-01-22,6.0346,25821.2666,2406.3509,,,,,,,0.81,,,,,,,,,,,0.0,,,,,,,,,,,,434000.0,,,,,,,15.0081,,68.4552,76.8977,,,,1.0,,,,,
1998-01-23,6.0533,-16410.5516,-1776.1833,,,,,,,-0.2159,,,,,,,,,,,0.0,,,,,,,,,,,,531800.0,,,,,,,15.0979,,73.7899,79.1799,,,,0.88,,,,,
1998-01-26,6.0533,-28402.8539,-7141.4813,,,,,,,0.2791,,,,,,,,,,,0.0,,,,,,,,,,,,531800.0,,,,,,,15.245,,78.9065,80.6418,,,,0.43,,,,,
1998-01-27,6.0533,-32700.5283,-10054.5923,,,,,,,-0.1628,,,,,,,,,,,0.0,,,,,,,,,,,,531800.0,,,,,,,15.3876,,77.6456,73.1152,,,,0.43,,,,,
1998-01-28,6.2096,59680.805,19061.795,,,,,,,0.8267,,,,,,,,,,,0.0,,,,,,,,,,,,673200.0,,,,,,,15.526,,77.3227,78.2111,,,,0.75,,,,,
1998-01-29,6.1721,30607.0155,19989.4027,,,,,,,0.3421,,,,,,,,,,,0.0,,,,,,,,,,,,581133.0,,,,,,,15.6602,,76.1559,77.1414,,,,0.38,,,,,
1998-01-30,6.0533,130927.0155,50471.6601,,,,,,20.971,0.29600000000000004,67.2183,,,,17.654,,,,,,0.0,,,,,,17.465,17.315,,3.81,,,413933.0,,7.5,,,,,15.7904,17.654,76.7035,74.758,,,,1.38,17.6456,,,-11.7318,18.4814
1998-02-02,5.9189,105317.1863,50204.7597,,,,90.0,55.0,21.0548,-0.5244,56.7104,27.335,,32.626,17.7765,,,,,,0.0,19.3474,,,,71.6865,17.465,17.315,17.2764,3.6195,3.19,5.8105,297266.0,34.0087,7.125,,20.254,1.2025,63.6675,15.9167,17.8135,69.2898,55.97,,,,0.82,17.9097,,,-19.7393,18.6039
1998-02-03,5.8596,91339.4085,41084.0294,,,,85.0,55.0,21.0129,-0.3968,46.2843,25.1896,,32.626,17.8692,,,,,,0.0,19.3075,,,,71.4789,17.465,17.315,16.7464,3.4385,3.62,5.7439,273466.0,32.9653,6.7687,,23.926,1.2393,62.5948,16.0392,17.9945,56.8684,39.8773,,,,0.63,18.1659,,,-23.2775,18.6931
1998-02-04,5.9377,81321.1812,30430.292,,,,80.0,55.0,21.0782,0.0682,50.3248,26.8956,,34.3193,17.9769,,,,,,0.0,19.2928,,,,71.7135,17.465,17.315,16.0235,3.2666,2.63,5.6165,346933.0,32.7686,6.6803,,16.066,1.1607,63.4478,16.158,18.125999999999998,42.7194,32.3108,,,,0.88,18.4005,,,-18.622,18.7889
1998-02-05,5.8002,78729.6919,22480.9899,,,,75.0,55.0,21.0974,-0.5319,20.9725,21.7517,,27.5693,18.0324,,,,,,0.0,19.27,,,,69.6554,17.465,17.315,17.744,3.6033,1.94,5.7154,306333.0,31.2518,6.3463,,11.6727,1.1167,60.8759,16.2733,18.223,34.2068,30.4322,,,,0.94,18.609,,,-26.8156,18.8302
