date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,1.9596,166400.0,,,,,,,,-0.3968,,,,,,,,,,,0.0,,,,,,,,,,,,806400.0,,,,,,,,,,,,,,,,,,,
1998-01-05,2.1388,1046085.7143,,,,,,,,0.6868,,,,,,,,,,,0.0,,,,,,,,,,,,2019300.0,,,,,,,21.5,,,,,,,2.25,,,,,
1998-01-06,2.1388,1514144.381,,,,,,,,0.1667,,,,,,,,,,,0.0,,,,,,,,,,,,2019300.0,,,,,,,21.5263,,,,,,,1.5,,,,,
1998-01-07,2.0823,1031002.9175,,,,,,,,-0.6098,,,,,,,,,,,0.0,,,,,,,,,,,,1118900.0,,,,,,,21.5808,,,,,,,0.82,,,,,
1998-01-08,2.0152,752202.9175,,,,,,,,-0.5867,,,,,,,,,,,0.0,,,,,,,,,,,,840100.0,,,,,,,21.6342,,,,,,,0.75,,,,,
1998-01-09,1.9149,259362.9175,,,,,,,,-0.7467,,,,,,,,,,,0.0,,,,,,,,,,,,-158900.0,,,,,,,24.25,,,,,,,1.5,,,,,
1998-01-12,1.8701,276624.2509,,,,,,,,-0.16,,,,,,,,,,,0.0,,,,,,,,,,,,-1453500.0,,,,,,,24.2175,,,19.3964,,,,0.88,,,,,
1998-01-13,2.0823,1869110.831,,,,,,,,0.8095,,,,,,,,,,,0.0,,,,,,,,,,,,578900.0,,,,,,,24.1432,,,34.3955,,,,2.62,,,,,
1998-01-14,2.0994,2065150.9769,,,,,,,,-0.0438,,,,,,,,,,,0.0,,,,,,,,,,,,1653200.0,,,,,,,24.0703,,37.43,58.4981,,,,1.37,,,,,
1998-01-15,2.077,1862566.919,573176.5472,,,,,,,-0.1739,,,,,,,,,,,0.0,,,,,,,,,,,,917500.0,,,,,,,24.0,,57.8777,80.7394,,,,0.69,,,,,
1998-01-16,2.0823,1852025.5856,506295.1497,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1708100.0,,,,,,,24.0,,73.0157,79.8095,,,,0.75,,,,,
1998-01-20,2.1271,2869819.2364,756751.1805,,,,,,,0.1905,,,,,,,,,,,0.0,,,,,,,,,,,,3441100.0,,,,,,,23.93,,80.9087,82.1773,,,,0.63,,,,,
1998-01-21,2.1271,2869819.2364,790414.9040000001,,,,,,,-0.19,,,,,,,,,,,0.0,,,,,,,,,,,,3441100.0,,,,,,,20.5,,80.5301,79.6035,,,,1.0,,,,,
1998-01-22,2.0268,2398183.2364,582264.5269,,,,,,,-0.6,,,,,,,,,,,0.0,,,,,,,,,,,,2845600.0,,,,,,,20.5375,,72.5566,55.8892,,,,1.25,,,,,
1998-01-23,2.077,2773093.9507,563468.7338,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,3685400.0,,,,,,,20.5746,,58.4842,39.96,,,,1.12,,,,,
1998-01-26,1.9758,1342293.9507,49300.5699,,,,,,,-0.8093,,,,,,,,,,,0.0,,,,,,,,,,,,2254600.0,,,,,,,20.6114,,37.5879,16.9147,,,,1.94,,,,,
1998-01-27,2.0098,1342293.9507,-165522.8217,,,,,,,0.23399999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,3055100.0,,,,,,,20.6478,,27.569000000000003,25.8324,,,,1.88,,,,,
1998-01-28,2.1325,1986219.2841,-33472.2556,,,,,,,0.7867,,,,,,,,,,,0.0,,,,,,,,,,,,3917500.0,,,,,,,20.6838,,28.3137,42.1939,,,,1.56,,,,,
1998-01-29,2.1388,1753021.054,-50608.0741,,,,,,,0.115,,,,,,,,,,,0.0,,,,,,,,,,,,4629700.0,,,,,,,20.7194,,45.1888,67.5401,,,,1.13,,,,,
1998-01-30,2.1164,1696961.9631,-70854.4311,,,,,,24.7229,-0.4205,75.8598,,,,22.996,,,,,,0.0,,,,,,22.38,22.565,,4.3,,,4218600.0,,7.24,,,,,20.7977,22.996,62.8546,78.8298,,,,0.88,22.9705,,,-24.2131,23.1123
1998-02-02,2.1612,1607390.5345,-101195.7197,,,,100.0,70.0,24.8231,0.1161,123.4368,16.3636,,29.4656,23.104,,,,,,0.0,23.6433,,,,60.3651,22.505,22.625,16.7322,4.085,2.25,5.3129,5054600.0,30.7119,7.497999999999999,,10.2834,1.1028,58.1818,20.8743,23.1085,73.7913,75.0042,,,,1.12,23.0227,,,-14.5882,23.2203
1998-02-03,2.1495,2028790.5345,29673.363999999998,,,,95.0,70.0,24.8406,0.0,80.4591,15.217,,26.5896,23.1893,,,,,,0.0,23.6451,,,,55.8456,22.505,22.625,17.2522,4.1308,0.12,5.2308,4409600.0,29.7499,7.1231,,0.5025,1.005,57.6085,20.9906,23.1145,75.2381,71.8803,,,,0.75,23.0647,,,-17.6471,23.3052
1998-02-04,2.1836,2171276.0307,125849.4321,,,,100.0,80.0,24.9228,0.2901,124.7093,17.712,,31.7597,23.3027,,,,,,0.0,23.6509,,,,56.045,22.63,22.72,16.3127,3.9242,0.5,5.1605,5392000.0,31.4969,7.5769,,2.0938,1.0209,58.856,21.1034,23.1395,72.7897,71.4845,,,,1.31,23.1136,,,-12.6126,23.4258
1998-02-05,2.1836,2903776.0307,386821.5116,,,,95.0,80.0,25.0595,0.0,99.8398,17.712,,31.7597,23.4053,,,,,,0.0,23.6619,,,,56.4606,22.63,22.72,15.8751,3.728,1.13,5.0317,5392000.0,30.6519,7.1981,,4.8602,1.0486,58.856,21.2568,23.195999999999998,70.0543,66.7982,,,,0.63,23.1796,,,-12.6126,23.5439
1998-02-06,2.2167,3070980.7926,511618.74,,,,90.0,80.0,25.26,0.3968,131.2748,20.2442,,34.8958,23.5334,,,,,,0.0,23.6992,,,,57.9216,22.815,22.72,15.4391,3.5416,2.25,4.8359,5676700.0,31.9898,7.3382,,10.0,1.1,60.1221,21.4042,23.3085,70.7107,73.8494,,,,0.63,23.2655,,,-4.2793,23.6919
1998-02-09,2.2283,3070980.7926,516161.3571,,,0.4696,100.0,95.0,25.3371,-0.12,145.5672,21.1416,,37.8999,23.6616,,,,,,0.0,23.7852,,,,62.4875,22.88,22.94,14.7617,3.3645,3.5,4.7711,6451500.0,32.78,7.4713,2.0131,16.3704,1.1637,60.5708,21.5456,23.4835,72.403,76.5615,,,,1.0,23.3706,,,-10.2459,23.8416
1998-02-10,2.2113,3070980.7926,471095.9407,,,0.4865,95.0,95.0,25.166,-0.0682,122.602,19.0801,,36.1801,23.7596,,,,,,0.0,23.864,,,,63.9705,23.47,23.285,14.7622,3.3263,3.81,4.7456,5781000.0,31.4998,7.0977,2.076,18.2471,1.1825,59.5401,21.7373,23.674,74.9583,74.464,79.9638,,,0.88,23.4901,,,-16.4678,23.9565
1998-02-11,2.1495,2599580.7926,259842.2758,,,0.6435,90.0,90.0,25.1967,-0.7075,75.5395,11.8068,,32.8269,23.7825,,,,,,0.0,23.8659,,,,58.0874,23.47,23.44,15.1784,3.41,0.75,4.8588,5309600.0,30.0135,6.7428,2.7457,3.2258,1.0323,55.9034,21.9194,23.7115,67.1095,50.303000000000004,46.6305,,,1.06,23.5971,,,-35.567,23.9875
1998-02-12,2.1665,2646716.7926,164796.115,,,0.7774,85.0,45.0,25.2427,0.38,46.2434,13.341,,31.1946,23.8213,,,,,,0.0,23.8705,,,,54.6522,23.47,23.44,15.3804,3.3595,0.75,4.6829,5506000.0,29.3265,6.4057,3.3154,3.1997,1.032,56.6705,22.0925,23.749000000000002,52.3196,32.1918,18.7756,,,0.5,23.7018,,51.0136,-30.6701,24.0331
1998-02-13,2.2668,3241416.7926,300154.857,,,0.8232,80.0,45.0,25.4709,0.8092,118.7048,21.7839,,37.4638,23.9631,,,,,,0.0,23.9305,,,,58.8334,23.685,23.44,14.467,3.1915,2.12,4.5107,6100700.0,31.8007,7.0154,3.4988,9.1419,1.0914,60.8919,22.2568,23.855,42.0913,43.7791,38.8118,,,1.31,23.8178,,59.3965,-1.8041,24.1818
1998-02-17,2.2588,2486416.7926,88014.8099,,,0.8303,100.0,70.0,25.6481,-0.5593,170.9498,20.7885,,43.3102,24.0828,,,,,,0.0,23.979,,,,64.0308,23.685,23.905,13.6959,3.0319,1.97,4.5344,5209800.0,34.6229,7.6646,3.5131,8.4731,1.0847,60.3942,22.413,23.9535,44.3397,57.048,68.8195,,,1.18,23.9397,,50.4544,-22.6611,24.3118
1998-02-18,2.3457,3325916.7926,260342.5352,,,0.8586,95.0,70.0,26.026,0.8908,168.8179,27.5104,,41.5,24.2835,,,,,,0.0,24.083000000000002,,,,62.151,24.125,23.905,13.5475,3.0103,2.44,4.3753,6049300.0,32.7687,7.2814,3.6048,10.2737,1.1027,63.7552,22.6468,24.0755,60.8912,81.8464,96.6743,,,1.19,24.0735,,54.2601,-2.4948,24.5248
1998-02-19,2.3233,3325916.7926,307172.7378,,,0.8148,90.0,70.0,26.2899,-0.5,158.3817,24.6409,,41.8568,24.4412,15.6467,,-0.1471,,,0.0,24.1557,,,4.6081,58.9163,24.125,23.905,13.1609,2.8598,2.19,4.3161,5505000.0,32.1098,6.9773,3.3932,9.2211,1.0922,62.3204,22.8666,24.185,72.407,78.3265,89.9238,,,0.62,24.2193,,55.0305,-7.6923,24.7023
1998-02-20,2.2668,3025830.7926,202923.8445,,,0.8447,85.0,70.0,26.3508,-0.69,101.6977,17.6195,,32.8977,24.524,17.2118,,-0.324,,,0.0,24.2201,0.7171,0.8447,4.8151,57.8255,24.125,23.905,15.4637,3.3468,2.68,4.3999,4715300.0,30.6262,6.6285,3.5063,11.8427,1.1184,58.8098,23.0732,24.319000000000003,79.6738,78.8484,59.9161,,,1.0,24.3677,,53.1954,-20.79,24.8095
1998-02-23,2.2839,3316667.1562,234367.7907,,,0.8588,80.0,70.0,26.459,0.0,79.663,19.0669,,29.4818,24.6169,18.9332,,0.3222,,,0.0,24.2813,0.7116,0.8588,5.022,53.6216,24.125,23.905,15.995,3.4295,2.31,4.3213,5128100.0,29.3692,6.297000000000001,3.5532,9.9612,1.0996,59.5334,23.2674,24.4345,73.4539,63.1868,31.4605,,,0.88,24.5071,,61.4244,-16.8399,24.921999999999997
1998-02-24,2.2059,3159514.3562,175921.8968,,,0.8243,75.0,70.0,26.2697,-0.696,27.2,9.7711,,22.835,24.6182,20.8267,,0.8295,,,0.0,24.3015,0.6297,0.8243,5.2181,57.4596,24.315,23.905,17.383,3.758,2.57,4.504,4727200.0,27.6711,5.9822,3.4024,11.65,1.1165,54.8856,23.45,24.563000000000002,61.0992,41.2623,4.8778,,,1.25,24.63,,56.5343,-34.9272,24.9406
1998-02-25,2.2839,3763624.5752,328236.2011,,,0.8003,70.0,70.0,26.1628,0.8175,62.5367,16.6231,,24.865,24.7022,22.9095,,1.1964,,,0.0,24.3847,0.6278,0.8003,5.4209,63.8521,24.91,24.405,16.2959,3.5701,3.06,4.4015,5678500.0,27.0818,5.9331,3.2915,13.6364,1.1364,58.3115,23.6216,24.715999999999998,49.2138,43.1923,20.2377,,,1.37,24.7346,,55.6799,-21.2598,25.0298
1998-02-26,2.3063,3856924.5752,390393.3073,,,0.7958,65.0,65.0,26.264,0.2841,108.6112,18.4953,,27.8998,24.8019,25.2005,,1.3196,,,0.0,24.4438,0.6391,0.7958,5.6242,63.5546,24.91,24.78,15.6349,3.3916,1.94,4.3117,6362700.0,27.735,6.0164,3.2629,8.1478,1.0815,59.2476,23.7829,24.813000000000002,46.0723,53.7624,46.6437,,,0.88,24.8347,,59.7604,-18.3007,25.1283
1998-02-27,2.2561,2760026.765,31317.9741,,,0.7821,100.0,95.0,26.2722,-0.5912,87.1528,12.537,25.7064,30.7659,24.8389,26.8626,,0.2919,,,0.0,24.4619,0.5959,0.7821,5.8198,55.7879,24.91,24.875,14.6603,3.222,1.31,4.4591,5160500.0,27.6896,6.0856,3.1994,5.4858,1.0549,56.2685,23.9345,24.8785,52.7699,61.355,56.5616,,,1.37,24.9422,,48.1287,-40.3077,25.1642
