date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2013-01-11,36.2,9878179.592,,,,,,,,0.2449,,,,,,,,,,,0,,,,,,,,,,,,14667600,,,,,,,,,,,,,,,,,,,
2013-04-11,35.35,9284144.521,,,,,,,,-0.6872,,,,,,,,,,,0,,,,,,,,,,,,13081000,,,,,,,32.1,,,,,,,2.11,,,,,
2013-05-11,35.35,9472639.808,,,,,,,,0.3535,,,,,,,,,,,0,,,,,,,,,,,,13081000,,,,,,,32.147,,,,,,,0.679,,,,,
2013-06-11,35.9,9285276.172,,,,,,,,0.3295,,,,,,,,,,,0,,,,,,,,,,,,13630600,,,,,,,32.1935,,,,,,,1.14,,,,,
2013-07-11,35.31,9186354.53,,,,,,,,-0.556,,,,,,,,,,,0,,,,,,,,,,,,12746900,,,,,,,32.2396,,,,,,,2.68,,,,,
2013-08-11,34.95,8992372.338,,,,,,,,-0.4795,,,,,,,,,,,0,,,,,,,,,,,,12258600,,,,,,,32.2852,,,,,,,0.73,,,,,
2013-11-11,34.24,8754543.667000001,,,,,,,,-0.7762,,,,,,,,,,,0,,,,,,,,,,,,11828100,,,,,,,32.3303,,,11.1111,,,,1.43,,,,,
2013-12-11,33.99,8624442.211000001,,,,,,,,-0.6963,,,,,,,,,,,0,,,,,,,,,,,,11496700,,,,,,,32.375,,,7.8658,,,,0.7899,,,,,
2013-11-13,34.15,8841424.969,,,,,,,,0.4483,,,,,,,,,,,0,,,,,,,,,,,,11916200,,,,,,,32.4193,,22.8721,29.3333,,,,1.45,,,,,
2013-11-14,33.65,8436795.392,-381485.477,,,,,,,-0.7042,,,,,,,,,,,0,,,,,,,,,,,,11329900,,,,,,,32.4631,,17.817,24.8963,,,,0.71,,,,,
2013-11-15,33.55,8294610.777000002,-417403.2009,,,,,,,-0.3846,,,,,,,,,,,0,,,,,,,,,,,,10405700,,,,,,,32.5065,,20.7083,21.7391,,,,0.52,,,,,
2013-11-18,37.64,8738800.876,-252817.8563,,,,,,,0.7153,,,,,,,,,,,0,,,,,,,,,,,,11075300,,,,,,,32.5494,,30.1996,87.0968,,,,4.77,,,,,
2013-11-19,35.16,8031212.4920000015,-387645.805,,,,,,,-0.8241,,,,,,,,,,,0,,,,,,,,,,,,10260000,,,,,,,32.6648,,39.8416,40.038,,,,3.1791,,,,,
2013-11-20,34.14,7759678.86,-493959.2301,,,,,,,-0.8251,,,,,,,,,,,0,,,,,,,,,,,,9842400,,,,,,,32.7779,,47.3304,16.2325,,,,2.23,,,,,
2013-11-21,35.19,8069012.193,-394121.4589,,,,,,,0.2353,,,,,,,,,,,0,,,,,,,,,,,,10236800,,,,,,,32.8888,,42.8651,37.2745,,,,1.16,,,,,
