date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Upper Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
02/01/1998,86.6239,-259654.632,,,,,,,,,,,-0.4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,373067,,,,,,,,,,,,,,,,,,,,,,
05/01/1998,87.6368,250212.368,,,,,,,,,,,0.6667,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,882934,,,,,,,33.56,,,,,,,,,,0.75,,,,,
06/01/1998,87.7967,934617.448,,,,,,,,,,,0.62,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1783467,,,,,,,33.5457,,,,,,,,,,0.5,,,,,
07/01/1998,90.1155,2002861.892,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,3234667,,,,,,,32.13,,,,,,,,,,1.44,,,,,
08/01/1998,87.2903,1440932.122,,,,,,,,,,,-0.8092,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2325867,,,,,,,32.1487,,,,,,,,,,1.31,,,,,
09/01/1998,86.7839,319721.583,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1000800,,,,,,,32.1672,,,,,,,,,,1.56,,,,,
12/01/1998,88.9694,570825.583,,,,,,,,,,,0.565,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1661600,,,,,,,34,,,,69,41.7166,,,,,2,,,,,
13/01/1998,90.3021,1163358.583,,,,,,,,,,,0.3968,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2254133,,,,,,,34,,,,94,61.9982,,,,,0.63,,,,,
14/01/1998,90.3021,1163358.583,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2254133,,,,,,,34,,85.6667,63.1272,94,85.6667,,,,,0,,,,,
15/01/1998,90.9685,1478966.583,383269.6225,,,,,,,,,,0.5588,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2924800,,,,,,,32,,93.4026,80.3558,92.2078,93.4026,,,,,0.68,,,,,
16/01/1998,94.3001,2927499.583,843132.5165,,,,,,,,,,0.9496,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,4373333,,,,,,,32.0231,,95.4026,91.4906,100,95.4026,,,,,1.25,,,,,
20/01/1998,93.2873,3061593.671,997276.1361,,,,,,,,,,-0.4559,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2853600,,,,,,,32.0902,,91.4558,93.4203,82.1596,91.4558,,,,,0.75,,,,,
21/01/1998,92.621,3248851.642,1029255.504,,,,,,,,,,-0.2754,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2436800,,,,,,,32.156,,82.0532,89.6372,64,82.0532,,,,,0.75,,,,,
22/01/1998,89.6358,2452851.642,695496.5637,,,,,,,,,,-0.896,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1640800,,,,,,,32.2205,,48.7199,74.0763,0,48.7199,,,,,1.25,,,,,
23/01/1998,90.3021,2452851.642,495731.8549,,,,,,,,,,0.32,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2137333,,,,,,,32.2837,,29.6667,53.4799,25,29.6667,,,,,1,,,,,
