date,Share Price
01/01/1996,44.211479
02/01/1996,43.390633
03/01/1996,43.401691
04/01/1996,42.025982
05/01/1996,41.193665
08/01/1996,39.651569
09/01/1996,39.463017
10/01/1996,39.252213
11/01/1996,40.173241
12/01/1996,40.017925
15/01/1996,39.68478
16/01/1996,39.607315
17/01/1996,38.26482
18/01/1996,37.454922
19/01/1996,37.13319
22/01/1996,37.521481
23/01/1996,36.034828
24/01/1996,35.546658
25/01/1996,34.781155
26/01/1996,null
29/01/1996,36.36768
30/01/1996,36.678307
31/01/1996,37.04443
01/02/1996,37.876495
02/02/1996,40.639194
05/02/1996,42.225555
06/02/1996,38.653122
07/02/1996,40.173241
08/02/1996,46.008881
09/02/1996,48.693523
12/02/1996,45.953159
13/02/1996,45.975285
14/02/1996,47.273548
15/02/1996,46.619083
16/02/1996,45.642513
19/02/1996,45.919956
20/02/1996,44.156151
21/02/1996,null
22/02/1996,46.142063
23/02/1996,45.742508
26/02/1996,46.019943
27/02/1996,45.276562
28/02/1996,45.720371
29/02/1996,42.824696
01/03/1996,43.312771
04/03/1996,43.091057
05/03/1996,null
06/03/1996,43.889774
07/03/1996,43.568077
08/03/1996,43.35704
11/03/1996,42.525124
12/03/1996,41.937061
13/03/1996,43.601273
14/03/1996,43.157463
15/03/1996,42.247692
18/03/1996,40.506008
19/03/1996,38.752987
20/03/1996,null
21/03/1996,41.160473
22/03/1996,40.506008
25/03/1996,41.715351
26/03/1996,42.846832
27/03/1996,44.034023
28/03/1996,44.566376
29/03/1996,43.778732
01/04/1996,44.344666
02/04/1996,44.544239
03/04/1996,45.376553
04/04/1996,44.899143
05/04/1996,null
08/04/1996,46.740814
09/04/1996,47.384598
10/04/1996,48.316498
11/04/1996,47.695232
12/04/1996,48.050121
15/04/1996,47.939068
16/04/1996,47.373543
17/04/1996,50.180298
18/04/1996,52.487911
19/04/1996,52.188354
22/04/1996,50.690506
23/04/1996,50.701576
24/04/1996,55.694237
25/04/1996,53.630463
26/04/1996,54.229595
29/04/1996,54.263184
30/04/1996,53.386623
01/05/1996,54.495964
02/05/1996,53.952545
03/05/1996,52.876389
06/05/1996,50.246685
07/05/1996,49.514767
08/05/1996,50.324558
09/05/1996,48.970959
10/05/1996,48.704597
13/05/1996,49.447975
14/05/1996,50.768368
15/05/1996,53.342358
16/05/1996,54.484909
17/05/1996,53.797237
20/05/1996,51.944092
21/05/1996,51.944092
22/05/1996,52.266209
23/05/1996,51.966648
24/05/1996,52.277264
27/05/1996,51.045811
28/05/1996,50.435596
29/05/1996,53.486595
30/05/1996,52.421524
31/05/1996,53.763649
03/06/1996,55.938492
04/06/1996,55.616379
05/06/1996,55.30574
06/06/1996,56.770386
07/06/1996,58.285641
10/06/1996,57.95356
11/06/1996,57.87318
12/06/1996,59.064495
13/06/1996,58.652023
14/06/1996,60.599346
17/06/1996,59.969421
18/06/1996,59.785824
19/06/1996,59.385185
20/06/1996,59.854786
21/06/1996,58.938427
24/06/1996,58.560642
25/06/1996,57.037209
26/06/1996,56.327316
27/06/1996,56.819748
28/06/1996,55.743069
01/07/1996,54.872417
02/07/1996,53.933235
03/07/1996,52.570553
04/07/1996,53.028713
05/07/1996,52.925488
08/07/1996,52.971195
09/07/1996,50.795376
10/07/1996,50.841076
11/07/1996,51.894924
12/07/1996,50.898201
15/07/1996,52.249866
16/07/1996,50.646473
17/07/1996,51.768848
18/07/1996,53.417934
19/07/1996,52.708046
22/07/1996,51.757431
