date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2007-04-19,36.7708,27440421.865,,,,,,,,0.7395,,,,,,,,,,,0.0,,,,,,,,,,,,31724800.0,,,,,,,,,,,,,,,,,,,
2007-04-20,38.3141,31752939.512,,,,,,,,0.6765,,,,,,,,,,,0.0,,,,,,,,,,,,37834200.0,,,,,,,24.5,,,,,,,1.7,,,,,
2007-04-23,38.5825,33311794.8966,,,,,,,,0.2308,,,,,,,,,,,0.0,,,,,,,,,,,,41587000.0,,,,,,,24.543000000000003,,,,,,,0.65,,,,,
2007-04-24,39.1864,34999707.2562,,,,,,,,0.7753,,,,,,,,,,,0.0,,,,,,,,,,,,44652800.0,,,,,,,24.6309,,,,,,,0.89,,,,,
2007-04-25,38.3946,32944365.3207,,,,,,,,-0.7581,,,,,,,,,,,0.0,,,,,,,,,,,,42202200.0,,,,,,,24.774,,,,,,,1.24,,,,,
2007-04-26,37.8444,32822211.5518,,,,,,,,-0.5276,,,,,,,,,,,0.0,,,,,,,,,,,,40922800.0,,,,,,,24.9731,,,,,,,1.99,,,,,
2007-04-27,38.1128,33094599.7871,,,,,,,,0.2353,,,,,,,,,,,0.0,,,,,,,,,,,,41279000.0,,,,,,,25.1641,,,54.8977,,,,0.85,,,,,
2007-04-30,37.6431,32767620.6205,,,,,,,,-0.4479,,,,,,,,,,,0.0,,,,,,,,,,,,40914000.0,,,,,,,25.3476,,,39.0065,,,,0.96,,,,,
2007-05-01,37.4418,32111620.6205,,,,,,,,-0.1429,,,,,,,,,,,0.0,,,,,,,,,,,,39995600.0,,,,,,,25.5237,,42.4125,33.3333,,,,0.7,,,,,
2007-05-02,37.7907,32051829.9228,455424.9354,,,,,,,0.4186,,,,,,,,,,,0.0,,,,,,,,,,,,40852600.0,,,,,,,25.6927,,35.0375,32.7727,,,,0.86,,,,,
2007-05-03,38.4483,32329817.9825,389169.5271,,,,,,,0.7463,,,,,,,,,,,0.0,,,,,,,,,,,,41217800.0,,,,,,,25.855,,38.04,48.0139,,,,0.67,,,,,
2007-05-04,38.6496,32366287.5477,338289.9465,,,,,,,0.0435,,,,,,,,,,,0.0,,,,,,,,,,,,41497400.0,,,,,,,26.0108,,48.836000000000006,65.7213,,,,0.69,,,,,
2007-05-07,39.0119,32894227.5477,454702.8502,,,,,,,0.6167,,,,,,,,,,,0.0,,,,,,,,,,,,42084000.0,,,,,,,26.1604,,65.8794,83.90299999999999,,,,0.6,,,,,
2007-05-08,39.3206,33153827.5477,543589.6881,,,,,,,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,42603200.0,,,,,,,26.304000000000002,,79.7943,89.7585,,,,0.4,,,,,
2007-05-09,41.4006,33838748.7598,748464.7176,,,,,,,0.6970000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,43792800.0,,,,,,,26.4418,,88.8405,92.8598,,,,1.98,,,,,
2007-05-10,40.8102,34082434.4741,841771.3463,,,,,,,-0.3929,,,,,,,,,,,0.0,,,,,,,,,,,,42655600.0,,,,,,,26.6832,,88.7337,83.5828,,,,1.12,,,,,
2007-05-11,41.4812,33386526.7818,581992.3971,,,,,,,0.0659,,,,,,,,,,,0.0,,,,,,,,,,,,43948000.0,,,,,,,26.9126,,84.8518,78.1126,,,,1.2,,,,,
2007-05-14,42.8366,34043238.7818,631764.6091,,,,,,,0.42,,,,,,,,,,,0.0,,,,,,,,,,,,44729800.0,,,,,,,27.1944,,81.0935,81.5851,,,,1.09,,,,,
2007-05-15,45.9098,34115993.2373,617841.9672,,,,,,,0.2079,,,,,,,,,,,0.0,,,,,,,,,,,,47179200.0,,,,,,,27.5308,,82.7624,88.5893,,,,2.78,,,,,
2007-05-16,46.1111,33908858.1021,490072.2555,,,,,,33.4245,-0.527,217.8911,,,,29.585,,,,,,0.0,,,,,,30.88,29.695,,1.41,,,47658200.0,,9.41,,,,,28.1043,29.585,87.6142,92.6682,,,,0.74,29.0763,,,-5.1011,30.4338
2007-05-17,48.8487,34796858.1021,675796.2593,,,,100.0,100.0,34.7536,0.8705,214.2684,69.8758,,77.8026,30.234,,,,,,0.0,34.8404,,,,79.7203,32.15,31.89,5.9867,1.3395,9.0,3.2184,48842200.0,47.9541,10.7295,,32.8467,1.3285,84.9379,28.715,30.035,91.0846,91.9964,,,,2.32,29.3764,,,-2.9228,31.0828
2007-05-18,49.0903,34989946.1021,751775.3282,,,,100.0,100.0,35.8906,0.0533,190.0984,70.3125,,78.8539,30.8384,,,,,,0.0,35.2255,,,,76.9287,32.24,32.275,5.5921,1.2725,8.03,3.2475,50652400.0,47.298,10.763,,28.1261,1.2813,85.1562,29.5115,30.4365,92.0356,91.4421,,,,1.5,29.7358,,,-6.7337,31.7061
2007-05-21,46.3526,34418593.8633,532720.5687,,,,95.0,80.0,36.4014,-0.6388,119.959,45.1999,,49.8834,31.191,,,,,,0.0,35.1561,,,,68.0723,32.24,32.275,13.6931,3.4189,5.79,3.7523,49234600.0,40.9519,10.2249,,20.1391,1.2014,72.6,30.3628,30.726,84.6519,70.5173,,,,3.35,30.1427,,,-27.2362,32.097
2007-05-22,45.2388,35134636.9013,622509.9912,,,,90.0,80.0,36.724000000000004,-0.3449,69.5382,36.5753,,32.5045,31.4309,,,,,,0.0,35.0608,,,,52.4738,32.24,32.275,18.4078,4.948,4.51,4.1211,45333400.0,36.1376,9.7136,,15.4452,1.1545,68.2876,31.1204,30.9515,70.742,50.2666,,,,3.16,30.5868,,,-35.5779,32.3811
2007-05-23,45.0643,34037864.6385,253677.2175,,,,85.0,80.0,36.9759,-0.4891,72.68,35.2508,,32.5045,31.6355,,,,,,0.0,34.9419,,,,60.3864,32.24,32.275,17.4705,4.7006,4.97,4.1342,44091600.0,34.2975,9.2279,,17.3715,1.1737,67.6254,31.7946,31.2,50.6705,31.2275,,,,1.37,31.0548,,,-36.8844,32.6315
