date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2010-06-29,23.89,13181690.6166,,,,,,,,,,,0.6555,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,18766300.0,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,23.83,-1446368.199,,,,,,,,,,,-0.2753,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1579200.0,,,,,,,17.54,,,,,,,,,,7.1192,,,,,
2010-07-01,21.96,-4748434.7476,,,,,,,,,,,-0.5381,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6639600.0,,,,,,,17.6688,,,,,,,,,,5.65,,,,,
2010-07-02,19.2,-8740853.4265,,,,,,,,,,,-0.8656,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-11779400.0,,,,,,,17.7963,,,,,,,,,,4.39,,,,,
2010-07-06,16.11,-14685579.8054,,,,,,,,,,,-0.9329,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-18646300.0,,,,,,,30.4192,,,,,,,,,,4.17,,,,,
2010-07-07,15.8,-14727529.5023,,,,,,,,,,,-0.3636,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-25568000.0,,,,,,,30.2733,,,,,,,,,,1.65,,,,,
2010-07-08,17.46,-7490677.1946,,,,,,,,,,,0.6769,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-17856600.0,,,,,,,29.9674,,,,9.9665,22.6691,,,,,1.95,,,,,
2010-07-09,17.4,-6440521.6391,,,,,,,,,,,-0.1333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-21907200.0,,,,,,,29.6677,,,,19.2611,29.803,,,,,1.35,,,,,
2010-07-12,17.05,-8437180.5176,,,,,,,,,,,-0.8411,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-24109700.0,,,,,,,29.3739,,20.1544,31.2357,31.2357,41.2351,,,,,1.07,,,,,
2010-07-13,18.14,-7297367.8739,-2918467.4448,,,,,,,,,,0.4289,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-21429600.0,,,,,,,29.0861,,34.3186,52.4589,52.4589,86.3388,,,,,1.74,,,,,
2010-07-14,19.84,-4190507.9718,-1244190.668,,,,,,,,,,0.795,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-17234400.0,,,,,,,28.8039,,52.4321,73.6018,73.6018,93.2314,,,,,2.3899,,,,,
2010-07-15,19.89,-5267570.3718,-788852.6894,,,,,,,,,,-0.02,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-13494600.0,,,,,,,28.5275,,69.4697,82.3483,82.3483,67.4747,,,,,2.5,,,,,
