date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,3.4166,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,3000.0,,,,,,,,,,,,,,,,,,,
1998-01-05,3.4166,-10067.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,3000.0,,,,,,,5.25,,,,,,,0.125,,,,,
1998-01-06,3.6666,-8067.0,,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,9000.0,,,,,,,5.125,,,,,,,0.5,,,,,
1998-01-07,4.0833,16000.0,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,33067.0,,,,,,,5.125,,,,,,,0.625,,,,,
1998-01-08,4.0,16000.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,21800.0,,,,,,,5.145,,,,,,,0.125,,,,,
1998-01-09,3.9166,7000.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,12800.0,,,,,,,5.1646,,,,,,,0.125,,,,,
1998-01-12,3.9166,23267.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,12800.0,,,,,,,5.1838,,,77.9762,,,,0.281,,,,,
1998-01-13,3.8333,34067.0,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,2000.0,,,,,,,5.2026,,,62.1429,,,,0.375,,,,,
1998-01-14,3.75,80067.0,,,,,,,,0.248,,,,,,,,,,,0.0,,,,,,,,,,,,-44000.0,,,,,,,5.2211,,63.5317,50.4762,,,,0.375,,,,,
1998-01-15,4.0,91556.0,35247.0746,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,-9533.0,,,,,,,5.2392,,54.3651,50.4762,,,,0.75,,,,,
1998-01-16,3.9166,81956.0,31990.4601,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-28733.0,,,,,,,5.2695,,52.381,56.1905,,,,0.5,,,,,
1998-01-20,3.9166,83295.8956,28176.3155,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-28733.0,,,,,,,5.2989,,56.1905,61.9048,,,,0.297,,,,,
1998-01-21,3.92,83295.8956,24054.5004,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,-28733.0,,,,,,,5.3274,,58.4762,57.3333,,,,0.005,,,,,
1998-01-22,3.9373,115095.8956,30299.7123,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,3067.0,,,,,,,5.3551,,58.5228,56.3302,,,,0.281,,,,,
1998-01-23,4.0833,135567.3298,36613.6906,,,,,,,0.4448,,,,,,,,,,,0.0,,,,,,,,,,,,29334.0,,,,,,,5.382000000000001,,59.2042,63.9492,,,,0.281,,,,,
1998-01-26,4.1666,152874.3819,41374.9537,,,,,,,0.8886,,,,,,,,,,,0.0,,,,,,,,,,,,51601.0,,,,,,,5.4079999999999995,,65.3308,75.7131,,,,0.42200000000000004,,,,,
1998-01-27,4.3333,180038.3723,48204.4716,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,97068.0,,,,,,,5.4436,,76.1418,88.7632,,,,0.313,,,,,
1998-01-28,4.1666,180038.3723,46616.1406,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,91601.0,,,,,,,5.4995,,82.9277,84.3069,,,,0.25,,,,,
1998-01-29,4.0,146238.3723,30973.9924,,,,,,,-0.5,,,,,,,,,,,0.0,,,,,,,,,,,,24001.0,,,,,,,5.5527,,77.4771,59.3611,,,,0.5,,,,,
1998-01-30,4.4166,213438.3723,43140.9325,,,,,,6.6519,1.0,131.3651,,,,5.9143,,,,,,0.0,,,,,,5.875,5.875,,1.3019999999999998,,,91201.0,,2.532,,,,,5.6032,5.9143,68.4226,61.5999,,,,0.75,5.916,,,-0.0,6.0714
1998-02-02,4.3333,218394.039,45773.2171,,,,100.0,95.0,6.667999999999999,0.6667,145.9545,35.4839,,32.0814,5.9701,,,,,,0.0,6.6153,,,,59.2214,5.875,5.875,17.8976,1.2369,1.375,5.5808,76334.0,34.8054,2.4054,,26.8293,1.2683,67.7419,5.6645,5.9831,62.7094,67.1673,,,,0.375,5.9606,,,-8.3333,6.1272
1998-02-03,4.542,231968.43899999998,47007.9865,,,,100.0,100.0,6.7241,0.2507,207.0821,40.5395,,40.6566,6.0504,,,,,,0.0,6.6339999999999995,,,,65.3417,6.1565,6.1875,16.0626,1.1751,1.6880000000000002,5.6086,157134.0,38.0719,2.7851,,32.9366,1.3294,70.2698,5.7222,6.0675,71.6306,86.1244,,,,0.75,6.007000000000001,,,-16.64,6.2062
1998-02-04,4.6666,194368.43899999998,31276.0298,,,,100.0,100.0,6.8623,-0.5,232.5294,43.3322,,42.5649,6.1408,,,,,,0.0,6.6648,,,,67.6336,6.3125,6.3125,15.1124,1.1163,1.5,5.497999999999999,194734.0,37.5118,2.7709,,27.2727,1.2727,71.6661,5.8204,6.1425,77.7852,80.0638,,,,0.43700000000000006,6.0567,,,-13.3333,6.2951
1998-02-05,4.6666,202901.7723,24712.1054,,,,95.0,70.0,6.9971,0.0,163.6936,43.3322,,33.5253,6.2226,,,,,,0.0,6.6811,,,,62.9444,6.3125,6.3125,17.7276,1.3105,0.875,5.4909,194734.0,35.6089,2.6323,,14.2857,1.1429,71.6661,5.9347,6.1862,81.9157,79.5588,,,,0.375,6.1129,,,-13.3333,6.3767
1998-02-06,4.5833,198901.7723,18507.5813,,,,90.0,70.0,7.0889,-1.0,127.05799999999999,38.5138,,33.5253,6.2848,,,,,,0.0,6.6906,,,,62.4613,6.3125,6.3125,17.4176,1.245,0.875,5.4021,190734.0,34.9861,2.5007,,14.5833,1.1458,69.2569,6.0399,6.23,78.3338,75.3788,,,,0.125,6.1779,,,-20.0,6.4423
1998-02-09,4.9166,287568.7723,42499.0868,,,0.4614,100.0,85.0,7.2808,0.8581,156.1648,46.1378,,40.7961,6.3886,,,,,,0.0,6.7544,,,,69.0115,6.5,6.375,16.223,1.1827,1.5,5.1231,279401.0,38.5809,2.8127,7.5045,25.5319,1.2553,73.0689,6.1368,6.3049,78.7923,81.4394,,,,0.5,6.252000000000001,,,-0.0,6.5514
1998-02-10,4.9166,287568.7723,48450.2402,,,0.479,100.0,90.0,7.4391,0.0,152.0931,46.1378,,42.6837,6.4825,,,,,,0.0,6.8123,,,,74.1723,6.5,6.4375,15.6578,1.1236,1.5,5.0364,279401.0,38.9787,2.7969999999999997,7.6831,25.5319,1.2553,73.0689,6.2482,6.38,79.5875,81.9444,79.5352,,,0.25,6.3307,,,-5.8824,6.6533
1998-02-11,4.8333,250968.7723,34834.7811,,,0.4806,100.0,95.0,7.5373,0.0,127.9145,41.2849,,42.6837,6.5556,,,,,,0.0,6.8531,,,,71.01,6.5,6.4375,15.1039,1.0674,1.5,5.0395,242801.0,37.5998,2.6572,7.609,26.087,1.2609,70.6425,6.3734,6.4549,82.2391,83.3333,78.7827,,,0.25,6.4127,,,-11.7647,6.7362
1998-02-12,5.25,250968.7723,26098.0223,,,0.5038,100.0,100.0,7.7449,0.3333,170.7403,50.0201,,52.7078,6.6813,,,,,,0.0,7.0032,,,,78.2597,6.875,6.875,13.1459,1.014,2.25,5.0425,332068.0,42.4484,3.2743,7.8632,40.0,1.4,75.0101,6.486000000000001,6.5674,79.8401,74.2424,78.7827,,,1.0,6.5073,,59.5294,-13.6364,6.8714
