date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Middle Band,Real Lower Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Signal,MACD_Hist,MACDEXT,MACD_Signal,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,8.8706,2919300.0,,,,,,,,,,,0.8971,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2919300.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,8.9633,2310673.0909,,,,,,,,,,,0.1127,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7210900.0,,,,,,,45.38,,,,,,,,,,2.75,,,,,
1998-01-06,8.7778,496653.5597,,,,,,,,,,,-0.2461,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4479200.0,,,,,,,45.425,,,,,,,,,,2.56,,,,,
1998-01-07,8.4661,-1282139.6442,,,,,,,,,,,-0.6942,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1022300.0,,,,,,,49.88,,,,,,,,,,2.18,,,,,
1998-01-08,8.2212,-2239962.3246,,,,,,,,,,,-0.0979,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4784500.0,,,,,,,49.8325,,,,,,,,,,2.13,,,,,
1998-01-09,7.724,-5602270.6119,,,,,,,,,,,-0.7928,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-10525800.0,,,,,,,49.7059,,,,,,,,,,3.62,,,,,
1998-01-12,7.8854,-4215657.5942,,,,,,,,,,,0.6657,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6341200.0,,,,,,,49.4411,,,,15.1708,24.4831,,,,,3.38,,,,,
1998-01-13,8.7667,2443142.4058,,,,,,,,,,,0.7333,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,317600.0,,,,,,,49.0734,,,,44.2722,100.0,,,,,4.75,,,,,
1998-01-14,8.5811,2570707.7904,,,,,,,,,,,-0.3205,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2999100.0,,,,,,,48.7205,,43.1696,70.0658,70.0658,85.7143,,,,,1.81,,,,,
1998-01-15,8.4884,-212719.1003,238531.8015,,,,,,,,,,-0.2101,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-6522800.0,,,,,,,48.3817,,66.7569,85.9327,85.9327,72.0839,,,,,2.38,,,,,
1998-01-16,8.3845,-567525.5003,-103236.4358,,,,,,,,,,-0.448,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-9934400.0,,,,,,,48.0564,,76.7265,74.1809,74.1809,64.7444,,,,,1.25,,,,,
1998-01-20,8.5811,1013598.7006,269419.3889,,,,,,,,,,0.3973,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-7024600.0,,,,,,,47.88,,75.5505,66.5379,66.5379,62.7854,,,,,2.19,,,,,
1998-01-21,8.9058,5478146.4483,1817914.747,,,,,,,,,,0.7027,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,718600.0,,,,,,,40.25,,69.835,68.7862,68.7862,78.8288,,,,,4.44,,,,,
1998-01-22,8.6739,3220197.5122,1567686.8459,,,,,,,,,,-0.4681,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4105200.0,,,,,,,40.3369,,66.4736,64.0966,64.0966,50.6757,,,,,1.88,,,,,
1998-01-23,8.9763,6441609.8833,2347798.7457,,,,,,,,,,0.5825,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-429000.0,,,,,,,40.4229,,68.3934,72.2973,72.2973,87.3874,,,,,1.94,,,,,
1998-01-26,9.045,4726877.9684,1907902.664,,,,,,,,,,-0.266,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2449300.0,,,,,,,40.5081,,70.2494,74.3544,74.3544,85.0,,,,,1.12,,,,,
1998-01-27,9.5552,7684866.8573,2495677.7622,,,,,,,,,,0.7812,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6467700.0,,,,,,,40.6879,,78.577,89.0794,89.0794,94.8509,,,,,3.13,,,,,
1998-01-28,10.2621,11081906.2625,3590127.5892,,,,,,,,,,0.6729,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13443300.0,,,,,,,41.0237,,84.7862,90.9247,90.9247,92.9231,,,,,4.5,,,,,
1998-01-29,9.904,8684434.2625,2948649.8286,,,,,,,,,,-0.405,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9162100.0,,,,,,,41.6228,,88.4887,85.4619,85.4619,68.6117,,,,,4.0,,,,,
1998-01-30,10.136,8835479.5664,2466227.9024,,,,,,,54.8137,47.7445,40.6753,0.4862,176.869,,,,47.7445,,,,,,,,0.0,,,,,,,,,,,48.47,48.375,,8.56,,,13067700.0,,17.5,,,,,42.3666,47.7445,85.2381,79.3277,79.3277,76.4484,,,,,2.12,46.6928,,,-11.5077,49.065
1998-02-02,10.2974,7354718.4977,1573519.6923,,,,100.0,30.0,70.0,55.9655,48.129,40.2925,-0.6718,165.0708,24.3895,,36.856,48.4831,,,,,,,,0.0,54.6689,,,,,,,,,62.2272,48.565,48.375,15.823,8.132,7.69,4.8649,15879000.0,34.2942,17.625,,16.0845,1.1608,62.1947,43.0733,48.129,80.6773,77.2422,77.2422,86.6667,,,,,1.87,47.1628,,,-6.1538,49.8036
1998-02-03,10.7148,9149515.8954,1636345.5336,,,,100.0,25.0,75.0,57.4906,48.601,39.7114,0.7212,159.816,29.6722,,41.4945,49.3657,,,,,,,,0.0,54.8395,,,,,,,,,62.2574,49.69,49.345,14.9243,7.7254,9.44,4.6961,19564500.0,36.0942,18.6837,,19.5405,1.1954,64.8361,43.7446,48.601,80.1343,83.833,83.833,88.3838,,,,,2.94,47.7612,,,-3.7933,50.7199
1998-02-04,10.5404,6879801.2288,791106.3899,,,,95.0,20.0,75.0,58.6294,49.076,39.5226,-0.46,129.5116,25.8067,,41.4945,50.0747,,,,,,,,0.0,54.9499,,,,,,,,,60.4545,49.69,49.345,14.4826,7.3391,9.5,4.6671,15084800.0,35.0258,17.7496,,20.0803,1.2008,62.9034,44.6263,49.076,81.2039,82.5365,82.5365,72.5589,,,,,1.5,48.4584,,,-8.961,51.5017
1998-02-05,10.1118,3263809.2288,-777134.9316,,,,90.0,15.0,75.0,59.2143,49.5195,39.8247,-0.7143,91.9961,16.8001,,30.238,50.4961,,,,,,,,0.0,54.9277,,,,,,,,,59.6678,49.69,49.345,17.49,9.0322,8.87,4.9428,11202600.0,32.652,16.8621,,19.439,1.1944,58.4001,45.4552,49.5195,75.2337,59.3318,59.3318,17.0526,,,,,3.5,49.2197,,,-21.6603,52.0183
1998-02-06,9.9968,2582671.359,-1564765.2552,,,,85.0,10.0,75.0,59.5609,49.998,40.4351,0.2249,60.3643,14.4845,,24.2285,50.8184,,,,,,,,0.0,54.8682,,,,,,,,,60.4632,49.69,49.345,19.2524,9.7706,9.57,4.9065,7489300.0,31.5646,16.019,,21.5978,1.216,57.2423,46.2343,49.998,58.7066,34.2515,34.2515,13.1429,,,,,1.69,50.0209,,,-25.0687,52.4336
1998-02-09,9.9504,3437326.1535,-1472790.657,,,4.1699,80.0,5.0,75.0,59.466,50.598,41.73,-0.1689,45.4561,13.5292,,19.3568,51.0862,,,,,,,,0.0,54.7569,,,,,,,,,61.873,50.125,49.345,20.3999,10.282,12.0,4.8871,4776700.0,30.1931,15.218,8.4242,28.8254,1.2883,56.7646,46.9666,50.598,37.1095,17.7452,17.7452,23.04,,,,,2.19,50.8295,,,-26.4431,52.7795
1998-02-10,10.3438,3437326.1535,-1301274.6253,,,4.4787,75.0,0.0,75.0,59.5719,51.2605,42.9491,0.4629,75.0062,19.5236,,28.558,51.5303,,,,,,,,0.0,54.8549,,,,,,,,,66.9405,51.47,50.97,18.8744,9.7679,13.25,4.8133,9955500.0,33.9641,17.5771,8.9926,31.1765,1.3118,59.7618,47.655,51.2605,28.2318,32.6986,32.6986,61.913,16.2747,48.824,,,3.87,51.6119,,,-18.0054,53.2701
1998-02-11,10.4606,5406258.1923,-486332.9068,,,4.8041,70.0,0.0,70.0,60.0998,51.717,43.3342,0.2767,71.8234,21.2317,,28.558,51.9922,,,,,,,,0.0,54.9595,,,,,,,,,66.0205,51.47,51.47,18.1154,9.2795,9.13,4.7042,13335500.0,32.5982,16.6983,9.5863,19.3228,1.1932,60.6158,48.3021,51.717,34.4358,52.8637,52.8637,73.638,49.608,100.0,,,2.06,52.3223,,,-14.7776,53.7577
1998-02-12,10.4477,7285791.6496,489297.7969,,,4.8588,65.0,20.0,45.0,60.4359,52.22,44.0041,-0.1413,63.2901,20.9315,,25.7055,52.4034,,,,,,,,0.0,55.0727,,,,,,,,,61.9543,51.47,51.47,18.257,9.3756,10.06,4.7134,10073600.0,30.8906,15.8634,9.6289,21.7514,1.2175,60.4657,48.9104,52.22,52.203,71.0468,71.0468,77.5895,81.6422,96.1025,,,2.69,52.986,,51.3731,-15.2798,54.1951
1998-02-13,10.3549,5787253.188,367130.1382,,,4.5089,60.0,15.0,45.0,60.5136,52.723,44.9324,-0.3654,66.0502,18.7211,,26.6538,52.7279,,,,,,,,0.0,55.1345,,,,,,,,,61.4638,51.47,51.47,17.6913,8.9068,10.06,4.6576,8125500.0,30.5492,15.3802,8.8667,21.9891,1.2199,59.3605,49.4822,52.723,65.6813,73.1336,73.1336,68.1733,87.8359,67.4051,,,1.56,53.5956,,50.2612,-18.8666,54.537
1998-02-17,10.2287,3885332.0452,-321379.7347,,,4.2386,55.0,10.0,45.0,60.2567,53.22,46.1833,-0.5314,51.7457,15.6937,,23.2875,52.9566,,,,,,,,0.0,55.1342,,,,,,,,,61.9088,52.0,51.47,18.3375,9.0914,9.94,4.638,5891700.0,29.4709,14.6112,8.2675,21.996,1.22,57.8469,50.0196,53.22,67.8433,59.3495,59.3495,32.2857,54.5025,0.0,,,1.75,54.1212,,51.8406,-23.7446,54.7663
1998-02-18,10.4829,5743304.9733,17346.6794,,,3.8225,50.0,5.0,45.0,60.1278,53.7325,47.3372,0.7569,57.5989,20.0189,,22.6339,53.2941,,,,,,,,0.0,55.2492,,,,,,,,,61.8934,52.25,51.47,17.9043,8.7569,10.25,4.4595,8243400.0,28.3802,13.8806,7.3736,22.1622,1.2216,60.0095,50.5248,53.7325,63.8787,59.153,59.153,77.0,48.5021,78.1013,,,1.81,54.5416,,54.476,-13.9168,55.0787
1998-02-19,10.9245,9687804.9733,1409407.787,,,3.4742,100.0,0.0,100.0,60.4768,54.2765,48.0762,0.4486,107.9104,26.8789,,31.2353,53.8261,15.6467,,1.0439,2.0549,,,,0.0,55.573,,,,,,,10.3005,0.5504,61.4803,52.815,52.815,16.6501,8.319,10.88,4.3625,13765700.0,31.7761,15.8766,6.6212,22.6667,1.2267,63.4394,50.9998,54.2765,61.6844,66.5506,66.5506,90.3661,59.3671,100.0,,,3.5,54.8764,,59.4398,-3.8081,55.5689
1998-02-20,10.9245,10990718.5733,2265322.7686,,,3.121,100.0,0.0,100.0,60.3494,54.883,49.4166,-0.348,126.8349,26.8789,,32.3246,54.3074,17.2118,,1.3212,0.2113,,,,0.0,55.9503,3.3034,3.6316,-0.3282,3.121,4.1641,-1.043,10.7863,0.6016,67.2014,53.63,53.155,15.817,7.9031,12.13,4.3566,13765700.0,30.9267,15.4528,5.8979,25.9465,1.2595,63.4394,51.5864,54.883,69.6236,83.1672,83.1672,82.1355,92.7004,100.0,,,2.5,55.1708,,61.2174,-6.5959,56.0073
1998-02-23,11.0043,11120737.8041,2450901.1282,,,2.8271,100.0,0.0,100.0,60.3436,55.4295,50.5154,-0.0449,153.0556,28.1132,,33.2571,54.7839,18.9332,,0.9415,-0.843,,,,0.0,56.2993,3.3072,3.5667,-0.2595,2.8271,4.0149,-1.1878,11.2715,0.655,67.396,54.03,54.31,15.3137,7.5079,10.93,4.2403,17146200.0,30.5749,14.9901,5.2922,22.592,1.2259,64.0566,52.2395,55.4295,78.5751,86.0076,86.0076,85.5212,100.0,100.0,,,1.56,55.4442,,59.3994,-6.5217,56.429
1998-02-24,10.6462,7906437.8041,1281278.5364,,,2.6197,95.0,0.0,95.0,59.765,55.861,51.957,-0.9437,109.0783,18.6504,,26.6218,55.0311,20.8267,,0.1664,-0.3147,,,,0.0,56.3704,3.1186,3.4771,-0.3585,2.6197,3.8083,-1.1886,11.7326,0.7104,63.3044,55.405,54.53,16.8811,8.2525,8.63,4.3651,13931900.0,29.1302,14.2406,4.8634,17.7026,1.177,59.3252,52.9433,55.861,80.3826,71.9731,71.9731,48.2625,66.6667,0.0,,,2.31,55.7016,,49.844,-24.2315,56.6147
1998-02-25,11.3642,11525808.2098,1837934.5565,,,2.6162,100.0,0.0,100.0,60.3852,56.3485,52.3118,0.8807,172.4779,29.6225,,32.3519,55.6234,22.6924,,0.3384,3.3202,,,,0.0,56.7331,3.244,3.4304,-0.1865,2.6162,3.5652,-0.949,12.2278,0.7679,63.6724,57.315,56.845,15.4841,7.8399,9.75,4.2269,18041700.0,30.2944,15.3386,4.8018,18.932,1.1893,64.8113,53.5838,56.3485,78.1419,76.4451,76.4451,95.5516,66.6667,100.0,,,4.19,55.9647,,60.0485,-2.6853,57.128
1998-02-26,11.4106,12141606.8161,2094508.4343,,,2.6855,100.0,40.0,60.0,61.241,56.658,52.075,0.1533,188.095,30.2621,,35.9859,56.1831,24.6558,,2.2578,4.3221,,,,0.0,56.9549,3.3252,3.4094,-0.0842,2.6855,3.3237,-0.6382,12.7205,0.8277,62.8888,57.44,57.47,14.6123,7.4479,6.19,4.2325,22818300.0,31.041,15.8217,4.8764,11.1915,1.1119,65.1311,54.3754,56.658,74.038,73.6956,73.6956,77.2727,66.6667,100.0,,,2.87,56.2357,,64.1823,-11.8371,57.6186
1998-02-27,10.7612,8140249.4197,735901.4459,,,2.4884,95.0,35.0,60.0,61.2481,56.889,52.5299,-0.5917,76.0947,14.8766,60.258,22.7683,56.3561,26.9165,,3.1887,1.8756,,,,0.0,56.9853,3.0717,3.3418,-0.2702,2.4884,3.0992,-0.6108,13.1733,0.8894,61.3763,57.565,57.47,18.0374,9.4555,4.62,4.6084,17135700.0,28.6724,15.0306,4.4872,8.6549,1.0865,57.4383,55.2966,56.889,70.6589,61.8361,61.8361,12.6838,66.6667,0.0,,,4.0,56.5124,,55.5412,-44.9811,57.7464
1998-03-02,10.2974,4935316.0863,-906543.9686,28.6699,,2.0785,90.0,30.0,60.0,61.2173,56.9325,52.6477,-0.7353,-37.7617,5.507,59.7311,9.7891,56.2746,29.4709,,3.2178,-1.7738,,,,0.0,56.9749,2.6387,3.2012,-0.5625,2.0785,2.8592,-0.7807,13.5966,0.953,54.5844,57.565,57.47,22.1161,11.7327,0.87,4.8679,10849100.0,26.9159,14.279,3.7255,1.5925,1.0159,52.7535,62.75,56.9325,56.2141,33.1105,33.1105,9.375,33.3333,0.0,,,3.25,56.7595,,48.4402,-68.6553,57.6141
