date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2006-02-06,31.5736,-1314396.7742,,,,,,,,-0.7419,,,,,,,,,,,0.0,,,,,,,,,,,,1940300.0,,,,,,,,,,,,,,,,,,,
2006-02-07,30.7261,-796024.8718,,,,,,,,-0.4192,,,,,,,,,,,0.0,,,,,,,,,,,,-1284300.0,,,,,,,34.94,,,,,,,2.171,,,,,
2006-02-08,29.804,3448422.4966,,,,,,,,0.3553,,,,,,,,,,,0.0,,,,,,,,,,,,-10244800.0,,,,,,,34.9079,,,,,,,2.11,,,,,
2006-02-09,32.1325,10058087.2132,,,,,,,,0.8848,,,,,,,,,,,0.0,,,,,,,,,,,,-2228200.0,,,,,,,29.51,,,,,,,5.47,,,,,
2006-02-10,31.8903,9276968.9437,,,,,,,,0.2943,,,,,,,,,,,0.0,,,,,,,,,,,,-4457300.0,,,,,,,29.51,,,,,,,1.9705,,,,,
2006-02-13,32.6354,7746916.9884,,,,,,,,-0.6592,,,,,,,,,,,0.0,,,,,,,,,,,,347600.0,,,,,,,29.51,,,,,,,1.98,,,,,
2006-02-14,33.3246,9846956.0019,,,,,,,,0.583,,,,,,,,,,,0.0,,,,,,,,,,,,3977900.0,,,,,,,29.7113,,,84.4958,,,,2.23,,,,,
2006-02-15,34.0232,12694240.5089,,,,,,,,0.9366,,,,,,,,,,,0.0,,,,,,,,,,,,7238500.0,,,,,,,29.9728,,,91.3917,,,,1.42,,,,,
2006-02-16,33.2501,11867676.2232,,,,,,,,-0.4048,,,,,,,,,,,0.0,,,,,,,,,,,,5196400.0,,,,,,,30.3052,,87.0991,87.0991,,,,1.08,,,,,
2006-02-17,34.3957,13968375.7051,4090412.8438,,,,,,,0.4041,,,,,,,,,,,0.0,,,,,,,,,,,,7461400.0,,,,,,,30.6209,,88.6405,88.6405,,,,1.93,,,,,
2006-02-21,32.9986,12625949.1745,3345955.7164,,,,,,,-0.4592,,,,,,,,,,,0.0,,,,,,,,,,,,5339500.0,,,,,,,31.0037,,71.501,71.501,,,,1.68,,,,,
2006-02-22,33.604,12772384.4686,2783820.329,,,,,,,0.2721,,,,,,,,,,,0.0,,,,,,,,,,,,6999100.0,,,,,,,31.3635,,65.766,65.766,,,,1.36,,,,,
2006-02-23,33.6599,12668751.5572,2267807.1689,,,,,,,0.4051,,,,,,,,,,,0.0,,,,,,,,,,,,8636500.0,,,,,,,31.7017,,51.6958,51.6958,,,,1.58,,,,,
2006-02-24,33.3432,13073077.4831,1979195.7462,,,,,,,0.5185,,,,,,,,,,,0.0,,,,,,,,,,,,7271900.0,,,,,,,32.0196,,48.532,48.532,,,,0.69,,,,,
2006-02-27,33.0638,12889915.9447,1622921.8796,,,,,,,-0.3077,,,,,,,,,,,0.0,,,,,,,,,,,,4890800.0,,,,,,,32.3184,,36.7061,36.7061,,,,0.65,,,,,
2006-02-28,33.0359,12196027.4831,1108852.4347,,,,,,,0.0769,,,,,,,,,,,0.0,,,,,,,,,,,,3797400.0,,,,,,,32.5993,,23.2821,23.2821,,,,1.04,,,,,
2006-03-01,33.6227,12970045.3936,1044024.9573,,,,,,,0.6343,,,,,,,,,,,0.0,,,,,,,,,,,,5199000.0,,,,,,,32.8633,,28.7297,28.7297,,,,1.34,,,,,
2006-03-02,33.5947,13327661.8319,1036380.3145,,,,,,,0.5753,,,,,,,,,,,0.0,,,,,,,,,,,,3825000.0,,,,,,,33.1115,,48.2361,48.2361,,,,0.73,,,,,
2006-03-03,34.107,13847097.6214,1104311.5923,,,,,,,0.6526,,,,,,,,,,,0.0,,,,,,,,,,,,5526600.0,,,,,,,33.3448,,70.6932,70.6932,,,,0.95,,,,,
2006-03-06,34.3864,14052624.8941,1097104.7389,,,,,,35.387,0.6364,105.7336,,,,35.387,,,,,,0.0,,,,,,34.465,33.355,,3.7,,,6280200.0,,6.98,,,,,33.5641,35.387,81.6096,81.6096,,,,0.77,35.6407,,,-3.6411,35.9023
2006-03-07,34.6658,13846016.0941,928680.5226,,,,100.0,85.0,35.55300000000001,0.368,129.6646,24.2336,,35.7756,35.5616,,,,,,0.0,36.9333,,,,64.4176,34.61,33.755,11.3961,3.515,3.32,4.3527,7113300.0,24.0923,7.431,,9.7935,1.0979,62.1168,33.8187,35.55300000000001,80.975,80.975,,,,1.25,35.7708,,,-9.1873,36.0769
2006-03-08,34.8428,14353016.0941,936672.3866,,,,95.0,85.0,35.774,0.7308,131.2321,25.3237,,35.7756,35.7376,,,,,,0.0,36.9679,,,,67.0129,34.705,33.755,11.1974,3.3392,4.42,4.1836,7992100.0,23.6722,7.0594,,13.398,1.134,62.6619,34.1532,35.774,78.5664,78.5664,,,,0.52,35.8991,,,-6.9494,36.2538
2006-03-09,34.7589,14692559.8441,962826.3981,,,,90.0,85.0,36.04,0.375,132.9433,24.431,,35.7756,35.8883,,,,,,0.0,37.0062,,,,77.9837,35.825,33.755,11.0723,3.1723,5.32,4.0268,7216000.0,23.4078,6.7065,,16.625,1.1663,62.2155,34.4609,36.04,71.5944,71.5944,,,,0.32,36.01,,,-8.0094,36.401
2006-03-10,35.5227,16185089.9254,1360892.0288,,,,100.0,100.0,36.222,0.8211,167.2472,29.2635,,40.4696,36.1028,,,,,,0.0,37.0921,,,,74.6144,36.19,35.875,10.5936,3.0137,3.64,3.9045,8733200.0,24.9969,7.1112,,10.5507,1.1055,64.6317,34.744,36.222,80.2441,80.2441,,,,1.23,36.1045,,,-0.2198,36.601
2006-03-13,35.5972,15444654.1456,1164426.3998,,,,100.0,100.0,36.421,0.1009,188.7264,29.725,,44.7224,36.3044,,,,,,0.0,37.19300000000001,,,,75.4626,36.63,36.455,10.1829,2.863,3.98,3.8441,11961500.0,26.6598,7.4956,,11.6238,1.1162,64.8625,35.0506,36.421,78.0367,78.0367,,,,1.09,36.212,,,-13.7577,36.7913
2006-03-14,36.3143,17512298.59,1636084.0202,,,1.0353,100.0,95.0,36.6185,0.8889,186.5707,34.0822,,45.8774,36.5602,,,,,,0.0,37.3525,,,,74.2437,37.21,36.56,9.8189,2.7198,3.95,3.7067,14619900.0,26.4651,7.3308,2.8787,11.2728,1.1127,67.0411,35.4345,36.6185,87.6881,87.6881,,,,0.99,36.34,,,-2.1654,37.036
2006-03-15,36.8545,18307862.0309,1933433.7761,,,1.1563,100.0,100.0,36.808,0.5269,195.4907,37.171,,49.5742,36.8468,,,,,,0.0,37.5416,,,,72.8979,37.5,37.43,9.4838,2.5838,3.79,3.5873,16194100.0,28.131,7.6643,3.196,10.5925,1.1059,68.5855,35.8377,36.808,85.2199,85.2199,100.0,,,0.93,36.4956,,,-4.8523,37.317
2006-03-16,36.5751,18023812.0309,1788930.6057,,,1.2315,95.0,50.0,36.945,-0.1,157.6684,33.7585,,49.5742,37.0776,,,,,,0.0,37.6385,,,,68.7889,37.5,37.43,9.3394,2.4547,2.74,3.4849,15626000.0,27.7029,7.2811,3.3811,7.5007,1.075,66.8793,36.3132,36.945,89.5217,89.5217,85.6149,,,0.4,36.6775,,,-11.1814,37.5515
2006-03-17,36.5099,19369312.0309,1995299.2536,,,1.2129,90.0,50.0,37.12,0.463,120.9042,32.9462,,43.3439,37.2797,,,,,,0.0,37.7823,,,,70.0174,37.5,37.43,10.7337,2.7339,3.5,3.3806,14280500.0,27.1569,6.917000000000002,3.3049,9.8039,1.098,66.4731,36.7316,37.12,81.2037,81.2037,66.7017,,,0.502,36.8869,,68.7341,-12.6582,37.7663
2006-03-20,37.3947,20995102.5715,2415628.9404,,,1.3356,100.0,65.0,37.281,0.9324,138.1942,38.2993,,49.1158,37.5531,,,,,,0.0,37.9835,,,,69.7872,37.79,37.65,10.115,2.5972,3.22,3.3199,16131400.0,29.6419,7.6112,3.6178,8.7192,1.0872,69.1497,37.0998,37.281,82.4573,82.4573,66.7017,,,1.48,37.1174,,73.7629,-1.7375,38.0549
2006-03-21,38.1305,19404220.2185,1861789.5235,,,1.4379,100.0,70.0,37.5565,0.0471,183.7334,42.3295,,57.8155,37.8757,,,,,,0.0,38.6883,,,,77.3546,38.205,38.65,9.3167,2.4674,5.51,3.3483,19136400.0,34.8546,9.2306,3.8679,15.5518,1.1555,71.1647,37.508,37.5565,76.1394,76.1394,81.0867,,,2.09,37.3817,,63.5732,-18.1058,38.4033
2006-03-22,39.7139,20574520.2185,1838333.4418,,,1.6222,100.0,75.0,37.8845,0.8151,184.251,49.7624,,60.5157,38.3294,,,,,,0.0,39.7135,,,,77.558,39.055,39.03,8.5116,2.344,6.56,3.3331,20814300.0,34.6021,9.5291,4.3298,18.1818,1.1818,74.8812,38.1705,37.8845,83.3093,83.3093,100.0,,,2.38,37.6774,,69.2177,-4.534,38.8875
2006-03-23,38.8384,19549720.2185,1335543.8227,,,1.7679,95.0,75.0,38.1625,-0.5328,151.8348,39.3116,,60.5157,38.6504,15.6467,,0.9507,,,0.0,40.0435,,,0.3873,72.4383,39.055,39.03,8.1323,2.2268,5.56,3.3841,19325900.0,33.0604,9.0526,4.69,15.3846,1.1538,69.6558,38.8949,38.1625,74.4976,74.4976,79.2844,,,1.22,38.0007,,62.6311,-16.3728,39.2509
2006-03-24,38.8477,19295391.9166,927521.4441,,,1.927,90.0,75.0,38.458,0.0094,129.0534,39.359,,58.8847,38.9418,17.2118,,0.6094,,,0.0,40.3689,1.7703,1.927,0.4235,73.8548,39.055,39.03,8.2202,2.2255,5.91,3.3412,19938600.0,31.766,8.6,5.0852,16.5084,1.1651,69.6795,39.5107,38.458,76.8082,76.8082,49.0325,,,1.06,38.3458,,59.0336,-16.2469,39.5887
