date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Upper Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,136.9,635440.0,,,,,,,,,,,-0.12,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1222000.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,136.9,476030.9091,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1222000.0,,,,,,,13.31,,,,,,,,,,0.44,,,,,
1998-01-06,143.1,659014.1024,,,,,,,,,,,0.521,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5577000.0,,,,,,,13.3163,,,,,,,,,,1.19,,,,,
1998-01-07,150.6,3603394.1024,,,,,,,,,,,0.62,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10326000.0,,,,,,,13.3476,,,,,,,,,,1.0,,,,,
1998-01-08,149.4,2066394.1024,,,,,,,,,,,0.2043,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5715000.0,,,,,,,13.4046,,,,,,,,,,0.93,,,,,
1998-01-09,147.5,229756.4212,,,,,,,,,,,-0.2754,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1627000.0,,,,,,,13.4909,,,,,,,,,,0.69,,,,,
1998-01-12,153.8,3379198.139,,,,,,,,,,,0.8466,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6170000.0,,,,,,,13.5736,,,,87.1134,73.4125,,,,,1.63,,,,,
1998-01-13,155.0,1455626.7104,,,,,,,,,,,-0.3095,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8863000.0,,,,,,,13.6764,,,,80.6452,76.1461,,,,,0.48,,,,,
1998-01-14,160.6,2166763.0741,,,,,,,,,,,0.4886,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,14078000.0,,,,,,,13.8075,,84.0616,77.8734,84.4262,84.0616,,,,,0.94,,,,,
1998-01-15,153.8,787618.0359,-82401.7599,,,,,,,,,,-0.0458,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8250000.0,,,,,,,13.9917,,73.8763,78.028,56.5574,73.8763,,,,,1.31,,,,,
1998-01-16,158.8,2084951.3692,150195.8795,,,,,,,,,,0.5867,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12142000.0,,,,,,,14.1631,,72.6776,76.8718,77.0492,72.6776,,,,,0.75,,,,,
1998-01-20,160.6,3488388.8692,678243.5838,,,,,,,,,,0.1875,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,14637000.0,,,,,,,14.3225,,69.7492,72.101,75.641,69.7492,,,,,0.32,,,,,
1998-01-21,160.0,4032494.1324,1005728.9935,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12914000.0,,,,,,,14.4707,,74.8284,72.4184,71.7949,74.8284,,,,,0.38,,,,,
1998-01-22,156.3,3492903.2233,876582.3725,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,11595000.0,,,,,,,14.6086,,68.2293,70.9356,57.2519,68.2293,,,,,0.5,,,,,
1998-01-23,156.9,3671948.6778,801029.3655,,,,,,,,,,-0.1364,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,12908000.0,,,,,,,14.7368,,56.7934,66.617,41.3333,56.7934,,,,,0.44,,,,,
1998-01-26,154.4,2728072.1346,396976.1112,,,,,,,,,,-0.6914,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,11130000.0,,,,,,,14.856,,40.0587,55.0271,21.5909,40.0587,,,,,0.81,,,,,
1998-01-27,159.4,3109232.1346,316871.0425,,,,,,,,,,0.5867,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,13329000.0,,,,,,,14.9669,,43.9747,46.9423,69.0,43.9747,,,,,0.81,,,,,
1998-01-28,165.6,3768686.6801,465120.775,,,,,,,,,,0.5682,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,18165000.0,,,,,,,15.07,,56.0352,46.6896,77.5148,56.0352,,,,,1.0,,,,,
1998-01-29,161.9,2484815.7123,74980.2872,,,,,,,,,,-0.5968,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,16573000.0,,,,,,,15.2196,,67.3787,55.7962,55.6213,67.3787,,,,,0.62,,,,,
1998-01-30,165.0,3171720.4743,127121.5766,,,,,,,13.8296,15.4325,17.0354,0.3016,101.4677,,,,15.4325,,,,,,,,0.0,,,,,,,,,,,15.125,15.125,,1.94,,,18304000.0,,3.44,,,,,15.3572,15.4325,69.0335,64.1492,73.9645,69.0335,,,,,0.63,15.5623,,,-12.1212,15.813
1998-02-02,169.4,3629629.5652,282593.9443,,,,0.0,100.0,100.0,14.0748,15.595,17.1152,0.5682,152.4467,44.3383,,33.5975,15.5761,,,,,,,,0.0,16.5484,,,,,,,,,72.2882,15.315,15.315,12.4894,1.843,3.25,4.575,21662000.0,25.1279,3.708,,23.74,1.2374,72.1692,15.4839,15.595,72.6431,69.6851,88.3436,72.6431,,,,,0.63,15.6731,,,-5.2342,15.9565
1998-02-03,177.5,6351629.5652,1186596.827,,,,0.0,100.0,100.0,14.2653,15.798,17.3307,0.8621,199.7635,50.1383,,40.5832,15.7831,,,,,,,,0.0,16.7083,,,,,,,,,73.1454,16.03,15.72,11.7596,1.7509,4.06,4.393,24384000.0,27.8238,4.1426,,29.6567,1.2966,75.0691,15.632,15.798,87.436,76.3709,100.0,87.436,,,,,0.87,15.7794,,,-0.0,16.1618
1998-02-04,176.9,6351629.5652,1448543.7493,,,,0.0,100.0,100.0,14.3833,15.967,17.5507,-0.0968,198.4588,48.9283,,43.1229,15.9647,,,,,,,,0.0,16.8172,,,,,,,,,72.6233,16.25,16.0,11.2658,1.6633,3.38,4.3627,21963000.0,28.3487,4.1855,,23.6198,1.2362,74.4641,15.8438,15.967,90.7881,83.6224,84.0206,90.7881,,,,,0.62,15.8795,,,-7.75,16.342
1998-02-05,177.5,5016494.43,999202.3337,,,,15.0,100.0,85.0,14.3965,16.1015,17.8065,-0.5135,176.9736,49.3579,,43.7305,16.1347,,,,,,,,0.0,16.9009,,,,,,,,,71.6205,16.25,16.03,10.9762,1.5801,2.69,4.2348,23939000.0,28.0369,4.0362,,17.8619,1.1786,74.679,16.081,16.1015,89.5069,89.2437,84.5,89.5069,,,,,0.37,15.9835,,,-7.6355,16.5118
1998-02-06,180.0,6961764.7003,1343493.9012,,,,10.0,100.0,90.0,14.4477,16.2545,18.0613,0.8378,154.8736,51.1599,,43.7305,16.3124,,,,,,,,0.0,17.0184,,,,,,,,,71.0869,16.375,16.03,10.6871,1.5011,3.06,4.0699,26818000.0,27.2983,3.8344,,20.4819,1.2048,75.5799,16.3185,16.2545,88.047,89.4473,95.6204,88.047,,,,,0.37,16.1033,,,-1.4778,16.6926
1998-02-09,180.0,6640491.973,1259981.5018,,,0.9178,5.0,100.0,95.0,14.5962,16.417,18.2378,-0.5682,142.0367,51.1599,,45.7636,16.4731,,,,,,,,0.0,17.1394,,,,,,,,,77.0637,16.69,16.125,10.346,1.4261,3.25,3.9887,26818000.0,27.8054,3.8327,5.7528,22.0339,1.2203,75.5799,16.5275,16.417,87.2908,88.2815,81.7518,87.2908,,,,,0.44,16.2395,,,-5.8824,16.8588
1998-02-10,181.9,5210730.0683,656349.3231,,,0.953,0.0,100.0,100.0,14.647,16.5575,18.468,0.3016,139.2333,52.5807,,49.5974,16.6366,,,,,,,,0.0,17.2533,,,,,,,,,77.0061,16.785,16.755,9.8711,1.3548,2.81,3.9228,30421000.0,29.2977,4.021,5.9097,18.2705,1.1827,76.2904,16.7514,16.5575,80.7241,85.354,64.8,80.7241,100.0,100.0,,,0.63,16.39,,,-11.7333,17.0277
1998-02-11,185.6,6247375.2296,679582.4083,,,1.0257,10.0,100.0,90.0,14.6771,16.7105,18.7439,0.6935,131.9208,55.2495,,50.7545,16.8198,,,,,,,,0.0,17.4062,,,,,,,,,77.1905,16.97,16.815,9.423,1.287,3.06,3.8194,33099000.0,28.8464,3.94,6.2875,19.7419,1.1974,77.6247,17.0144,16.7105,76.2091,81.408,82.0755,76.2091,100.0,100.0,,,0.62,16.5535,,,-4.9096,17.2184
1998-02-12,183.8,8237472.0037,1260519.2433,,,1.0725,5.0,95.0,90.0,14.6925,16.8265,18.9605,-0.1935,96.8633,50.9005,,36.9635,16.9684,,,,,,,,0.0,17.4868,,,,,,,,,70.0728,16.97,16.815,12.3885,1.7227,2.32,3.917,29852000.0,26.9172,3.743,6.5118,14.4458,1.1445,75.4503,17.2747,16.8265,71.2799,76.071,66.9643,71.2799,0.0,66.6667,,,0.93,16.7274,,56.5566,-9.5607,17.3774
1998-02-13,183.8,9677472.0037,1841764.3809,,,1.0965,0.0,90.0,90.0,14.8486,16.9765,19.1044,0.7857,91.9811,50.9005,,36.9635,17.1028,,,,,,,,0.0,17.6214,,,,,,,,,78.9856,17.0,17.0,11.8846,1.6365,3.0,3.8735,29852000.0,25.8225,3.5558,6.6062,19.5059,1.1951,75.4503,17.496,16.9765,72.0013,73.1635,66.9643,72.0013,0.0,33.3333,,,0.56,16.9171,,60.3062,-10.5714,17.5253
1998-02-17,172.5,7029472.0037,1069567.9026,,,1.096,25.0,85.0,60.0,14.9753,17.045,19.1147,-0.885,41.8015,26.2918,,20.1559,17.1169,,,,,,,,0.0,17.6069,,,,,,,,,73.1233,17.0,17.0,15.7948,2.2447,1.37,4.2484,27204000.0,23.7693,3.378,6.5679,8.6272,1.0863,63.1459,18.75,17.045,44.6429,62.6414,0.0,44.6429,0.0,0.0,,,1.13,17.0995,,51.4384,-42.8571,17.5514
1998-02-18,178.1,7733400.5752,880413.1703,,,1.0874,20.0,80.0,60.0,15.0889,17.1325,19.1761,0.5536,45.5713,32.0706,,20.1559,17.1829,,,,,,,,0.0,17.6172,,,,,,,,,73.0901,17.0,17.0,14.9636,2.1325,1.75,4.1196,29394000.0,22.5184,3.2091,6.4712,10.8966,1.109,66.0353,18.735,17.1325,34.7659,50.47,37.3333,34.7659,19.9562,6.6521,,,0.75,17.2727,,52.2978,-26.8571,17.6242
1998-02-19,180.0,8674718.757,1022504.4586,,,1.075,15.0,75.0,60.0,15.225,17.2325,19.24,0.5682,54.4549,33.9209,,22.1503,17.2607,15.6467,,0.418,-0.1604,,,,0.0,17.6399,,,,,,,3.2778,0.1749,76.7104,17.0,17.0,14.4926,2.0259,2.0,3.9945,31695000.0,22.7396,3.1787,6.3591,12.5,1.125,66.9605,18.7202,17.2325,31.5284,36.979,57.2519,31.5284,31.0017,16.986,,,0.44,17.4335,,54.9532,-21.4286,17.7069
1998-02-20,180.0,9974686.4989,1401303.8618,,,0.9997,10.0,70.0,60.0,15.4594,17.351,19.2426,0.0,49.9146,33.9209,,22.1503,17.3311,17.2118,,0.2971,-0.559,,,,0.0,17.67,0.9221,0.7963,-0.1258,1.0359,0.9997,-0.0363,3.425,0.1911,75.197,17.0,17.0,14.162,1.9246,2.37,3.8809,31695000.0,22.2209,3.0197,5.8801,15.1631,1.1516,66.9605,18.7054,17.351,51.5284,39.2742,60.0,51.5284,31.0017,27.3198,,,0.31,17.5811,,57.9143,-21.4286,17.78
1998-02-23,180.6,9027739.1305,1127574.5585,,,0.9536,5.0,65.0,60.0,15.7171,17.4695,19.2219,-0.1842,64.5425,34.5447,,27.1157,17.4005,18.9332,,0.0958,-1.0123,,,,0.0,17.7027,0.8908,0.7654,-0.1254,1.0399,0.9536,-0.0863,3.5714,0.208,77.6522,17.0,17.0,13.7571,1.8283,2.37,3.7798,33079000.0,23.9933,3.1888,5.5837,15.1052,1.1511,67.2724,18.6909,17.4695,62.9778,48.6782,71.6814,62.9778,100.0,54.0011,,,0.38,17.71,,53.7001,-19.7143,17.8475
1998-02-24,180.6,10481739.1305,1375723.9745,,,0.8763,0.0,60.0,60.0,16.1011,17.6005,19.0999,0.1935,42.4632,34.5447,,20.7805,17.4633,20.8267,,-0.4669,-1.1355,,,,0.0,17.74,0.8591,0.7324,-0.1267,1.0314,0.8763,-0.1551,3.7162,0.2256,77.7928,17.25,17.125,15.36,1.9869,2.62,3.6767,33079000.0,23.4183,3.0293,5.1006,16.9689,1.1697,67.2724,18.6765,17.6005,65.8796,60.1286,65.9574,65.8796,100.0,77.0006,,,0.31,17.8185,,51.3607,-21.2308,17.9037
1998-02-25,182.5,11635793.1846,1719372.846,,,0.806,0.0,55.0,55.0,16.4016,17.716,19.0304,0.6757,64.8078,36.6434,,24.7293,17.5382,22.9095,,-0.7235,0.3542,,,,0.0,17.7874,0.83,0.7134,-0.1166,1.007,0.806,-0.201,3.8616,0.2437,77.6935,17.375,17.405,14.9111,1.8876,2.31,3.5578,34787000.0,24.7087,3.1279,4.6666,14.4918,1.1449,68.3217,18.6622,17.716,72.9328,67.2634,81.1594,72.9328,100.0,100.0,,,0.37,17.9042,,51.3589,-18.5874,17.9656
1998-02-26,183.8,12110393.1846,1854658.9438,,,0.7485,10.0,50.0,40.0,16.576,17.807,19.038,0.5,85.7076,38.0735,,28.4818,17.6184,25.2005,,-0.2075,1.1629,,,,0.0,17.831,0.8041,0.7007,-0.1034,0.971,0.7485,-0.2225,4.0068,0.2626,76.3809,17.375,17.405,14.3158,1.7932,1.82,3.4921,36482000.0,25.7183,3.2215,4.311,10.9903,1.1099,69.0367,18.6481,17.807,74.9649,71.2591,77.7778,74.9649,100.0,100.0,,,0.5,17.9678,,63.9989,-13.7546,18.0288
1998-02-27,178.8,11169282.0734,1441953.4536,,,0.6503,5.0,45.0,40.0,16.9092,17.8915,18.8738,-0.6825,34.4103,26.5125,18.4987,22.0756,17.6433,27.028,,0.019,0.9844,,,,0.0,17.8341,0.7719,0.6429,-0.1289,0.9214,0.6503,-0.2711,4.1455,0.282,76.7702,17.53,17.405,15.5913,1.9535,1.69,3.5864,35272000.0,24.4252,3.0604,3.7302,10.4385,1.1044,63.2563,18.6341,17.8915,58.3289,68.7422,16.0494,58.3289,0.0,66.6667,,,0.63,18.0087,,54.3862,-32.342,18.0358
1998-03-02,180.0,11546650.4945,1262104.4821,32.658,,0.5125,0.0,40.0,40.0,17.2198,17.9665,18.7132,0.0,3.872,28.0348,18.4819,20.557,17.6773,27.5829,,0.2823,0.8251,,,,0.0,17.8434,0.7375,0.5999,-0.1376,0.8566,0.5125,-0.3441,4.284,0.302,73.9503,17.75,17.72,15.5974,1.9159,1.5,3.4899,36467000.0,23.6695,2.9074,2.9244,9.0909,1.0909,64.0174,18.6203,17.9665,41.5638,58.2858,30.8642,41.5638,13.1674,37.7225,,,0.38,18.0263,,54.1564,-36.4078,18.0461
1998-03-03,174.4,11296070.7844,994063.224,31.3964,,0.3669,0.0,35.0,35.0,17.3592,17.9915,18.6238,-0.5362,-146.1399,16.2096,18.3622,7.4276,17.6547,27.3921,,0.3373,0.0298,,,,0.0,17.8375,0.6929,0.5147,-0.1782,0.7765,0.3669,-0.4097,4.4156,0.3226,70.5317,17.905,17.815,19.0726,2.3801,0.5,3.6541,35557000.0,22.1332,2.762,2.0853,2.9516,1.0295,58.1048,18.6066,17.9915,21.7206,40.5377,18.2482,21.7206,0.0,4.3891,,,0.81,18.0285,,49.2237,-70.0535,17.996
1998-03-04,177.5,13395108.5202,1461916.2413,29.8991,,0.2255,100.0,30.0,-70.0,17.3592,17.9915,18.6238,0.9434,-165.626,20.4888,18.3121,1.4491,17.6638,26.842,,0.2782,-0.024,,,,0.0,17.8372,0.6477,0.4668,-0.1809,0.6821,0.2255,-0.4566,4.549,0.3437,64.9413,17.905,17.75,20.9141,2.7011,0.0,3.7094,37924000.0,20.3166,2.6239,1.2754,0.0,1.0,60.2444,18.5782,17.9915,34.787,32.6905,55.2486,34.787,19.5718,10.9131,,,1.06,18.0273,,59.6032,-50.0,17.973
1998-03-05,178.1,14686540.3384,1931319.3049,28.4588,,0.2003,95.0,25.0,-70.0,17.3746,17.9975,18.6204,0.8523,-110.9008,21.3075,18.2769,1.0927,17.6777,26.0279,,0.3819,-0.6949,,,,0.0,17.837,0.6039,0.4287,-0.1752,0.5933,0.2003,-0.3931,4.6816,0.3654,64.4545,17.905,17.75,19.5144,2.566,0.12,3.7591,39757000.0,19.9456,2.6227,1.128,0.6783,1.0068,60.6538,18.5234,17.9975,45.4062,33.9713,62.7219,45.4062,43.1108,20.8942,,,0.88,18.0238,,60.9833,-47.0,17.9557
1998-03-06,185.0,15955519.0618,2351539.3062,27.7884,,0.1831,90.0,100.0,10.0,17.3864,18.035,18.6836,0.6596,102.6045,30.0297,18.369,15.0517,17.756,25.0287,,-0.0681,-1.1893,,,,0.0,17.8513,0.5729,0.449,-0.1239,0.5077,0.1831,-0.3246,4.8197,0.3876,65.1202,17.905,17.75,18.1487,2.4377,0.75,3.692,42468000.0,24.5802,3.3016,1.0273,4.2254,1.0423,65.0148,16.75,18.035,68.4902,49.5611,87.5,68.4902,100.0,54.2275,,,0.94,18.0221,,61.6092,-12.5,18.0035
1998-03-09,191.3,17682519.0618,2859171.1879,27.5084,,0.1642,85.0,100.0,15.0,17.2869,18.0915,18.8961,0.8393,197.6797,36.7658,18.5599,22.1875,17.8869,24.0182,,-0.3459,-0.7069,,,,0.0,17.8929,0.5604,0.5101,-0.0503,0.4286,0.1642,-0.2644,4.9628,0.4105,64.6561,18.19,18.0,16.6843,2.3158,1.13,3.6846,44666000.0,26.199,3.6365,0.9154,6.2778,1.0628,68.3829,16.77,18.0915,81.8073,65.2346,95.2,81.8073,100.0,81.0369,,,1.12,18.0278,,67.8693,-4.8,18.1078
