date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2007-10-25,29.4871,-5207745.4992,,,,,,,,-0.5205,,,,,,,,,,,0.0,,,,,,,,,,,,7486900.0,,,,,,,,,,,,,,,,,,,
2007-10-26,31.6428,-4436348.1801,,,,,,,,0.6193,,,,,,,,,,,0.0,,,,,,,,,,,,9112500.0,,,,,,,28.89,,,,,,,3.73,,,,,
2007-10-29,34.3126,-3938975.8397,,,,,,,,0.2979,,,,,,,,,,,0.0,,,,,,,,,,,,9780400.0,,,,,,,28.9309,,,,,,,3.0,,,,,
2007-10-30,35.0345,-3542954.3013,,,,,,,,0.0808,,,,,,,,,,,0.0,,,,,,,,,,,,10236000.0,,,,,,,29.0523,,,,,,,2.6,,,,,
2007-10-31,33.8182,-3569363.2565,,,,,,,,-0.2724,,,,,,,,,,,0.0,,,,,,,,,,,,9842800.0,,,,,,,29.2487,,,,,,,2.68,,,,,
2007-11-01,32.3646,-3629438.2565,,,,,,,,-0.5662,,,,,,,,,,,0.0,,,,,,,,,,,,9388900.0,,,,,,,29.504,,,,,,,2.06,,,,,
2007-11-02,32.0581,-3562817.5668,,,,,,,,-0.2207,,,,,,,,,,,0.0,,,,,,,,,,,,9112900.0,,,,,,,29.749000000000002,,,51.7422,,,,1.45,,,,,
2007-11-05,31.1484,-3670912.3037,,,,,,,,-0.0965,,,,,,,,,,,0.0,,,,,,,,,,,,8770600.0,,,,,,,29.9842,,,28.3572,,,,1.31,,,,,
2007-11-06,31.0791,-3829110.4855,,,,,,,,-0.1455,,,,,,,,,,,0.0,,,,,,,,,,,,8547500.0,,,,,,,30.2101,,12.5353,12.5353,,,,0.55,,,,,
2007-11-07,29.0224,-4303432.4367,52348.0624,,,,,,,-0.9512,,,,,,,,,,,0.0,,,,,,,,,,,,8021900.0,,,,,,,35.63,,6.0203,6.0203,,,,2.18,,,,,
2007-11-08,29.6651,-4029365.77,40367.9915,,,,,,,0.8333,,,,,,,,,,,0.0,,,,,,,,,,,,8433000.0,,,,,,,35.5662,,9.8646,9.8646,,,,0.9,,,,,
2007-11-09,29.5662,-3891283.4171,75732.5302,,,,,,,0.2451,,,,,,,,,,,0.0,,,,,,,,,,,,8219600.0,,,,,,,35.503,,16.2822,16.2822,,,,1.02,,,,,
2007-11-12,28.7158,-4004183.4171,47392.3387,,,,,,,-0.2972,,,,,,,,,,,0.0,,,,,,,,,,,,8106700.0,,,,,,,35.3742,,15.4979,15.4979,,,,2.12,,,,,
2007-11-13,28.8048,-4026513.6058,24385.1695,,,,,,,-0.1069,,,,,,,,,,,0.0,,,,,,,,,,,,8343400.0,,,,,,,35.1842,,17.0819,17.0819,,,,1.59,,,,,
2007-11-14,29.6157,-3909578.8232,49962.8339,,,,,,,0.687,,,,,,,,,,,0.0,,,,,,,,,,,,8587900.0,,,,,,,34.9132,,26.9712,26.9712,,,,1.15,,,,,
2007-11-15,29.8629,-3909578.8232,55884.3481,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,8664700.0,,,,,,,34.6531,,48.6681,48.6681,,,,0.98,,,,,
2007-11-16,30.3474,-3823218.8232,80704.5722,,,,,,,0.7,,,,,,,,,,,0.0,,,,,,,,,,,,8753600.0,,,,,,,34.4033,,68.0,68.0,,,,0.7,,,,,
2007-11-19,28.8641,-3953423.9778,42092.6082,,,,,,,-0.4433,,,,,,,,,,,0.0,,,,,,,,,,,,8515300.0,,,,,,,34.1636,,60.687,60.687,,,,1.94,,,,,
2007-11-20,26.6986,-4116662.0944,-29469.1968,,,,,,,-0.6076,,,,,,,,,,,0.0,,,,,,,,,,,,7772400.0,,,,,,,33.9335,,49.6518,49.6518,,,,4.46,,,,,
2007-11-21,24.0782,-4366213.8404,-135468.291,,,,,,30.6515,-0.6286,-229.8116,,,,30.6515,,,,,,0.0,,,,,,29.89,29.445,,11.55,,,6962000.0,,4.4,,,,,33.4998,30.6515,26.899,26.899,,,,3.74,30.7913,,,-91.1884,29.6003
2007-11-23,23.9002,-4276105.9268,-137845.5579,,,,20.0,-80.0,30.369,0.3094,-218.2689,-26.3158,,46.2811,30.0342,,,,,,0.0,24.3411,,,,41.8887,29.8,29.24,30.1507,11.3825,-5.65,8.2044,6861800.0,11.0723,4.18,,-18.947,0.8105,36.8421,32.8854,30.369,21.1504,21.1504,,,,1.5,30.428,,,-89.6714,28.983
2007-11-26,23.9299,-4439590.1373,-178304.3651,,,,15.0,-80.0,29.979,-0.4286,-166.128,-26.1303,,36.2369,29.4786,,,,,,0.0,24.3277,,,,29.105999999999998,29.8,29.24,29.0726,10.8134,-7.8,8.0593,7095600.0,13.6069,5.061,,-24.375,0.7562,36.9349,32.1829,29.979,16.2284,16.2284,,,,1.33,30.0113,,,-89.4366,28.3955
