date,5. adjusted close,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Up,AROONOSC,BBANDS,Real Middle Band,Real Upper Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,QUADRATURE,HT_SINE,SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD,MACD_Hist,MACDEXT,MACD,MACD_Hist,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowD,STOCHF,FastD,STOCHRSI,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,14.6615,308176.5909,,,,,,,,,,,0.4773,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,581133.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,14.6042,58883.1829,,,,,,,,,,,-0.1472,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-275634.0,,,,,,,114.12,,,,,,,,,,2.99,,,,,
1998-01-06,14.3192,139688.9102,,,,,,,,,,,-0.4329,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-877767.0,,,,,,,114.12,,,,,,,,,,3.5,,,,,
1998-01-07,13.8557,-109344.3166,,,,,,,,,,,-0.6598,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-1657000.0,,,,,,,114.12,,,,,,,,,,4.88,,,,,
1998-01-08,13.6357,-774077.3166,,,,,,,,,,,-0.64,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2321733.0,,,,,,,113.85,,,,,,,,,,1.75,,,,,
1998-01-09,13.4483,-1172452.5379,,,,,,,,,,,-0.6637,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3344833.0,,,,,,,113.486,,,,,,,,,,2.26,,,,,
1998-01-12,13.4079,-747427.5379,,,,,,,,,,,0.47,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3911533.0,,,,,,,112.9427,,,,17.9487,7.9829,,,,,2.06,,,,,
1998-01-13,13.9859,-14260.5379,,,,,,,,,,,0.9365,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3178366.0,,,,,,,112.2411,,,,79.871,34.6066,,,,,4.44,,,,,
1998-01-14,14.2788,510284.2781,,,,,,,,,,,0.9,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2559799.0,,,,,,,111.5817,,65.206,35.9318,97.7984,65.206,,,,,2.5,,,,,
1998-01-15,14.0914,444055.7067,266372.2775,,,,,,,,,,-0.5371,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3023399.0,,,,,,,110.9618,,86.2606,62.0244,81.1124,86.2606,,,,,2.19,,,,,
1998-01-16,14.3361,949155.9567,439516.2819,,,,,,,,,,0.3542,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2349932.0,,,,,,,110.3791,,92.308,81.2582,98.0132,92.308,,,,,2.06,,,,,
1998-01-20,14.2293,664661.8738,379871.0499,,,,,,,,,,-0.6272,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3193432.0,,,,,,,101.25,,87.6144,88.7277,83.7176,87.6144,,,,,1.69,,,,,
1998-01-21,14.0093,544817.0463,282804.5508,,,,,,,,,,-0.4015,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3888532.0,,,,,,,101.3419,,73.0214,84.3146,37.3333,73.0214,,,,,4.06,,,,,
1998-01-22,13.8805,646380.1531,249701.5578,,,,,,,,,,-0.1214,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4364032.0,,,,,,,101.4329,,48.5848,69.7402,24.7036,48.5848,,,,,2.24,,,,,
1998-01-23,13.831,693177.3753,228349.3079,,,,,,,,,,-0.2849,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-5021065.0,,,,,,,101.523,,31.003,50.8697,30.972,31.003,,,,,3.51,,,,,
1998-01-26,13.8714,365561.2797,94613.7837,,,,,,,,,,-0.121,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4588832.0,,,,,,,101.6121,,30.5849,36.7242,36.0791,30.5849,,,,,1.69,,,,,
1998-01-27,14.0341,374400.0857,34114.8908,,,,,,,,,,0.5112,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-4194032.0,,,,,,,101.7004,,42.7174,34.7684,61.1012,42.7174,,,,,2.68,,,,,
1998-01-28,14.107,-327102.7714,-216941.4646,,,,,,,,,,-0.0743,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3381032.0,,,,,,,101.7878,,56.0761,43.1261,71.048,56.0761,,,,,2.19,,,,,
1998-01-29,14.4493,128104.0962,-155085.8371,,,,,,,,,,0.8258,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-2682399.0,,,,,,,101.8743,,75.0455,57.9464,92.9874,75.0455,,,,,3.13,,,,,
1998-01-30,14.2541,51724.0962,-139985.277,,,,,,,102.9252,108.044,113.1628,-0.6,54.8141,,,,108.044,,,,,,,,0.0,,,,,,,,,,,107.815,107.685,,14.39,,,-3064299.0,,12.62,,,,,102.0668,108.044,75.0163,68.7126,61.0136,75.0163,,,,,2.5,107.6111,,,-35.8974,108.0132
1998-02-02,14.4324,253856.9206,-56766.8513,,,,30.0,5.0,-25.0,103.1019,107.956,112.8101,0.6641,96.3191,-5.6519,,5.2812,108.3131,,,,,,,,0.0,109.5133,,,,,,,,,45.5316,107.595,107.685,26.5374,13.6705,-1.76,2.4411,-2448499.0,23.8751,12.299,,-1.5626,0.9844,47.1741,102.2555,107.956,80.5168,76.8596,87.5494,80.5168,,,,,1.81,107.6676,,,-25.2525,108.2824
1998-02-03,14.8477,767556.9206,145887.6729,,,,25.0,0.0,-25.0,102.8156,108.0495,113.2834,0.9575,172.0956,4.6319,,5.2772,108.8605,,,,,,,,0.0,109.5567,,,,,,,,,44.0012,108.53,107.655,24.9135,12.987,1.87,2.3941,-1934799.0,27.6895,14.4341,,1.6668,1.0167,52.3159,102.4404,108.0495,82.8544,79.4625,100.0,82.8544,,,,,3.19,107.7901,,,-0.0,108.8637
1998-02-04,14.8242,1169257.8429,343343.2106,,,,20.0,100.0,80.0,102.4745,108.2435,114.0125,-0.0583,161.5793,4.0304,,5.2772,109.3385,,,,,,,,0.0,109.6388,,,,,,,,,48.4389,108.53,107.655,23.9185,12.3376,3.88,2.3684,-2421566.0,26.5836,13.7123,,3.5273,1.0353,52.0152,102.789,108.2435,94.7707,86.0473,96.7626,94.7707,,,,,2.06,107.9956,,,-1.4052,109.419
1998-02-05,14.6928,1133268.8319,381456.4079,,,,15.0,95.0,80.0,102.5236,108.565,114.6064,-0.4835,130.9007,0.6144,,5.2772,109.6748,,,,,,,,0.0,109.7636,,,,,,,,,50.1554,108.53,107.655,23.062,11.7207,6.43,2.3507,-2749066.0,25.6317,13.0267,,6.041,1.0604,50.3072,103.1271,108.565,91.7866,89.8039,78.5971,91.7866,,,,,1.82,108.2795,,,-9.2896,109.8596
1998-02-06,14.8724,1254990.7297,401100.01,,,,10.0,100.0,90.0,102.7831,109.04,115.2969,0.635,147.0497,5.0964,,8.6574,110.1106,,,,,,,,0.0,110.0707,,,,,,,,,54.8751,108.625,108.0,22.1976,11.1347,9.5,2.2885,-2298366.0,26.4054,13.2454,,9.0692,1.0907,52.5482,103.4551,109.04,88.2778,91.6117,89.4737,88.2778,,,,,1.88,108.6345,,,-3.7037,110.401
1998-02-09,14.8477,1097067.3937,322424.0575,,,1.5258,5.0,100.0,95.0,103.5387,109.5775,115.6163,-0.152,135.5826,4.414,,9.4006,110.4867,,,,,,,,0.0,110.4241,,,,,,,,,61.2493,108.625,108.095,21.6303,10.578,10.75,2.2325,-2685433.0,26.119,12.7731,1.3964,10.4056,1.1041,52.207,103.9069,109.5775,81.9119,87.3254,77.665,81.9119,,,,,1.25,109.0439,,,-6.428,110.8791
1998-02-10,14.8724,1054011.3181,247227.5022,,,2.1301,0.0,100.0,100.0,104.5799,110.14,115.7001,-0.2101,124.3724,5.0629,,9.4006,110.8451,,,,,,,,0.0,110.7906,,,,,,,,,65.2153,110.25,109.22,21.0901,10.0491,11.25,2.1694,-2415766.0,25.4667,12.1345,1.9484,10.9223,1.1092,52.5315,104.4585,110.14,81.2231,83.8043,76.5306,81.2231,99.2521,94.6753,,,1.19,109.4824,,,-6.0315,111.3241
1998-02-11,15.0599,1512504.7673,339874.3269,,,2.7563,0.0,100.0,100.0,104.6418,110.5525,116.4632,0.8396,127.9835,9.9405,,12.754,111.3065,,,,,,,,0.0,111.1374,,,,,,,,,64.5824,110.97,110.06,20.2534,9.5466,8.25,2.1161,-1925833.0,26.1748,12.3377,2.5181,7.6787,1.0768,54.9702,104.9826,110.5525,84.1899,82.4416,98.374,84.1899,100.0,94.6753,,,1.87,109.9436,,,-0.5272,111.8527
1998-02-12,15.0755,1836507.0879,449969.282,,,3.1996,30.0,100.0,70.0,104.5386,110.8585,117.1784,0.2366,109.8962,10.3445,,10.1059,111.7354,,,,,,,,0.0,111.3806,,,,,,,,,60.0693,111.03,110.185,20.1887,9.5693,6.12,2.1213,-1546866.0,24.728,11.7209,2.917,5.5794,1.0558,55.1723,105.6287,110.8585,89.2176,84.8768,92.7481,89.2176,100.0,99.7507,,,2.62,110.4402,,68.3507,-1.6337,112.3534
1998-02-13,14.8073,1516974.0879,352432.238,,,3.3667,25.0,95.0,70.0,104.8129,111.1335,117.4541,-0.963,80.0475,2.0695,,10.1059,111.9273,,,,,,,,0.0,111.4828,,,,,,,,,60.7918,111.03,110.185,19.3055,9.0908,5.5,2.1423,-1866399.0,23.6462,11.1348,3.0616,5.0808,1.0508,51.0348,106.3547,111.1335,68.4147,80.6074,14.1221,68.4147,0.0,66.6667,,,2.06,110.9635,,59.2549,-19.3465,112.6288
1998-02-17,14.9297,1827918.3627,379428.2403,,,3.2919,20.0,90.0,70.0,104.8753,111.3615,117.8477,0.5267,71.9223,5.4744,,8.3577,112.1904,,,,,,,,0.0,111.5964,,,,,,,,,59.5564,111.03,110.185,19.4295,8.9463,4.56,2.0756,-1524099.0,22.9735,10.5781,2.9832,4.1406,1.0414,52.7372,107.0298,111.3615,52.2901,69.9741,50.0,52.2901,41.1468,47.0489,,,1.31,111.5101,,63.6958,-11.264,112.9675
1998-02-18,15.3606,2520351.3627,576298.174,,,3.4353,15.0,100.0,85.0,104.7755,111.796,118.8165,0.9629,116.9588,16.2655,,22.0211,112.7437,,,,,,,,0.0,112.0858,,,,,,,,,67.5821,112.125,111.185,17.9901,8.499,8.69,2.0649,-831666.0,28.1509,13.2992,3.0973,7.9499,1.0795,58.1328,107.6577,111.796,54.7074,58.4707,100.0,54.7074,100.0,47.0489,,,3.5,112.0858,,70.823,-0.0,113.5998
1998-02-19,15.1653,2445158.5036,580520.1304,,,3.3852,10.0,95.0,85.0,105.2089,112.24,119.2711,-0.4695,103.311,10.261,,22.0211,113.1015,15.6467,,1.0251,0.5111,,,,0.0,112.4387,,,,,,,21.3529,1.1533,69.1307,112.125,111.185,17.0841,8.074,8.88,2.089,-1264533.0,26.7332,12.6342,3.0379,8.2513,1.0825,55.1305,108.4851,112.24,72.5108,59.8361,67.5325,72.5108,57.7027,66.2832,,,2.38,112.6422,,68.6235,-11.0051,114.0478
1998-02-20,14.9778,2300086.6929,483313.5246,,,3.1754,5.0,90.0,85.0,106.0266,112.6615,119.2964,-0.6507,72.3073,4.7921,,11.4292,113.288,17.2118,,1.2769,-0.6298,,,,0.0,112.6269,2.0015,2.205,0.2035,2.9185,3.1754,0.257,22.29,1.259,68.8125,112.125,111.185,19.6112,9.5403,8.43,2.1724,-1745966.0,24.6725,12.0025,2.8422,7.9058,1.0791,52.396,109.2463,112.6615,67.6863,64.9682,35.5263,67.6863,19.1782,58.9603,,,3.75,113.1615,,64.873,-21.5701,114.3163
1998-02-23,14.97,2202801.1857,368655.1131,,,3.0646,0.0,85.0,85.0,107.0883,113.099,119.1097,-0.3623,61.9263,4.5646,,11.4292,113.451,18.9332,,0.355,-1.4717,,,,0.0,112.8109,2.0198,2.0929,0.0731,3.0895,3.0646,-0.0249,23.2171,1.3688,70.7284,112.28,112.185,19.0426,9.0633,8.75,2.1248,-2099266.0,23.9571,11.4024,2.7379,8.2353,1.0824,52.2823,109.9466,113.099,45.7564,61.9845,34.2105,45.7564,0.0,25.627,,,1.38,113.631,,60.8003,-25.7954,114.539
1998-02-24,14.8151,2013317.235,227944.9502,,,2.929,0.0,80.0,80.0,108.2507,113.4615,118.6723,-0.5802,25.352,0.0313,,5.3599,113.4852,20.8267,,-0.1857,1.2637,,,,0.0,112.8664,1.9931,1.8862,-0.1068,3.1782,2.929,-0.2492,24.123,1.4825,66.3123,112.905,112.22,20.7752,9.7301,7.25,2.1109,-2503166.0,23.1284,10.8323,2.6119,6.8037,1.068,50.0157,110.5909,113.4615,26.3481,46.5969,9.3074,26.3481,0.0,6.3927,,,1.62,114.0255,,53.5048,-36.2457,114.6068
