date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
2009-10-07,27.22,-23404347.6563,,,,,,,,0.0859,,,,,,,,,,,0.0,,,,,,,,,,,,63739500.0,,,,,,,,,,,,,,,,,,,
2009-10-08,26.6,-28841537.018000007,,,,,,,,-0.7766,,,,,,,,,,,0.0,,,,,,,,,,,,56832800.0,,,,,,,26.41,,,,,,,0.94,,,,,
2009-10-09,26.4,-32081709.09,,,,,,,,-0.3874,,,,,,,,,,,0.0,,,,,,,,,,,,53471500.0,,,,,,,27.49,,,,,,,1.11,,,,,
2009-10-12,26.25,-38062542.4234,,,,,,,,-0.5778,,,,,,,,,,,0.0,,,,,,,,,,,,46294500.0,,,,,,,26.1,,,,,,,1.8,,,,,
2009-10-13,27.19,-35407431.3122,,,,,,,,0.7222,,,,,,,,,,,0.0,,,,,,,,,,,,49590500.0,,,,,,,26.1,,,,,,,1.01,,,,,
2009-10-14,27.99,-33478154.2836,,,,,,,,0.5975,,,,,,,,,,,0.0,,,,,,,,,,,,52812900.0,,,,,,,26.1,,,,,,,1.2385,,,,,
2009-10-15,28.31,-33266067.6169,,,,,,,,0.0286,,,,,,,,,,,0.0,,,,,,,,,,,,55994200.0,,,,,,,26.1428,,,69.4036,,,,1.05,,,,,
2009-10-16,28.568,-29534198.4741,,,,,,,,0.1124,,,,,,,,,,,0.0,,,,,,,,,,,,59968300.0,,,,,,,26.2225,,,87.213,,,,1.05,,,,,
2009-10-19,27.5,-31426298.4741,,,,,,,,-0.7338,,,,,,,,,,,0.0,,,,,,,,,,,,58076200.0,,,,,,,26.2998,,71.3701,71.3701,,,,1.39,,,,,
2009-10-20,28.06,-28400578.4741,288525.0669,,,,,,,0.7467,,,,,,,,,,,0.0,,,,,,,,,,,,61463200.0,,,,,,,26.4034,,62.78100000000001,62.78100000000001,,,,0.75,,,,,
2009-10-21,28.0,-28863007.0455,582540.4499,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,60384200.0,,,,,,,26.5029,,46.3812,46.3812,,,,0.49,,,,,
2009-10-22,27.89,-28883222.5627,643429.0374,,,,,,,0.1121,,,,,,,,,,,0.0,,,,,,,,,,,,59211700.0,,,,,,,26.5984,,44.8661,44.8661,,,,1.16,,,,,
2009-10-23,28.37,-26605975.7961,1334422.9729,,,,,,,0.4205,,,,,,,,,,,0.0,,,,,,,,,,,,61597400.0,,,,,,,26.69,,48.4642,48.4642,,,,0.8799,,,,,
2009-10-26,28.45,-26069575.7961,1666463.858,,,,,,,0.7381,,,,,,,,,,,0.0,,,,,,,,,,,,62431800.0,,,,,,,26.778,,63.822,63.822,,,,0.84,,,,,
2009-10-27,28.56,-26141334.887,1627969.6132,,,,,,,0.0152,,,,,,,,,,,0.0,,,,,,,,,,,,64010500.0,,,,,,,26.8625,,73.1363,73.1363,,,,1.32,,,,,
2009-10-28,27.69,-26991895.493,1193591.8099,,,,,,,-0.5253,,,,,,,,,,,0.0,,,,,,,,,,,,62857000.0,,,,,,,26.9819,,57.2336,57.2336,,,,1.0,,,,,
2009-10-29,27.89,-26924275.493,928898.9077,,,,,,,0.04,,,,,,,,,,,0.0,,,,,,,,,,,,63420500.0,,,,,,,27.0953,,35.0848,35.0848,,,,0.31,,,,,
2009-10-30,27.43,-27467127.4411,563444.4726,,,,,,,-0.7403,,,,,,,,,,,0.0,,,,,,,,,,,,62600900.0,,,,,,,27.203000000000007,,15.8907,15.8907,,,,0.77,,,,,
2009-11-02,27.37,-27010727.4411,507936.3426,,,,,,,-0.0095,,,,,,,,,,,0.0,,,,,,,,,,,,61622900.0,,,,,,,29.25,,19.186,19.186,,,,1.05,,,,,
2009-11-03,27.36,-26597180.5661,570635.5366,,,,,,27.6549,-0.1094,-66.0999,,,,27.6549,,,,,,0.0,,,,,,27.409,27.675,,2.53,,,60926400.0,,3.35,,,,,29.2235,27.6549,24.8992,24.8992,,,,0.64,27.8746,,,-60.0,27.8079
2009-11-04,26.96,-27040976.7925,403201.3588,,,,70.0,55.0,27.6419,-0.6981,-74.3122,-3.3522,,13.9456,27.5887,,,,,,0.0,27.3571,,,,34.2797,27.409,27.675,13.0707,2.4035,-0.26,3.5846,60465200.0,17.307000000000002,3.1825,,-0.9552,0.9904,48.3239,29.1973,27.6419,30.8403,30.8403,,,,0.53,27.9099,,,-72.6984,27.7417
2009-11-05,27.3,-27018576.7925,305178.1626,,,,65.0,55.0,27.6769,0.4444,-58.4178,1.2065,,15.8485,27.5612,,,,,,0.0,27.3563,,,,40.541,27.409,27.675,12.6087,2.2833,0.7,3.4802,60935600.0,17.358,3.1434,,2.6316,1.0263,50.6033,29.1713,27.6769,37.0277,37.0277,,,,0.64,27.9327,,,-61.9048,27.7091
2009-11-06,27.1,-27090299.8694,214513.3157,,,,60.0,55.0,27.7119,-0.1282,-89.0646,-1.4842,,15.4008,27.5173,,,,,,0.0,27.3525,,,,43.6338,27.409,27.675,12.4429,2.1892,0.7,3.4026,60624800.0,16.9732,2.9862,,2.6515,1.0265,49.2579,29.1456,27.7119,39.9093,39.9093,,,,0.39,27.9323,,,-68.25399999999999,27.6542
2009-11-09,27.58,-26686312.3694,286463.4179,,,,55.0,55.0,27.7784,0.5156,-51.4208,4.9030000000000005,,21.023000000000003,27.5233,,,,,,0.0,27.3589,,,,54.0772,27.764,27.895,11.984000000000002,2.0797,1.33,3.2922,61240400.0,18.3641,3.1869,,5.0667,1.0507,52.4515,29.1201,27.7784,60.7143,60.7143,,,,0.64,27.906,,,-61.6236,27.6416
2009-11-10,27.67,-26734669.7952,274468.968,,,,50.0,50.0,27.8024,0.4158,-9.6511,6.0698,,29.1003,27.5372,,,,,,0.0,27.3624,,,,49.497,27.764,27.925,11.2922,1.9757,0.48,3.2999,61527700.0,20.5619,3.5976,,1.7654,1.0177,53.0349,29.0949,27.8024,63.1619,63.1619,,,,1.01,27.8517,,,-59.6226,27.6313
2009-11-11,28.98,-25780799.9965,548114.4501,,,0.0157,45.0,-20.0,27.8519,0.7047,133.1019,20.9333,,39.0073,27.6746,,,,,,0.0,27.3961,,,,45.7695,27.97,27.925,10.3632,1.8769,0.99,3.2503,62702300.0,23.6187,4.2777,0.0566,3.537,1.0354,60.4666,26.6,27.8519,78.4717,78.4717,,,,1.49,27.7966,,,-10.1887,27.7435
