date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-30,5.4287,3373539.1304,,,,,,,,0.8261,,,,,,,,,,,0.0,,,,,,,,,,,,4564200.0,,,,,,,,,,,,,,,,,,,
1998-02-02,6.5996,2961385.6421,,,,,,,,0.3367,,,,,,,,,,,0.0,,,,,,,,,,,,7096000.0,,,,,,,20.5,,,,,,,11.75,,,,,
1998-02-03,7.0253,2397757.527,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,8657200.0,,,,,,,20.6675,,,,,,,4.13,,,,,
1998-02-04,6.7337,2323659.048,,,,,,,,-0.4753,,,,,,,,,,,0.0,,,,,,,,,,,,8130500.0,,,,,,,20.8333,,,,,,,2.63,,,,,
1998-02-05,6.5059,2111648.648,,,,,,,,-0.6759999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,7907800.0,,,,,,,20.9975,,,,,,,2.5,,,,,
1998-02-06,5.9353,1559975.8669,,,,,,,,-0.8314,,,,,,,,,,,0.0,,,,,,,,,,,,7196100.0,,,,,,,21.16,,,,,,,3.38,,,,,
1998-02-09,5.747999999999999,1635880.5082,,,,,,,,-0.21100000000000002,,,,,,,,,,,0.0,,,,,,,,,,,,6709900.0,,,,,,,21.3209,,,29.105999999999998,,,,2.37,,,,,
1998-02-10,5.9609,1663361.5171,,,,,,,,0.3709,,,,,,,,,,,0.0,,,,,,,,,,,,6960200.0,,,,,,,21.4802,,,19.6194,,,,3.37,,,,,
1998-02-11,6.3334,1873961.5171,,,,,,,,0.7642,,,,,,,,,,,0.0,,,,,,,,,,,,7170800.0,,,,,,,21.6379,,33.9745,33.9745,,,,2.12,,,,,
1998-02-12,6.6272,2040701.5171,-258551.4987,,,,,,,0.6,,,,,,,,,,,0.0,,,,,,,,,,,,7448700.0,,,,,,,21.794,,59.723,59.723,,,,2.5,,,,,
1998-02-13,6.5996,1958981.5171,-199342.6705,,,,,,,-0.304,,,,,,,,,,,0.0,,,,,,,,,,,,7312500.0,,,,,,,21.9486,,77.2901,77.2901,,,,1.25,,,,,
1998-02-17,6.6528,1936901.5171,-164024.2707,,,,,,,-0.10400000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,7422900.0,,,,,,,22.1016,,87.7304,87.7304,,,,1.25,,,,,
1998-02-18,6.6932,1986498.2913,-118883.7453,,,,,,,0.0968,,,,,,,,,,,0.0,,,,,,,,,,,,7484400.0,,,,,,,22.2531,,86.2366,86.2366,,,,0.62,,,,,
1998-02-19,6.5463,1906898.2913,-114936.8262,,,,,,,-0.6637,,,,,,,,,,,0.0,,,,,,,,,,,,7404800.0,,,,,,,22.4031,,76.9515,76.9515,,,,1.13,,,,,
1998-02-20,6.7869,1977436.6913,-80429.3388,,,,,,,0.904,,,,,,,,,,,0.0,,,,,,,,,,,,7492100.0,,,,,,,22.5515,,78.0104,78.0104,,,,1.25,,,,,
1998-02-23,6.1738,1667324.6913,-157672.8813,,,,,,,-0.875,,,,,,,,,,,0.0,,,,,,,,,,,,7139700.0,,,,,,,22.6985,,50.2307,50.2307,,,,3.0,,,,,
