date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,16.69,84791.4894,,,,,,,,0.7979,,,,,,,,,,,0.0,,,,,,,,,,,,97200.0,,,,,,,,,,,,,,,,,,,
1998-01-05,16.565,55959.9104,,,,,,,,-0.3158,,,,,,,,,,,0.0,,,,,,,,,,,,5900.0,,,,,,,32.5,,,,,,,0.38,,,,,
1998-01-06,16.44,-60340.0896,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,-110400.0,,,,,,,32.5088,,,,,,,0.5,,,,,
1998-01-07,16.315,-24694.0896,,,,,,,,-0.25,,,,,,,,,,,0.0,,,,,,,,,,,,-247500.0,,,,,,,33.38,,,,,,,1.0,,,,,
1998-01-08,16.565,65218.3549,,,,,,,,0.4756,,,,,,,,,,,0.0,,,,,,,,,,,,-47200.0,,,,,,,31.5,,,,,,,2.25,,,,,
1998-01-09,16.405,78890.3549,,,,,,,,-0.46,,,,,,,,,,,0.0,,,,,,,,,,,,-218100.0,,,,,,,31.5,,,,,,,1.5,,,,,
1998-01-12,15.94,206004.3549,,,,,,,,-0.12,,,,,,,,,,,0.0,,,,,,,,,,,,-707000.0,,,,,,,33.75,,,51.9556,,,,1.56,,,,,
1998-01-13,16.5,206004.3549,,,,,,,,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,-565000.0,,,,,,,33.725,,,51.1407,,,,1.62,,,,,
1998-01-14,17.25,261370.3549,,,,,,,,0.81,,,,,,,,,,,0.0,,,,,,,,,,,,-475700.0,,,,,,,31.25,,61.5772,61.5772,,,,2.0,,,,,
1998-01-15,17.815,354643.6882,112960.0311,,,,,,,0.6133,,,,,,,,,,,0.0,,,,,,,,,,,,-64200.0,,,,,,,31.2863,,80.9868,80.9868,,,,2.25,,,,,
1998-01-16,18.25,536072.2596,172429.098,,,,,,,0.5714,,,,,,,,,,,0.0,,,,,,,,,,,,189800.0,,,,,,,31.3906,,89.4716,89.4716,,,,1.75,,,,,
1998-01-20,18.25,603752.5516,202616.6184,,,,,,,-0.365,,,,,,,,,,,0.0,,,,,,,,,,,,189800.0,,,,,,,31.5514,,89.2573,89.2573,,,,1.37,,,,,
1998-01-21,17.875,587458.6866,191361.9544,,,,,,,-0.5399,,,,,,,,,,,0.0,,,,,,,,,,,,-14500.0,,,,,,,31.7693,,84.6679,84.6679,,,,1.63,,,,,
