date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,11.5615,23029.1667,,,,,,,,-0.4792,,,,,,,,,,,0.0,,,,,,,,,,,,552700.0,,,,,,,,,,,,,,,,,,,
1998-01-05,11.5839,-262248.6111,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1271600.0,,,,,,,30.19,,,,,,,0.63,,,,,
1998-01-06,11.5129,-269661.3095,,,,,,,,-0.1111,,,,,,,,,,,0.0,,,,,,,,,,,,804600.0,,,,,,,30.2025,,,,,,,0.63,,,,,
1998-01-07,11.4905,-365601.3095,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,251100.0,,,,,,,30.2149,,,,,,,0.75,,,,,
1998-01-08,11.2326,-1008957.8313,,,,,,,,-0.8261,,,,,,,,,,,0.0,,,,,,,,,,,,-527700.0,,,,,,,31.44,,,,,,,0.75,,,,,
1998-01-09,11.2588,-1345904.4979,,,,,,,,-0.16,,,,,,,,,,,0.0,,,,,,,,,,,,155300.0,,,,,,,31.4256,,,,,,,0.75,,,,,
1998-01-12,11.6549,-646555.0474,,,,,,,,0.8571,,,,,,,,,,,0.0,,,,,,,,,,,,1039200.0,,,,,,,31.3959,,,35.3027,,,,1.82,,,,,
1998-01-13,11.6773,-263049.3003,,,,,,,,-0.1494,,,,,,,,,,,0.0,,,,,,,,,,,,2373800.0,,,,,,,29.56,,,62.2424,,,,0.87,,,,,
1998-01-14,12.0286,509050.6997,,,,,,,,0.6509,,,,,,,,,,,0.0,,,,,,,,,,,,3145900.0,,,,,,,29.56,,91.3535,91.3535,,,,1.06,,,,,
1998-01-15,11.7707,400717.3664,354634.783,,,,,,,-0.5867,,,,,,,,,,,0.0,,,,,,,,,,,,2520900.0,,,,,,,29.6126,,86.0881,86.0881,,,,1.0,,,,,
